RDO:;RDO NO 14 - BAYOMBONG, NUEVA VIZCAYA;;;;
T. DALLO ST;BENTER & PROVL ROAD;RR;480.00;;
T. DALLO ST;INTERIOR;RR;480.00;;
MUNICIPALITY:;DUPAX DEL SUR;;;;
BARANGAY:;ALL OTHER BARANGAYS;;;;
NATIONAL ROAD;;RR;480.00;;
PROVINCIAL ROAD;;RR;320.00;;
BARANGAY ROAD;;RR;200.00;;
BARANGAY ROAD;INTERIOR;RR;100.00;;
BARANGAY ROAD;INTERIOR;A1;19.00;;
BARANGAY ROAD;INTERIOR;A2;6.00;;
BARANGAY ROAD;INTERIOR;A15;2.00;;
BARANGAY ROAD;INTERIOR;A16;5.00;;
BARANGAY ROAD;INTERIOR;A23;5.00;;
BARANGAY ROAD;INTERIOR;A47;5.00;;
BARANGAY ROAD;INTERIOR;A48;5.00;;
BARANGAY ROAD;INTERIOR;A50;5.00;;
LAZAM ROAD;PORTILLA ST-BAJITA ST;RR;480.00;;
LAZAM ROAD;INTERIOR;RR;320.00;;
M. DARAN ST;PORTILLA ST-BAJITA ST;RR;480.00;;
M. DARAN ST;INTERIOR;RR;320.00;;
M. DOCTOR ST;CASTAÑEDA-BENTER ST;RR;480.00;;
M. DOCTOR ST;INTERIOR;RR;320.00;;
M. QUEZON ST;CASTAÑEDA-BENTER ST;RR;480.00;;
M. QUEZON ST;INTERIOR;RR;320.00;;
MAGSAYSAY ST;SEC NATL RD-QUEZON;RR;480.00;;
MAGSAYSAY ST;INTERIOR;RR;320.00;;
MUNICIPALITY:;KASIBU;;;;
BARANGAY:;POBLACION;;;;
NATIONAL ROAD;PRIMO ST-MANGKIATAD;RR;300.00;;
NATIONAL ROAD;PRIMO ST-PEREZ ST;RR;300.00;;
A. BUMOLO ST;NATL RD-PEREZ ST;RR;300.00;;
ALIGUYON ST;NAT'L ROAD-TUBO RIVER;RR;300.00;;
ASUNCION ST;C M RANADA-ALIGUYON;RR;300.00;;
AWIODI ST;MACPAYAO ST-TUCPI ST;RR;300.00;;
BRIMO ST;NAT'L RD-TUKID ST;RR;300.00;;
BRIMO ST;INTERIOR;RR;240.00;;
C M RAÑADA ST;P G DUMLAO-ASUNCION;RR;300.00;;
DULAY ST;TUBO RIVER-DULNUAN ST;RR;300.00;;
DULAY ST;INTERIOR;RR;240.00;;
ELLIAS ST;MICO ST-J AGSUNDO ST;RR;300.00;;
ELLIAS ST;INTERIOR;RR;240.00;;
F. RUNAS ST;DULAY ST;RR;300.00;;
J. AGSUNDO ST;MACPAYAO ST-TUBO RIVER;RR;300.00;;
M. ALEJO ST;PEREZ ST-DULNUAN ST;RR;300.00;;
M. HUFALAR ST;BRIMO ST-TUKID ST;RR;300.00;;
MAGPAYAO ST;MICO ST-DALMAN ST;RR;300.00;;
MICO ST;TUCPI ST-ELLIAS ST;RR;300.00;;
O D CADIENTE ST;PEREZ ST-ASUNCION ST;RR;300.00;;
P G DUMLAO ST;NATL RD-BUMOLO ST;RR;300.00;;
PEREZ ST;RANADA-MACPAYAO CEM;RR;300.00;;
SUMALING ST;ALIGUYON ST-MICO ST;RR;300.00;;
TUCPI ST;MICO ST-AWIODI ST;RR;300.00;;
TUCPI ST;INTERIOR;RR;300.00;;
TUKID ST;TUBO RIVER-C M RANADA;RR;300.00;;
VILLAFLORES ST;ALIGUYON ST-MICO ST;RR;300.00;;
MUNICIPALITY:;KASIBU;;;;
BARANGAY:;ALL OTHER BARANGAYS;;;;
PROVINCIAL ROAD;;RR;240.00;;
NATIONAL ROAD;;A1;10.00;;
BARANGAY ROAD;;RR;120.00;;
BARANGAY ROAD;INTERIOR;RR;100.00;;
BARANGAY ROAD;INTERIOR;A1;7.00;;
BARANGAY ROAD;INTERIOR;A2;4.00;;
BARANGAY ROAD;INTERIOR;A15;2.00;;
BARANGAY ROAD;INTERIOR;A16;3.00;;
BARANGAY ROAD;INTERIOR;A23;3.00;;
BARANGAY ROAD;INTERIOR;A47;3.00;;
BARANGAY ROAD;INTERIOR;A48;3.00;;
BARANGAY ROAD;INTERIOR;A50;3.00;;
MUNICIPALITY:;KAYAPA;;;;
BARANGAY:;POBLACION;;;;
PROVINCIAL ROAD;PAMPANG BRIDGE-TALECEBCEB RD;CR;300.00;;
PROVINCIAL ROAD;PAMPANG BRIDGE-R CATHOLIC CMPD;RR;300.00;;
NATIONAL H-WAY;PAMPANG BRIDGE-KAYAPA NAT'L HW;RR;300.00;;
NATIONAL H-WAY;INTERIOR;RR;240.00;;
BALANGABANG ROAD;;RR;240.00;;
BALANGABANG ROAD;INTERIOR;RR;120.00;;
TALECEBCEB ROAD;;RR;240.00;;
TALECEBCEB ROAD;INTERIOR;RR;120.00;;
MUNICIPALITY:;KAYAPA;;;;
BARANGAY:;ALL OTHER BARANGAYS;;;;
NATIONAL ROAD;;RR;120.00;;
PROVINCIAL ROAD;;RR;100.00;;
PROVINCIAL ROAD;INTERIOR;RR;90.00;;
PROVINCIAL ROAD;INTERIOR;A1;14.00;;
BARANGAY ROAD;;RR;100.00;;
BARANGAY ROAD;INTERIOR;RR;90.00;;
BARANGAY ROAD;INTERIOR;A1;10.00;;
BARANGAY ROAD;INTERIOR;A2;6.00;;
BARANGAY ROAD;INTERIOR;A15;3.00;;
BARANGAY ROAD;INTERIOR;A16;4.00;;
BARANGAY ROAD;INTERIOR;A23;4.00;;
BARANGAY ROAD;INTERIOR;A47;4.00;;
BARANGAY ROAD;INTERIOR;A48;4.00;;
BARANGAY ROAD;INTERIOR;A50;4.00;;
BARANGAY ROAD;INTERIOR;GP;3.00;;
MUNICIPALITY:;QUEZON;;;;
BARANGAY:;POBLACION;;;;
PROVINCIAL ROAD;LUMANNAP CRK-MACAPAGAL ST;CR;300.00;;
PROVINCIAL ROAD;LUMANNAP CRK-MACAPAGAL ST;RR;300.00;;
A. BONIFACIO ST;PROV'L RD-CADIENTE ST;RR;300.00;;
A. BONIFACIO ST;LUMANNAP CRK-END OF CADIENTE;RR;300.00;;
A. BONIFACIO ST;INTERIOR;RR;240.00;;
DON MARCOS ST;LUMANNAP CRK-MARCOS;RR;300.00;;
DON MARCOS ST;INTERIOR;RR;240.00;;
M L QUEZON ST;PROV'L RD-CADIENTE ST;RR;300.00;;
MACAPAGAL ST;PROV'L RD-CADIENTE ST;RR;300.00;;
MAGSAYSAY ST;PROV'L RD-CADIENTE ST;CR;300.00;;
MUNICIPALITY:;QUEZON;;;;
BARANGAY:;ALL OTHER BARANGAYS;;;;
PROVINCIAL ROAD;;RR;240.00;;
PROVINCIAL ROAD;INTERIOR;RR;150.00;;
BARANGAY ROAD;;RR;150.00;;
BARANGAY ROAD;INTERIOR;RR;100.00;;
BARANGAY ROAD;INTERIOR;A1;9.00;;
BARANGAY ROAD;INTERIOR;A2;4.00;;
BARANGAY ROAD;INTERIOR;A15;4.00;;
BARANGAY ROAD;INTERIOR;A16;5.00;;
BARANGAY ROAD;INTERIOR;A23;5.00;;
BARANGAY ROAD;INTERIOR;A47;5.00;;
BARANGAY ROAD;INTERIOR;A48;5.00;;
BARANGAY ROAD;INTERIOR;A50;5.00;;
MUNICIPALITY:;SOLANO;;;;
BARANGAY:;POBLACION;;;;
NATIONAL HIGHWAY;BAY/SOLANO BDRY-BONFAL ST;CR;4,500.00;;
NATIONAL HIGHWAY;BONFAL-NEW TOWN HALL;CR;3,600.00;;
NATIONAL HIGHWAY;ALONG THE HIGHWAY;RR;2,000.00;;
ABACAN ST;SINTAWAN RD-YOGAD ST;CR;4,500.00;;
ABACAN ST;INTERIOR;RR;2,000.00;;
ARATAL ST;VILLAVERDE-DUPAN ST;RR;2,000.00;;
ARATAL ST;INTERIOR;RR;1,600.00;;
BACARRA ST;VILLAVERDE-DUPAN ST;RR;1,600.00;;
BACARRA ST;INTERIOR;RR;1,200.00;;
BALLESTEROS ST;TAGGAPAN-SILAWAN;RR;1,600.00;;
BALLESTEROS ST;INTERIOR;RR;1,200.00;;
BALONKITA ST;BINTAWAN RD-TAGGAPAN;RR;1,600.00;;
BALONKITA ST;INTERIOR;RR;1,200.00;;
BINACAO ST;VILLAVERDE-DUPAN ST;RR;2,000.00;;
BINACAO ST;INTERIOR;RR;1,600.00;;
BINTAWAN ROAD;VILLAVERDE-DUPAN ST;RR;2,000.00;;
BINTAWAN ROAD;INTERIOR;RR;1,600.00;;
BONFAL ST;J P RIZAL-BURGOS ST;CR;3,600.00;;
BONFAL ST;ALONG THE ROAD;RR;2,000.00;;
BONFAL ST;INTERIOR;RR;1,600.00;;
BONIFACIO ST;TAGGAPAN-SILAWAN;RR;1,600.00;;
BONIFACIO ST;INTERIOR;RR;1,200.00;;
BURGOS ST;BINTAWAN RD-BAGABAG;RR;1,200.00;;
BURGOS ST;TAGGAPAN-BINTAWAN BR;RR;1,200.00;;
BURGOS ST;INTERIOR;RR;800.00;;
CUBCUB ST;VILLAVERDE-DUPAN ST;RR;1,200.00;;
CUBCUB ST;INTERIOR;RR;800.00;;
DUPAN ST;TAGGAPAN-SILAWAN;RR;1,200.00;;
DUPAN ST;INTERIOR;RR;800.00;;
GADDANG ST;J P RIZAL-MABINI ST;CR;4,500.00;;
GADDANG ST;J P RIZAL-BONIFACIO ST;CR;4,500.00;;
GADDANG ST;ALONG THE ROAD;RR;1,600.00;;
GADDANG ST;INTERIOR;RR;1,200.00;;
GEN. A. LUNA ST;J P RIZAL-MABINI ST;CR;4,500.00;;
GEN. A. LUNA ST;J P RIZAL-BONIFACIO ST;CR;4,500.00;;
GEN. A. LUNA ST;ALONG THE ROAD;RR;2,000.00;;
GEN. A. LUNA ST;INTERIOR;RR;1,600.00;;
GEN. SANTOS ST;J P RIZAL-BONIFACIO;CR;3,600.00;;
GEN. SANTOS ST;ALONG THE ROAD;RR;1,600.00;;
GEN. SANTOS ST;INTERIOR;RR;1,200.00;;
J. LUNA ST;TAGGAPAN-SILAWAN;RR;1,600.00;;
J. LUNA ST;INTERIOR;RR;1,200.00;;
JUMAPA ST;TAGGAPAN-SILAWAN;RR;1,200.00;;
JUMAPA ST;INTERIOR;RR;1,200.00;;
KHRISTINE VILL.;BAGAHABAG;RR;955.00;;
LAGAT ST;VILLAVERDE-DUPAN ST;RR;1,200.00;;
LAGAT ST;INTERIOR;RR;800.00;;
LEYBA ST;TAGGAPAN-SILAWAN;RR;1,200.00;;
LEYBA ST;INTERIOR;RR;800.00;;
LUMABANG ST;VILLAVERDE-DUPAN ST;RR;1,200.00;;
LUMABANG ST;INTERIOR;RR;800.00;;
MABINI ST;BINTAWAN-BONFAL ST;CR;3,600.00;;
MABINI ST;ALONG THE ROAD;RR;2,000.00;;
MABINI ST;INTERIOR;RR;1,200.00;;
MAGSAYSAY ST;VILLAVERDE-DUPAN ST;RR;2,000.00;;
MAGSAYSAY ST;INTERIOR;RR;1,200.00;;
PATA ST;BALONGKITA-VILLAVERDE;RR;1,600.00;;
PATA ST;INTERIOR;RR;1,200.00;;
PLARIDEL ST;TAGGAPAN-SILAWAN;RR;1,600.00;;
PLARIDEL ST;INTERIOR;RR;1,200.00;;
SILAWAN ST;VILLAVERDE-DUPAN ST;RR;1,200.00;;
SILAWAN ST;INTERIOR;RR;800.00;;
TAGGAPAN ST;VILLAVERDE-DUPAN ST;RR;1,200.00;;
TAGGAPAN ST;INTERIOR;RR;800.00;;
VILLAVERDE ST;TAGGAPAN-SILAWAN;RR;1,200.00;;
VILLAVERDE ST;INTERIOR;RR;800.00;;
YOGAD ST;CALLE ROSA-MABINI;CR;3,600.00;;
YOGAD ST;INTERIOR;RR;2,000.00;;
YOGAD ST;MABINI ST-DUPAN ST;RR;2,000.00;;
YOGAD ST;INTERIOR;RR;1,600.00;;
MUNICIPALITY:;SOLANO;;;;
BARANGAY:;ALL OTHER BARANGAYS;;;;
PROVINCIAL ROAD;;RR;800.00;;
BARANGAY ROAD;;RR;400.00;;
BARANGAY ROAD;INTERIOR;RR;115.00;;
BARANGAY ROAD;INTERIOR;A1;20.00;;
BARANGAY ROAD;INTERIOR;A2;10.00;;
BARANGAY ROAD;INTERIOR;A15;3.00;;
BARANGAY ROAD;INTERIOR;A16;7.00;;
BARANGAY ROAD;INTERIOR;A23;7.00;;
BARANGAY ROAD;INTERIOR;A47;7.00;;
BARANGAY ROAD;INTERIOR;A48;7.00;;
BARANGAY ROAD;INTERIOR;A50;7.00;;
MUNICIPALITY:;SANTA FE;;;;
BARANGAY:;POBLACION;;;;
POBLACION;MARKET SITE;CR;1,000.00;;
POBLACION;POBLACION PROPER;CR;1,000.00;;
POBLACION;POBLACION PROPER-PEREZ PARK;RR;800.00;;
NATIONAL HIGHWAY;ZIGZAG ROAD;RR;320.00;;
ATBU;MAIN ROAD;RR;320.00;;
ATBU;INTERIOR;RR;200.00;;
BALETE;MAIN ROAD;RR;320.00;;
BALETE;INTERIOR;RR;200.00;;
BALILING;MAIN ROAD;RR;320.00;;
BALILING;INTERIOR;RR;200.00;;
BANTINAN;MAIN ROAD;RR;320.00;;
BANTINAN;INTERIOR;RR;200.00;;
BARACBAC;MAIN ROAD;RR;320.00;;
BARACBAC;INTERIOR;RR;200.00;;
BUYASYAS;MAIN ROAD;RR;320.00;;
BUYASYAS;INTERIOR;RR;200.00;;
CANABUAN;MAIN ROAD;RR;320.00;;
CANABUAN;INTERIOR;RR;200.00;;
IMUGAN;MAIN ROAD;RR;320.00;;
IMUGAN;INTERIOR;RR;200.00;;
MALICO;MAIN ROAD;RR;320.00;;
MALICO;INTERIOR;RR;200.00;;
SINAPAOAN;MAIN ROAD;RR;320.00;;
SINAPAOAN;INTERIOR;RR;200.00;;
SANTA ROSA;MAIN ROAD;RR;320.00;;
SANTA ROSA;INTERIOR;RR;200.00;;
TACTAC;MAIN ROAD;RR;320.00;;
TACTAC;INTERIOR;RR;200.00;;
UNIB;MAIN ROAD;RR;320.00;;
UNIB;INTERIOR;RR;200.00;;
VILLAFLORES;MAIN ROAD;RR;320.00;;
VILLAFLORES;INTERIOR;RR;200.00;;
MUNICIPALITY:;SANTA FE;;;;
BARANGAY:;ALL OTHER BARANGAYS;;;;
NATIONAL ROAD;;RR;320.00;;
NATIONAL ROAD;;A1;10.00;;
BARANGAY ROAD;;RR;100.00;;
BARANGAY ROAD;INTERIOR;RR;30.00;;
BARANGAY ROAD;INTERIOR;A1;6.00;;
BARANGAY ROAD;INTERIOR;A2;4.00;;
BARANGAY ROAD;INTERIOR;A15;2.00;;
BARANGAY ROAD;INTERIOR;A16;4.00;;
BARANGAY ROAD;INTERIOR;A23;4.00;;
BARANGAY ROAD;INTERIOR;A47;4.00;;
BARANGAY ROAD;INTERIOR;A48;4.00;;
BARANGAY ROAD;INTERIOR;A50;4.00;;
MUNICIPALITY:;VILLAVERDE;;;;
BARANGAY:;POBLACION;;;;
ARABON ST;B OCUMEN-SALUDARES;RR;400.00;;
B. OCUMEN ST;PROV RD-SALUDARES;RR;400.00;;
B. OCUMEN ST;INTERIOR;RR;300.00;;
BALANGATAN ST;B OCUMEN-END OF ROAD;RR;300.00;;
C. SALUDARES ST;B OCUMEN-SANNIB ST;RR;300.00;;
CARBONEL ST;PROV'L RD-SALUDARES;RR;300.00;;
F. SORIANO ST;PROV'L RD-PATPAT;RR;300.00;;
MORALES ST;B OCUMEN-CARBONELL;RR;300.00;;
PADILLA ST;B OCUMEN ST-URMAZA;RR;300.00;;
PROVINCIAL ROAD;B OCUMEN ST-PASTO ST;RR;300.00;;
R. SALUDARES ST;PROVL RD-SALUDARES;RR;300.00;;
SABADO ST;F SORIANO-SALUDARES;RR;300.00;;
URMASA ST;PROVL RD-SALUDARES;RR;300.00;;
ALL OTHER STREETS;;RR;300.00;;
ALL OTHER STREETS;INTERIOR;RR;200.00;;
MUNICIPALITY OF;VILLAVERDE;;;;
BARANGAYS:;BINTAWAN SUR, NORTE;;;;
PROVINCIAL ROAD;;CR;1,000.00;;
PROVINCIAL ROAD;;RR;500.00;;
PROVINCIAL ROAD;NICOLAS ST-PROV'L RD-IBUNG;RR;400.00;;
ABALUS ST;DOMRIQUE-PROV'L RD;RR;300.00;;
BALAQUIT ROAD;ST 3-A to PROV'L RD-IBUNG;RR;400.00;;
BALAQUIT ROAD;ST 3-A to ST 4-A (INTERIOR);RR;300.00;;
CADINGRASAN ROAD;ST 2 to ST 3 (PROV'L RD-BORJA);RR;400.00;;
CADINGRASAN ROAD;ST 2 to END (BORJA-END);RR;300.00;;
CAPIDDIGAN;ST 2 to ST 3;RR;400.00;;
CAPIDDIGAN;ST 3 to END;RR;300.00;;
PROVL ROAD TO CAREB;(500 M from JUNCTION);RR;400.00;;
STREET 1;STREET D to END;RR;300.00;;
STREET 2;;CR;1,000.00;;
STREET 2;;RR;500.00;;
STREETS 3 & 3-A;;CR;1,000.00;;
STREETS 3 & 3-A;;RR;500.00;;
STREET 4;ST 3-A to ST4-A;RR;300.00;;
STREETS 4 to 4-A;;CR;1,000.00;;
STREETS 4 to 4-A;;RR;500.00;;
STREET 5;;CR;1,000.00;;
STREET 5;;RR;500.00;;
STREET 6;;CR;1,000.00;;
STREET 6;;RR;500.00;;
STREET A;ST 3-A to PROVL RD-IBUNG;RR;300.00;;
STREET C;ST 3-A to PROVL RD-IBUNG;RR;300.00;;
STREET C;ST 5-A  to ST 4-A;RR;300.00;;
STREET D;ST 2 to ST 3;RR;300.00;;
STREET D;ST 3 to ST 6;RR;300.00;;
STREET D;ST 1 to ST 2;RR;300.00;;
MUNICIPALITY:;VILLAVERDE;;;;
BARANGAY:;POBLACION (IBUNG);;;;
PROVINCIAL ROAD;A. PALUTAN BRIDGE-GUERRERO ST;RR;500.00;;
PROVINCIAL ROAD;C. URBAN-MARIÑAS ST;CR;1,000.00;;
PROVINCIAL ROAD;URBAN-SAWMILL ST;RR;500.00;;
PROVINCIAL ROAD;INTERIOR;RR;400.00;;
ALLASCON ST;GARMA ST-PROVL ROAD;RR;500.00;;
CAREB/IBUNG ROAD;IBUNG/CAREB BDRY-PROVL ROAD;RR;500.00;;
CAREB/IBUNG ROAD;INTERIOR;RR;400.00;;
GARMA ST;PALUTAN CRK-GUERRERO;RR;400.00;;
GUERRERO ST;GARMA ST-PROVL RD;RR;300.00;;
J. DE GUZMAN ST;RIVERA-PROVL RD;RR;400.00;;
J. DE GUZMAN ST;GARMA-PROVL ROAD;RR;400.00;;
MARIÑAS ST;GARMA-PROVL ROAD;RR;400.00;;
NAGBITIN RD;IBUNG/CAREB BDRY-GARMA ST;RR;400.00;;
NAGBITIN RD;INTERIOR;RR;300.00;;
NATIVIDAD ST;PALATAN CRK- PROVL RD;RR;300.00;;
NATIVIDAD ST;INTERIOR;RR;300.00;;
PATAJO ST;J. DE GUZMAN-PROVL RD;CR;400.00;;
PATAJO ST;PALUTAN CRK-GUERRERO;RR;300.00;;
PIMENTEL ST;GARMA ST-RIVERA ST;RR;500.00;;
RIVERA ST;PALUTAN CRK-PROVL RD;CR;500.00;;
RIVERA ST;PALUTAN CRK-GUERRERO;RR;300.00;;
URBAN ST;PALUTAN CRK-GUERRERO;RR;400.00;;
MUNICIPALITY:;VILLAVERDE;;;;
BARANGAY:;ALL OTHER BARANGAYS;;;;
PROVINCIAL ROAD;;RR;200.00;;
BARANGAY ROAD;;RR;150.00;;
BARANGAY ROAD;INTERIOR;RR;100.00;;
BARANGAY ROAD;INTERIOR;A1;10.00;;
BARANGAY ROAD;INTERIOR;A2;7.00;;
BARANGAY ROAD;INTERIOR;A15;3.00;;
BARANGAY ROAD;INTERIOR;A16;4.00;;
BARANGAY ROAD;INTERIOR;A23;5.00;;
BARANGAY ROAD;INTERIOR;A47;4.00;;
BARANGAY ROAD;INTERIOR;A48;4.00;;
BARANGAY ROAD;INTERIOR;A50;5.00;;
BARANGAY ROAD;INTERIOR;GP;28.00;;
