RDO:;RDO NO. 14 - BAYOMBONG, NUEVA  VIZCAYA;;;;
ELLIAS ST;MICO ST-J. AGSUNDO ST;RR;35.00;;
ELLIAS ST;INTERIOR;RR;20.00;;
F. RUNAS ST;DULAY ST;RR;35.00;;
J. AGSUNDO ST;MACPAYAO ST-TUBO RIVER;RR;35.00;;
M. ALEJO ST;PEREZ ST-DULNUAN ST;RR;35.00;;
M. HUFALAR ST;BRIMO ST-TUKID ST;RR;40.00;;
MAGPAYAO ST;MICO ST-DALMAN ST;RR;35.00;;
MICO ST;TUCPI ST-ELLIAS ST;RR;35.00;;
O. D. CADIENTE ST;PEREZ ST-ASUNCION ST;RR;35.00;;
P. G. DUMLAO ST;NAT'L RD-BUMOLO ST;RR;40.00;;
PEREZ ST;RANADA-MACPAYAO CEM;RR;35.00;;
SUMALING ST;ALIGUYON ST-MICO ST;RR;40.00;;
TUCPI ST;MICO ST-AWIODI ST;RR;35.00;;
TUCPI ST;INTERIOR;RR;20.00;;
TUKID ST;TUBO RIVER-C. M. RANADA;RR;40.00;;
VILLAFLORES ST;ALIGUYON ST-MICO ST;RR;40.00;;
Municipality/City:;KASIBU;;;;
BARANGAY:;ALL OTHER BARANGAYS;;;;
PROVINCIAL ROAD;;RR;30.00;;
NATIONAL ROAD;;A1;7.00;;
BARANGAY ROAD;;RR;20.00;;
BARANGAY ROAD;INTERIOR;RR;15.00;;
BARANGAY ROAD;INTERIOR;A1;5.00;;
BARANGAY ROAD;INTERIOR;A2;3.00;;
BARANGAY ROAD;INTERIOR;A15;1.00;;
BARANGAY ROAD;INTERIOR;A16;2.00;;
BARANGAY ROAD;INTERIOR;A23;2.00;;
BARANGAY ROAD;INTERIOR;A47;2.00;;
BARANGAY ROAD;INTERIOR;A48;2.00;;
BARANGAY ROAD;INTERIOR;A50;2.00;;
Municipality/City:;QUEZON;;;;
BARANGAY:;POBLACION;;;;
PROVINCIAL ROAD;LUMANNAP CREEK-MACAPAGAL ST;CR;125.00;;
PROVINCIAL ROAD;LUMANNAP CREEK-MACAPAGAL ST;RR;60.00;;
A. BONIFACIO ST;PROV'L RD-CADIENTE ST;RR;60.00;;
A. BONIFACIO ST;LUMANNAP CREEK-END OF CADIENTE;RR;60.00;;
A. BONIFACIO ST;INTERIOR;RR;35.00;;
DON MARCOS ST;LUMANNAP CRK-MARCOS;RR;60.00;;
DON MARCOS ST;INTERIOR;RR;35.00;;
M. L. QUEZON ST;PROV'L RD-CADIENTE ST;RR;60.00;;
MACAPAGAL ST;PROV'L RD-CADIENTE ST;RR;60.00;;
MAGSAYSAY ST;PROV'L RD-CADIENTE ST;CR;60.00;;
Municipality/City:;QUEZON;;;;
BARANGAY:;ALL OTHER BARANGAYS;;;;
PROVINCIAL ROAD;;RR;60.00;;
PROVINCIAL ROAD;INTERIOR;RR;35.00;;
BARANGAY ROAD;;RR;30.00;;
BARANGAY ROAD;INTERIOR;RR;20.00;;
BARANGAY ROAD;INTERIOR;A1;5.00;;
BARANGAY ROAD;INTERIOR;A2;3.00;;
BARANGAY ROAD;INTERIOR;A15;1.00;;
BARANGAY ROAD;INTERIOR;A16;2.00;;
BARANGAY ROAD;INTERIOR;A23;2.00;;
BARANGAY ROAD;INTERIOR;A47;2.00;;
BARANGAY ROAD;INTERIOR;A48;2.00;;
BARANGAY ROAD;INTERIOR;A50;2.00;;
Municipality/City:;SANTA FE;;;;
BARANGAY:;POBLACION;;;;
POBLACION;MARKET SITE;CR;300.00;;
POBLACION;POBLACION PROPER;CR;400.00;;
POBLACION;POB. PROPER-PEREZ PARK;RR;130.00;;
NATIONAL HIGHWAY;ZIGZAG ROAD;RR;45.00;;
ATBU;MAIN ROAD;RR;35.00;;
ATBU;INTERIOR;RR;25.00;;
BALETE;MAIN ROAD;RR;35.00;;
BALETE;INTERIOR;RR;25.00;;
BALILING;MAIN ROAD;RR;40.00;;
BALILING;INTERIOR;RR;30.00;;
BANTINAN;MAIN ROAD;RR;35.00;;
BANTINAN;INTERIOR;RR;25.00;;
BARACBAC;MAIN ROAD;RR;35.00;;
BARACBAC;INTERIOR;RR;25.00;;
BUYASYAS;MAIN ROAD;RR;35.00;;
BUYASYAS;INTERIOR;RR;25.00;;
CANABUAN;MAIN ROAD;RR;35.00;;
CANABUAN;INTERIOR;RR;25.00;;
IMUGAN;MAIN ROAD;RR;35.00;;
IMUGAN;INTERIOR;RR;25.00;;
MALICO;MAIN ROAD;RR;35.00;;
MALICO;INTERIOR;RR;25.00;;
SINAPAOAN;MAIN ROAD;RR;35.00;;
SINAPAOAN;INTERIOR;RR;25.00;;
SANTA ROSA;MAIN ROAD;RR;35.00;;
SANTA ROSA;INTERIOR;RR;25.00;;
TACTAC;MAIN ROAD;RR;35.00;;
TACTAC;INTERIOR;RR;25.00;;
UNIB;MAIN ROAD;RR;35.00;;
UNIB;INTERIOR;RR;25.00;;
VILLAFLORES;MAIN ROAD;RR;45.00;;
VILLAFLORES;INTERIOR;RR;30.00;;
Municipality/City:;SANTA FE;;;;
BARANGAY:;ALL OTHER BARANGAYS;;;;
NATIONAL ROAD;;RR;105.00;;
NATIONAL ROAD;ALONG NATIONAL ROAD;A1;7.00;;
BARANGAY ROAD;;RR;30.00;;
BARANGAY ROAD;INTERIOR;RR;20.00;;
BARANGAY ROAD;INTERIOR;A1;5.00;;
BARANGAY ROAD;INTERIOR;A2;3.00;;
BARANGAY ROAD;INTERIOR;A15;1.00;;
BARANGAY ROAD;INTERIOR;A16;2.00;;
BARANGAY ROAD;INTERIOR;A23;2.00;;
BARANGAY ROAD;INTERIOR;A47;2.00;;
BARANGAY ROAD;INTERIOR;A48;2.00;;
BARANGAY ROAD;INTERIOR;A50;2.00;;
Municipality/City:;SOLANO;;;;
BARANGAY:;POBLACION;;;;
NATIONAL HIGHWAY;BAY/SOLANO BDRY-BONFAL ST;CR;2,500.00;;
NATIONAL HIGHWAY;BONFAL-NEW TOWN HALL;CR;1,500.00;;
NATIONAL HIGHWAY;ALONG THE HIGHWAY;RR;500.00;;
ABACAN ST;SINTAWAN RD-YOGAD ST;CR;800.00;;
ABACAN ST;INTERIOR;RR;600.00;;
ARATAL ST;VILLAVERDE-DUPAN ST;RR;400.00;;
ARATAL ST;INTERIOR;RR;375.00;;
BACARRA ST;VILLAVERDE-DUPAN ST;RR;400.00;;
BACARRA ST;INTERIOR;RR;375.00;;
BALLESTEROS ST;TAGGAPAN-SILAWAN;RR;500.00;;
BALLESTEROS ST;INTERIOR;RR;400.00;;
BINACAO ST;VILLAVERDE-DUPAN ST;RR;400.00;;
BINACAO ST;INTERIOR;RR;375.00;;
BINTAWAN ROAD;VILLAVERDE-DUPAN ST;RR;600.00;;
BINTAWAN ROAD;INTERIOR;RR;300.00;;
BONFAL ST;J. P. RIZAL-BURGOS ST;CR;2,000.00;;
BONFAL ST;ALONG THE ROAD;RR;900.00;;
BONFAL ST;INTERIOR;RR;400.00;;
BONIFACIO ST;TAGGAPAN-SILAWAN;RR;500.00;;
BONIFACIO ST;INTERIOR;RR;400.00;;
BURGOS ST;BINTAWAN RD-BAGABAG;RR;400.00;;
BURGOS ST;TAGGAPAN-BINTAWAN BR;RR;500.00;;
BURGOS ST;INTERIOR;RR;400.00;;
CUBCUB ST;VILLAVERDE-DUPAN ST;RR;400.00;;
CUBCUB ST;INTERIOR;RR;375.00;;
DUPAN ST;TAGGAPAN-SILAWAN;RR;500.00;;
DUPAN ST;INTERIOR;RR;400.00;;
GADDANG ST;J. P. RIZAL-MABINI ST;CR;2,550.00;;
GADDANG ST;J. P. RIZAL-BONIFACIO ST;CR;3,650.00;;
GADDANG ST;ALONG THE ROAD;RR;800.00;;
GADDANG ST;INTERIOR;RR;700.00;;
GEN. A. LUNA ST;J. P. RIZAL-MABINI ST;CR;3,550.00;;
GEN. A. LUNA ST;J. P. RIZAL-BONIFACIO ST;CR;3,600.00;;
GEN. A. LUNA ST;ALONG THE ROAD;RR;800.00;;
GEN. A. LUNA ST;INTERIOR;RR;700.00;;
GEN. SANTOS ST;J. P. RIZAL-BONIFACIO;CR;2,000.00;;
GEN. SANTOS ST;ALONG THE ROAD;RR;800.00;;
GEN. SANTOS ST;INTERIOR;RR;400.00;;
J. LUNA ST;TAGGAPAN-SILAWAN;RR;500.00;;
J. LUNA ST;INTERIOR;RR;400.00;;
JUMAPA ST;TAGGAPAN-SILAWAN;RR;500.00;;
JUMAPA ST;INTERIOR;RR;400.00;;
KHRISTINE VILL.;BAGAHABAG;RR;800.00;;
LAGAT ST;VILLAVERDE-DUPAN ST;RR;400.00;;
LAGAT ST;INTERIOR;RR;375.00;;
LEYBA ST;TAGGAPAN-SILAWAN;RR;500.00;;
LEYBA ST;INTERIOR;RR;400.00;;
LUMABANG ST;VILLAVERDE-DUPAN ST;RR;400.00;;
LUMABANG ST;INTERIOR;RR;375.00;;
MABINI ST;BINTAWAN-BONFAL ST;CR;1,000.00;;
MABINI ST;ALONG THE ROAD;RR;600.00;;
MABINI ST;INTERIOR;RR;500.00;;
MAGSAYSAY ST;VILLAVERDE-DUPAN ST;RR;400.00;;
MAGSAYSAY ST;INTERIOR;RR;375.00;;
PATA ST;BALONGKITA-VILLAVERDE;RR;400.00;;
PATA ST;INTERIOR;RR;350.00;;
PLARIDEL ST;TAGGAPAN-SILAWAN;RR;500.00;;
PLARIDEL ST;INTERIOR;RR;400.00;;
SILAWAN ST;VILLAVERDE-DUPAN ST;RR;400.00;;
SILAWAN ST;INTERIOR;RR;375.00;;
TAGGAPAN ST;VILLAVERDE-DUPAN ST;RR;400.00;;
TAGGAPAN ST;INTERIOR;RR;375.00;;
VILLAVERDE ST;TAGGAPAN-SILAWAN;RR;500.00;;
VILLAVERDE ST;INTERIOR;RR;400.00;;
Municipality/City:;SOLANO;;;;
BARANGAY:;ALL OTHER BARANGAYS;;;;
PROVINCIAL ROAD;;RR;400.00;;
BARANGAY ROAD;;RR;200.00;;
BARANGAY ROAD;INTERIOR;RR;75.00;;
BARANGAY ROAD;INTERIOR;A1;10.00;;
BARANGAY ROAD;INTERIOR;A2;5.00;;
BARANGAY ROAD;INTERIOR;A15;1.00;;
BARANGAY ROAD;INTERIOR;A16;4.00;;
BARANGAY ROAD;INTERIOR;A23;4.00;;
BARANGAY ROAD;INTERIOR;A47;4.00;;
BARANGAY ROAD;INTERIOR;A48;4.00;;
BARANGAY ROAD;INTERIOR;A50;4.00;;
Municipality/City:;VILLAVERDE;;;;
BARANGAY:;POBLACION;;;;
ARABON ST;B. OCUMEN-SALUDARES;RR;60.00;;
B. OCUMEN ST;PROV. RD-SALUDARES;RR;60.00;;
B. OCUMEN ST;INTERIOR;RR;25.00;;
BALANGATAN ST;B. OCUMEN-END OF ROAD;RR;60.00;;
C. SALUDARES ST;B. OCUMEN-SANNIB ST;RR;60.00;;
CARBONEL ST;PROV'L RD-SALUDARES;RR;60.00;;
F. SORIANO ST;PROV'L RD-PATPAT;RR;60.00;;
MORALES ST;B. OCUMEN-CARBONELL;RR;60.00;;
PADILLA ST;B. OCUMEN ST-URMAZA;RR;60.00;;
PROVINCIAL ROAD;B. OCUMEN ST-PASTO ST;RR;60.00;;
R. SALUDARES ST;PROV'L RD-SALUDARES;RR;60.00;;
SABADO ST;F. SORIANO-SALUDARES;RR;60.00;;
URMASA ST;PROV'L RD-SALUDARES;RR;60.00;;
ALL OTHER STREETS;;RR;60.00;;
ALL OTHER STREETS;INTERIOR;RR;25.00;;
Municipality/City:;VILLAVERDE;;;;
BARANGAYS:;BINTAWAN SUR & NORTE;;;;
ALONG PROVINCIAL ROAD;;CR;75.00;;
ALONG PROVINCIAL ROAD;;RR;75.00;;
ALONG ST. 2;;CR;60.00;;
ALONG ST. 2;;RR;60.00;;
ALONG ST. 4 TO 4-A;;CR;45.00;;
ALONG ST. 4 TO 4-A;;RR;45.00;;
ALONG ST. 5;;CR;45.00;;
ALONG ST. 5;;RR;45.00;;
ALONG ST. 6;;CR;45.00;;
ALONG ST. 6;;RR;45.00;;
ALONG STS. 3 & 3-A;;CR;60.00;;
ALONG STS. 3 & 3-A;;RR;60.00;;
BALAQUIT ROAD;ST 3-A to PROVL RD-IBUNG;RR;60.00;;
BALAQUIT ROAD;ST 3-A to ST 4-A;RR;45.00;;
CADINGRASAN ROAD;ST 2 to ST 3;RR;60.00;;
CADINGRASAN ROAD;ST 2 to END;RR;45.00;;
CAPIDDIGAN;ST 2 to ST 3;RR;60.00;;
CAPIDDIGAN;ST 3 to END;RR;45.00;;
PROV'L ROAD TO CAREB;(500 M from JUNCTION);RR;60.00;;
STREET 1;STREET D to END;RR;45.00;;
STREET 4;ST 3-A to ST4-A;RR;45.00;;
STREET A;ST 3-A to PROV'L ROAD-IBUNG;RR;60.00;;
STREET C;ST 3-A to PROV'L ROAD-IBUNG;RR;60.00;;
STREET C;ST 5-A  to ST 4-A;RR;45.00;;
STREET D;ST 2 to ST 3;RR;60.00;;
STREET D;ST 3 to ST 6;RR;45.00;;
STREET D;ST 1 to ST 2;RR;45.00;;
Municipality/City:;VILLAVERDE;;;;
BARANGAY:;POBLACION (IBUNG);;;;
PROVINCIAL ROAD;A. PALUTAN BRIDGE-GUERRERO ST;RR;65.00;;
PROVINCIAL ROAD;C. URBAN-MARINAS ST;CR;100.00;;
PROVINCIAL ROAD;URBAN-SAWMILL ST;RR;65.00;;
PROVINCIAL ROAD;INTERIOR;RR;25.00;;
ALLASCON ST;GARMA ST-PROVL ROAD;RR;70.00;;
CAREB/IBUNG ROAD;IBUNG/CAREB BDRY-PROV'L ROAD;RR;60.00;;
CAREB/IBUNG ROAD;INTERIOR;RR;50.00;;
GARMA ST;PALUTAN CRK-GUERRERO;RR;70.00;;
GUERRERO ST;GARMA ST-PROV'L RD;RR;70.00;;
J. DE GUZMAN ST;RIVERA-PROV'L RD;RR;100.00;;
J. DE GUZMAN ST;GARMA-PROV'L ROAD;RR;100.00;;
MARINAS ST;GARMA-PROV'L ROAD;RR;100.00;;
NAGBITIN RD;IBUNG/CAREB BDRY-GARMA ST;RR;70.00;;
NAGBITIN RD;INTERIOR;RR;60.00;;
NATIVIDAD ST;PALATAN CRK- PROV'L RD;RR;70.00;;
NATIVIDAD ST;INTERIOR;RR;60.00;;
PATAJO ST;J. DE GUZMAN-PROVL RD;CR;100.00;;
PATAJO ST;PALUTAN CRK-GUERRERO;RR;60.00;;
PIMENTEL ST;GARMA ST-RIVERA ST;RR;100.00;;
RIVERA ST;PALUTAN CRK-PROV'L RD;CR;100.00;;
RIVERA ST;PALUTAN CRK-GUERRERO;RR;70.00;;
URBAN ST;PALUTAN CRK-GUERRERO;RR;70.00;;
Municipality/City:;VILLAVERDE;;;;
BARANGAY:;ALL OTHER BARANGAYS;;;;
PROVINCIAL ROAD;;RR;60.00;;
BARANGAY ROAD;;RR;40.00;;
BARANGAY ROAD;INTERIOR;RR;20.00;;
BARANGAY ROAD;INTERIOR;A1;7.00;;
BARANGAY ROAD;INTERIOR;A2;5.00;;
BARANGAY ROAD;INTERIOR;A15;2.00;;
BARANGAY ROAD;INTERIOR;A16;2.00;;
BARANGAY ROAD;INTERIOR;A23;4.00;;
BARANGAY ROAD;INTERIOR;A47;2.00;;
BARANGAY ROAD;INTERIOR;A48;2.00;;
BARANGAY ROAD;INTERIOR;A50;4.00;;
BARANGAY ROAD;INTERIOR;GP;20.00;;
