RDO NO. 46;CAINTA-TAYTAY;;;;
ROBES ST.;;RR;1,250.00;;
SAN JUAN HEIGHTS;;RR;1,250.00;;
SAN JUAN ST.;;RR;1,250.00;;
SITIO VICTORIA (MRR);;RR;1,000.00;;
ST. ANTHONY SUBD.;;RR;1,750.00;;
ST. FRANCIS SUBD.;;RR;2,250.00;;
ESTRELLA HOMES;;RR;1,250.00;;
ALL OTHER STREETS;;RR;1,500.00;;
ALL OTHER SUBDIVISIONS;;RR;1,500.00;;
ALL OTHER CONDOMINIUMS;;CC/RC;20,000.00;;
TOWNHOUSES;;CC/RC;18,000.00;;
CITY/MUNICIPALITY:;CAINTA;;;;
BARANGAY:;SAN ROQUE;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REVISION ZV/SQ.M.;;
BONIFACIO AVE.;M.H. DEL PILAR-SAN JUAN BRID;RR;8,500.00;;
BONIFACIO AVE.;ORTIGAS JUNCTION-CAINTA RURAL BANK BANK;CR;10,000.00;;
BONIFACIO AVE.;ORTIGAS JUNCTION-CAINTA RURAL BANK BANK;I;15,000.00;;
BONIFACIO AVE.;SAN JUAN BRIDGE-(CAINTA RURAL BANK)-TAYTAY BDRY.;CR;7,000.00;;
BONIFACIO AVE.;;RR;6,000.00;;
BONIFACIO AVE.;;I;10,000.00;;
DA COMPOUND;;RR;1,750.00;;
DM COMPOUND;;RR;1,750.00;;
ESTRELLA ST.;;RR;1,250.00;;
GREENLAND SUBD.;;RR;2,250.00;;
J. BASIG ST.;;RR;1,250.00;;
MADERA HOMES(MADONNA HOMES);;RR;1,750.00;;
MATAHIMIK ST. (PAROLA);;RR;1,250.00;;
PAROLA ST.;;RR;1,500.00;;
ROSS ANN CMPD.;;RR;1,250.00;;
STA. CRUZ ST.;;RR;1,250.00;;
ST. CHRISTOPHER SUBD.;;RR;1,250.00;;
SUMMERGREEN SUBD.;;RR;2,250.00;;
VINICE HOMES;;RR;2,000.00;;
ALL OTHER STREETS;;RR;1,500.00;;
ALL OTHER SUBDIVISIONS;;RR;2,500.00;;
CONDOMINIUMS;;CC/RC;20,000.00;;
TOWNHOUSES;;CC/RC;18,000.00;;
CITY/MUNICIPALITY:;CAINTA;;;;
BARANGAY:;STA. ROSA;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REVISION ZV/SQ.M.;;
BAYANIHAN SUBD;;RR;1,750.00;;
BUENAVILLE;;RR;2,250.00;;
CATALINO CRUZ ST.;;RR;1,250.00;;
FELIX AVE.;GRUAR RD - ORTIGAS JUNCTION;RR;15,000.00;;
FELIX AVE.;GRUAR RD - ORTIGAS JUNCTION;CR;16,000.00;;
FELIX AVE.;MARCOS HI-WAY-CAINTA GREENPARK;I;20,000.00;;
FELIX AVE.;CAINTA GREENPARK-KASIBULAN;CR;11,000.00;;
FELIX AVE.;CAINTA GREENPARK-KASIBULAN;RR;10,000.00;;
FELIX AVE.;CAINTA GREENPARK-KASIBULAN;I;10,000.00;;
FELIX AVE.;KASIBULAN-JUNCTION;RR;7,000.00;;
FELIX AVE.;KASIBULAN-JUNCTION;CR;8,000.00;;
FELIX AVE.;KASIBULAN-JUNCTION;I;8,000.00;;
CONDOMINIUMS;;CC/RC;35,000.00;;
TOWNHOUSES;;CC/RC;30,000.00;;
GRUAR SUBD.;;RR;1,750.00;;
M.H. DEL PILAR ST.;;RR;1,250.00;;
ORTIGAS AVE.;SERG FOOD PRODUCT-SUNSET;RR;13,500.00;;
ORTIGAS AVE.;PASIG-TAYTAY BDRY.;CR;15,000.00;;
ORTIGAS AVE.;PASIG-TAYTAY BDRY.;I;20,000.00;;
CONDOMINIUMS;;CC/RC;25,000.00;;
TOWNHOUSES;;CC/RC;20,000.00;;
P. BURGOS ST.;;RR;1,250.00;;
VIRLANE SUBD.;;RR;1,750.00;;
ALL OTHER STREETS;;RR;2,000.00;;
ALL OTHER SUBDIVISIONS;;RR;2,000.00;;
ALL OTHER CONDOMINIUMS;;CC/RC;20,000.00;;
TOWNHOUSES;;CC/RC;18,000.00;;
CITY/MUNICIPALITY:;CAINTA;;;;
BARANGAY:;STO. DOMINGO;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REVISION ZV/SQ.M.;;
A. BONIFACIO AVE.;ORTIGAS JUNCTION - MH DEL PILAR- CAINTA RURAL BANK;RR;8,500.00;;
A. BONIFACIO AVE.;;CR;10,000.00;;
A. BONIFACIO AVE.;;I;15,000.00;;
A. BONIFACIO AVE.;CAINTA RURAL BANK-TAYTAY BD;RR;5,600.00;;
A. BONIFACIO AVE.;CAINTA RURAL BANK-TAYTAY BD;CR;7,000.00;;
A. BONIFACIO AVE.;CAINTA RURAL BANK-TAYTAY BD;I;10,000.00;;
COUNTRY HOMES;;RR;2,500.00;;
CYPRESS SUBD.;;RR;1,750.00;;
E & L CMPD;;RR;1,750.00;;
ESLA HOMES;;RR;1,750.00;;
GREEN CITY ESTATE;;RR;2,250.00;;
GRUAR SUBD.;;RR;1,750.00;;
KASIBULAN SUBD. I;;RR;1,750.00;;
MARICK SUBD.;;RR;1,750.00;;
ROD-FER CMPD.;;RR;2,000.00;;
STO. DOMINGO CMPD.;;RR;1,750.00;;
VILLAGE EAST;;RR;2,250.00;;
VISTA VERDE (VISTA VERDE EXECUTIVE);;RR;2,250.00;;
VILLA OLYNPIA SUBD.;;RR;2,000.00;;
ALL OTHER STREETS;;RR;1,500.00;;
ALL OTHER SUBDIVISIONS;;RR;2,000.00;;
CONDOMINIUMS;;CC/RC;20,000.00;;
TOWNHOUSES;;CC/RC;18,000.00;;
CITY/MUNICIPALITY:;CAINTA;;;;
BARANGAY:;STO. NIÑO;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REVISION ZV/SQ.M.;;
A. MABINI ST.;;RR;1,250.00;;
CATALINO C. CRUZ ST.;;RR;1,250.00;;
DON MARIANO SUBD.;;RR;1,750.00;;
JAVIER ST.;;RR;1,250.00;;
MAPANDAN ST. (ROTC);;RR;1,250.00;;
MONTE VISTA PARK;;RR;2,250.00;;
ST. DOMINIC SUBD.;;RR;1,600.00;;
VALLEY VIEW ROYALE;;RR;2,250.00;;
YOUNGSTOWN VILLAGE;;RR;2,250.00;;
ALL OTHER STREETS;;RR;1,500.00;;
ALL OTHER STREETS;;GP;500.00;;
ALL OTHER SUBDIVISIONS;;RR;2,500.00;;
CONDOMINIUMS;;CC/RC;20,000.00;;
TOWNHOUSES;;CC/RC;18,000.00;;
CITY/MUNICIPALITY:;CAINTA;;;;
BARANGAY:;TALABA;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REVISION ZV/SQ.M.;;
FELIX AVENUE;MARCOS HIWAY-CAINTA GREEN PARK;CR;16,000.00;;
FELIX AVENUE;MARCOS HIWAY-CAINTA GREEN PARK;RR;15,000.00;;
FELIX AVENUE;MARCOS HIWAY-CAINTA GREEN PARK;I;20,000.00;;
FELIX AVENUE;CAINTA GREENPARK-KASIBULAN;CR;11,000.00;;
FELIX AVENUE;CAINTA GREENPARK-KASIBULAN;RR;10,000.00;;
FELIX AVENUE;CAINTA GREENPARK-KASIBULAN;I;10,000.00;;
FELIX AVENUE;KASIBULAN-JUNCTION;RR;7,000.00;;
FELIX AVENUE;KASIBULAN-JUNCTION;CR;8,000.00;;
FELIX AVENUE;KASIBULAN-JUNCTION;I;8,000.00;;
CONDOMINIUMS;;CC/RC;35,000.00;;
TOWNHOUSES;;CC/RC;30,000.00;;
CVS HOMES;;RR;2,250.00;;
KARANGALAN SUBD.;;RR;2,250.00;;
METROVILLE;;RR;2,250.00;;
VISTA VERDE EXECUTIVE;;RR;2,250.00;;
ALL OTHER STREETS;;RR;1,500.00;;
ALL OTHER SUBDIVISIONS;;RR;2,500.00;;
ALL OTHER CONDOMINIUMS;;CC/RC;20,000.00;;
TOWNHOUSES;;CC/RC;18,000.00;;
CITY/MUNICIPALITY:;CAINTA;;;;
BARANGAY:;TATLONG KAWAYAN;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REVISION ZV/SQ.M.;;
FELIX AVENUE;MARCOS HIWAY-CAINTA GREEN;CR;16,000.00;;
FELIX AVENUE;MARCOS HIWAY-CAINTA GREEN;RR;15,000.00;;
FELIX AVENUE;MARCOS HIWAY-CAINTA GREEN;I;20,000.00;;
FELIX AVENUE;CAINTA GREENPARK-KASIBULAN;CR;11,000.00;;
FELIX AVENUE;CAINTA GREENPARK-KASIBULAN;RR;10,000.00;;
FELIX AVENUE;CAINTA GREENPARK-KASIBULAN;I;10,000.00;;
FELIX AVENUE;KASIBULAN-JUNCTION;RR;7,000.00;;
FELIX AVENUE;KASIBULAN-JUNCTION;CR;8,000.00;;
FELIX AVENUE;KASIBULAN-JUNCTION;I;8,000.00;;
CONDOMINIUMS;;CC/RC;35,000.00;;
TOWNHOUSES;;CC/RC;30,000.00;;
CAINTA GREEN PARK SUBD.;;RR;2,250.00;;
SIGNAL CORP. SUBD;;RR;2,250.00;;
ALL OTHER STREETS;;RR;1,500.00;;
ALL OTHER SUBDIVISIONS;;RR;2,500.00;;
ALL OTHER CONDOMINIUMS;;CC /RC;20,000.00;;
TOWNHOUSES;;CC/RC;18,000.00;;
CITY/MUNICIPALITY:;CAINTA;;;;
BARANGAY:;ULILANG KAWAYAN;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REVISION ZV/SQ.M.;;
GREENWOOD SUBD;;RR;2,250.00;;
MERCEDES EXEC. SUBD.;;RR;2,250.00;;
PAG-IBIG HOUSING;;RR;1,750.00;;
ALL OTHER STREETS;;RR;1,500.00;;
ALL OTHER STREETS;;GP;800.00;;
ALL OTHER SUBDIVISIONS;;RR;2,500.00;;
CONDOMINIUMS;;CC/RC;20,000.00;;
TOWNHOUSES;;CC/RC;18,000.00;;
CITY/MUNICIPALITY:;TAYTAY;;;;
BARANGAY:;DOLORES;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REVISION ZV/SQ.M.;;
ADHIKA ST.;;RR;750.00;;
BEVERLY HILLS SUBD. PH. I;;RR;1,500.00;;
BEVERLY HILLS SUBD. PH. II AND III;;RR;1,750.00;;
BLOOMING HILLS;;RR;650.00;;
B. PAG-ASA ST.;RIZAL AVENUE - SAN MATEO ST;CR;3,500.00;;
B. PAG-ASA ST.;;RR;2,475.00;;
B. PAG-ASA ST.;S. MATEO-IBAÑEZ SUBD;RR;750.00;;
BUKAL;;RR;650.00;;
CABRERA ROAD;;RR;650.00;;
CIELITO HOMES (PART);;RR;1,300.00;;
CIUDAD GRANDE;;RR;1,050.00;;
CORTEZ ST.;;RR;650.00;;
C. VALLE ST.;;RR;650.00;;
DON ENRIQUE HEIGHTS;;RR;400.00;;
EXECUTIVE HILLS;;RR;850.00;;
FILINVEST SUBD. (HIGHLANDS POINTNE);;RR;700.00;;
GLENDALE SUBD.;;RR;900.00;;
GOLDEN CITY (VIRGINIA VALLEY);;RR;1,050.00;;
GONZAGA ST.;;RR;750.00;;
HALINA ST.;;RR;750.00;;
IBAÑEZ SUBD.;;RR;625.00;;
KADALAGAHAN ST.;;RR;2,100.00;;
KADALAGAHAN ST.;;CR;3,500.00;;
LEONARDO ST.;;RR;650.00;;
LIFE HOMES SUBD.;;RR;800.00;;
L. WOOD ST.;;RR;2,100.00;;
L. WOOD ST.;;CR;3,200.00;;
MAGANDA ST.;;RR;650.00;;
MAGILAS ST.;;RR;650.00;;
MAGILIW ST.;;RR;650.00;;
MAHARLIKA HILLS;;RR;650.00;;
MAHINHIN ST.;;RR;750.00;;
MAKISIG ST.;;RR;650.00;;
MALAYA ST.;;RR;750.00;;
MATIMTIMAN ST.;;RR;650.00;;
M. BORJA ST.;;RR;650.00;;
MLA. EAST ROAD;;CR;5,250.00;;
MLA. EAST ROAD;;RR;5,000.00;;
MONTEVISTA HEIGHTS;;RR;1,050.00;;
MORGA ST.;;RR;750.00;;
NAVAL ST.;;RR;750.00;;
NOEL'S VILLAGE;;RR;300.00;;
PALMERA HOMES (PART);;RR;1,250.00;;
PHILEC ROAD;PANTAYIN;RR;800.00;;
PINESVILLE SUBD.;;RR;800.00;;
PROV'L ROAD TO ANTIPOLO;;RR;2,100.00;;
PROV'L ROAD TO ANTIPOLO;;CR;2,900.00;;
RIZAL AVENUE;;RR;6,000.00;;
RIZAL AVENUE;;CR;7,500.00;;
SALAZAR ST.;;RR;750.00;;
SANTANA SUBD.;;RR;750.00;;
SESSION HILLS;;RR;350.00;;
SILAHIS ST.;;RR;700.00;;
SINAG-TALA ST.;;RR;650.00;;
S. MATEO ST.;;RR;750.00;;
STO. NIÑO ST.;;RR;650.00;;
SUMULONG ST.;;RR;2,100.00;;
SUMULONG ST.;;CR;3,450.00;;
TANAWAN ST.;;RR;650.00;;
TOWER HILLS (HILLCREST SUBD);;RR;1,050.00;;
TWENTY TO ONE SUBD.;;RR;750.00;;
MAGANDANG LAHI;;RR;650.00;;
COSTALINA ST.;;RR;650.00;;
SITIO TIBAGAN;;RR;650.00;;
ALL OTHER SUBD/ST.;;RR;600.00;;
ALL OTHER SUBD/ST.;;GP;290.00;;
ALL OTHER SUBD/ST.;INTERIOR LOTS;GP;100.00;;
ALL OTHER SUBD/ST.;INTERIOR LOTS;A50;100.00;;
CITY/MUNICIPALITY:;TAYTAY;;;;
BARANGAY:;MUZON;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REVISION ZV/SQ.M.;;
CIUDAD GRANDE (COSTA VILLA);;RR;750.00;;
DELA CUESTA ST.;;RR;750.00;;
HOMELAND SUBD.;;RR;785.00;;
ITAAS MUZON;;RR;600.00;;
ITALIA ST. EXT.;;RR;750.00;;
LAGUNDI;;RR;750.00;;
RIZAL AVE.;;RR;3,250.00;;
RIZAL AVE.;;CR;4,500.00;;
SAN FRANCISCO VILLAGE;;RR;750.00;;
SAN ISIDRO ST.;;RR;750.00;;
SAN MIGUEL COMPOUND;;RR;650.00;;
SAN MIGUEL ST.;;RR;750.00;;
TEACHER'S COMPOUND;;RR;650.00;;
VILLA ANGELINA SUBD. (DISPUTED);;RR;300.00;;
DIMAUNAHAN ST.;;RR;750.00;;
SUMULONG ST.;;RR;750.00;;
RAMOS COMPOUND;;RR;675.00;;
HULONG BANGIAD;;RR;550.00;;
VILLA ANGELINA;;RR;300.00;;
MONTE VERDE RIZAL SUBD.;;RR;1,100.00;;
MONTEVERDE ROYALE;;RR;1,100.00;;
ALL OTHER SUBDIVISION/STREETS;;RR;300.00;;
ALL OTHER SUBDIVISION/STREETS;;GP;200.00;;
ALL OTHER SUBDIVISION/STREETS;INTERIOR LOTS;GP;100.00;;
ALL OTHER SUBDIVISION/STREETS;INTERIOR LOTS;A50;100.00;;
CITY/MUNICIPALITY:;TAYTAY;;;;
BARANGAY:;SAN ISIDRO;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REVISION ZV/SQ.M.;;
ADHIKA ST.;;RR;750.00;;
ADMIRAL VILLAGE;;RR;1,350.00;;
ALTA MONTE GREENS;;RR;850.00;;
BULACAN ST.;;RR;750.00;;
CIELITO HOMES 3 & 6;;RR;1,300.00;;
D. ESPIRITU ST. (F. ESPIRITU ST.);;RR;800.00;;
DR. P. OCAMPO ST.;;RR;750.00;;
E. RODRIGUEZ AVE.;;CR;2,500.00;;
E. RODRIGUEZ AVE.;;RR;2,100.00;;
EXECUTIVE HILLS;;RR;850.00;;
GREGORIA HEIGHTS;;RR;1,300.00;;
ISAGANI ST.;;RR;800.00;;
JANSSENVILLE SUBD.;;RR;500.00;;
J. ASILO ST.;;RR;750.00;;
JASMINE ST.;;RR;750.00;;
JAVIER ST.;;RR;750.00;;
LIFE HOMES SUBD.;;RR;800.00;;
LORENZO ST.;;RR;750.00;;
L. WOOD ST.;;RR;2,100.00;;
L. WOOD ST.;;CR;2,250.00;;
MA. CLARA ST.;;RR;800.00;;
MALAYA ST.;;RR;750.00;;
MASIGLA ST.;;RR;750.00;;
M. LOYOLA ST.;;RR;750.00;;
MONPERT HILLS;;RR;850.00;;
MORGA ST. (M.C. ISON);;RR;1,100.00;;
M.R.R. STATION;;RR;650.00;;
ORTIGAS AVE. EXT.;;RR;10,000.00;;
ORTIGAS AVE. EXT.;;CR;12,000.00;;
ORTIGAS GREENHEIGHTS;;RR;1,300.00;;
PALMERA HOMES 1 & 2;;RR;1,300.00;;
PALUMBARIT ST.;;RR;750.00;;
PINESVILLE SUBD.;;RR;850.00;;
RIDGEMONT EXC VILL.;;RR;2,100.00;;
RIZAL AVENUE;;RR;6,000.00;;
RIZAL AVENUE;;CR;7,500.00;;
SANVICTORES ST.;;RR;750.00;;
SUMULONG ST.;;RR;2,200.00;;
SUMULONG ST.;;CR;2,250.00;;
SUNRISE ST. (CMPD);;RR;650.00;;
ST. ANTHONY SUBD.;;RR;1,300.00;;
ST. MICHAEL SUBD.;;RR;1,300.00;;
TANCINGCO SUBD.;;RR;850.00;;
ALL OTHER STREETS;;RR;600.00;;
ALL OTHER STREETS;;GP;250.00;;
BUBUNSURAN;;RR;600.00;;
SANTOS COMPOUND;;RR;750.00;;
SITIO SIMONA;;RR;600.00;;
ALL OTHER LOTS;;RR;300.00;;
ALL OTHER LOTS;;GP;250.00;;
ALL OTHER LOTS;INTERIOR LOTS;GP;100.00;;
ALL OTHER LOTS;INTERIOR LOTS;A50;100.00;;
CITY/MUNICIPALITY:;TAYTAY;;;;
BARANGAY:;SAN JUAN;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REVISION ZV/SQ.M.;;
B.A. CRUZ ST.;MANINGNING;RR;800.00;;
BAUTISTA ST.;;RR;800.00;;
B. PAG-ASA ST.;RIZAL AVE. TO S. MATEO;CR;4,000.00;;
B. PAG-ASA ST.;RIZAL AVE. TO S. MATEO;RR;3,500.00;;
B. PAG-ASA ST.;S. MATEO TO 20-1 SUBD. EAST;RR;750.00;;
BATONG DALIG;;RR;750.00;;
BUEN-MAR SUBD.;;RR;750.00;;
CABRERA ROAD;SITIO BUROL;RR;750.00;;
CALLEJON I;;RR;800.00;;
CALLEJON II;;RR;800.00;;
CIUDAD DEL SOL (PART);;RR;800.00;;
COLOSSIANS (THES.) SUBD.;;RR;750.00;;
CORTEZ ST.;;RR;800.00;;
CRESDAVILLE SUBD.;;RR;1,100.00;;
CRESDAVILLE SUBD. II;;RR;800.00;;
DIVIDEND HOMES;;RR;750.00;;
EL MONTEVERDE SUBD.;;RR;1,000.00;;
G. DEL ROSARIO ST.;;RR;800.00;;
GONZAGA ST.;;RR;800.00;;
GONZALES ST.;;RR;800.00;;
HALINA ST.;;RR;800.00;;
HULONG BANGIAD;;RR;700.00;;
IBAÑEZ ST. (PART);;RR;650.00;;
ILOG PUGAD;;RR;750.00;;
KADALAGAHAN ST. EXT.;;RR;800.00;;
KAPALARAN SUBD.;;RR;750.00;;
MADLANGHAYA ST.;;RR;800.00;;
MAHINAHON ST.;;RR;800.00;;
MAYOR E. I. CRUZ ST.;;RR;800.00;;
MERALCO SUBD.;;RR;1,200.00;;
MIRANDA SUBD.;;RR;825.00;;
MITHI ST.;;RR;800.00;;
MANILA EAST ROAD;;CR;5,000.00;;
MANILA EAST ROAD;;RR;4,500.00;;
MANILA EAST ROAD;LEADING FR HI-WAY 2000-TAYTAY MARKET;RR;4,750.00;;
MANILA EAST ROAD;;CR;6,500.00;;
MANILA EAST ROAD;W/IN A RADIUS OF 500 M FR. PUBLIC MARKET;RR;2,200.00;;
MANILA EAST ROAD;;GP;500.00;;
MONTEVERDE ROYALE;;RR;1,100.00;;
NAVAL ST.;;RR;800.00;;
ORTAÑEZ SUBD.;;RR;250.00;;
PARAMDAM ST.;;RR;800.00;;
BANGIAD/FLOODWAY RD.;;RR;550.00;;
HIGHWAY 2000;;RR;750.00;;
CEMETERY ROAD;;RR;750.00;;
SITIO MALABON;;RR;650.00;;
TALISAY ST.;;RR;700.00;;
MANILA EAST HOMES PH I;;RR;1,500.00;;
PAWID ROAD;;RR;800.00;;
RIZAL AVE.;;RR;6,000.00;;
RIZAL AVE.;;CR;6,500.00;;
RIZAL AVE.;;I;6,500.00;;
R. OCAMPO ST.;;RR;800.00;;
ROSARIO ST.;;RR;800.00;;
ROYAL SUBD.;;RR;900.00;;
SALAMAT ST.;;RR;800.00;;
SALAZAR ST.;;RR;800.00;;
SAPANG PILA;;RR;750.00;;
S. MATEO ST.;RIZAL AVE.-PAG-ASA;RR;3,500.00;;
S. MATEO ST.;RIZAL AVE.-PAG-ASA;CR;4,500.00;;
S. MATEO ST.;RIZAL - CRK NR CRUZ;RR;750.00;;
TEODORO ST.;;RR;800.00;;
TWENTY TO ONE SUBD. (PART);;RR;750.00;;
VELASQUEZ ST.;BANGIAD;RR;700.00;;
VICTORIA ST.;;RR;800.00;;
ALL OTHER STREETS;LEADING FROM H-WAY 2000-TAYTAY MARKET;RR;4,750.00;;
ALL OTHER STREETS;W/IN A RADIUS OF 500 M FR PUBLIC MARKET;CR;6,500.00;;
ALL OTHER STREETS;;RR;2,000.00;;
ALL OTHER STREETS;;GP;500.00;;
ALL OTHER SUBDIVISION/STRRETS;;RR;750.00;;
ALL OTHER SUBDIVISION/STRRETS;;GP;500.00;;
ST. JOHN PARK HOMES;;RR;750.00;;
GOLDEN CITY (PART);;RR;1,100.00;;
CHERRYVILLE;;RR;1,000.00;;
ALL OTHER LOTS;;RR;300.00;;
ALL OTHER LOTS;;GP;170.00;;
ALL OTHER LOTS;INTERIOR LOTS;GP;80.00;;
ALL OTHER LOTS;INTERIOR LOTS;A50;100.00;;
CITY/MUNICIPALITY:;TAYTAY;;;;
BARANGAY:;STA ANA;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REVISION ZV/SQ.M.;;
ADHIKA ST;;RR;750.00;;
AMIHAN ST.;;RR;750.00;;
B.A. CRUZ ST.;MANINGNING;RR;750.00;;
B. PAG-ASA ST.;;RR;750.00;;
BUEN-MAR II SUBD.;;RR;650.00;;
E. MATEO SUBD.;;RR;650.00;;
ISAGANI ST.;;RR;850.00;;
J. ASILO ST.;;RR;750.00;;
MARIA CLARA ST.;;RR;850.00;;
MASIGLA ST.;;RR;800.00;;
M. LOYOLA ST.;;RR;800.00;;
MORGA ST. (M.C. ISON);;RR;800.00;;
P. OCAMPO ST.;;RR;800.00;;
SILAHIS ST.;;RR;800.00;;
TUDELA CMPD.;;RR;750.00;;
VILLANUEVA ST.;;RR;800.00;;
ALL OTHER STREETS;;RR;850.00;;
ALL OTHER STREETS;;GP;350.00;;
SAMPAGUITA ST.;;RR;650.00;;
ILANG-ILANG ST.;;RR;750.00;;
CHAMPACA ST.;;RR;750.00;;
DAMA DE NOCHE ST.;;RR;750.00;;
GONZAGA COMPOUND;;RR;750.00;;
FERMINA COMPOUND;;RR;750.00;;
TUDELA;;RR;700.00;;
DUPAX I, II, III;;RR;650.00;;
LANETE ST;;RR;700.00;;
J. DE LEON;;RR;750.00;;
CIUDAD DEL SOL;;RR;800.00;;
GREENLAND SUBD. (PART);;RR;800.00;;
ALL OTHER LOTS;;RR;200.00;;
ALL OTHER LOTS;;GP;150.00;;
ALL OTHER LOTS;INTERIOR;GP;80.00;;
ALL OTHER LOTS;INTERIOR;A50;100.00;;
