RDO:;RDO NO. 14 - BAYOMBONG, NUEVA  VIZCAYA;;;;
TALECEBCEB ROAD;;RR;15.00;;
TALECEBCEB ROAD;INTERIOR;RR;12.00;;
BALANGABANG ROAD;;RR;20.00;;
BALANGABANG ROAD;INTERIOR;RR;12.00;;
CITY/MUNICIPALITY:;KAYAPA;;;;
BARANGAY:;ALL OTHER BARANGAYS;;;;
PROVINCIAL ROAD;;RR;20.00;;
PROVINCIAL ROAD;INTERIOR;RR;12.00;;
BARANGAY ROAD;;RR;15.00;;
BARANGAY ROAD;INTERIOR;RR;10.00;;
BARANGAY ROAD;INTERIOR;A1;5.00;;
BARANGAY ROAD;INTERIOR;A2;3.00;;
BARANGAY ROAD;INTERIOR;A3;2.00;;
BARANGAY ROAD;INTERIOR;A4;2.00;;
BARANGAY ROAD;INTERIOR;A5;2.00;;
BARANGAY ROAD;INTERIOR;A6;2.00;;
BARANGAY ROAD;INTERIOR;A7;1.00;;
BARANGAY ROAD;INTERIOR;A8;2.00;;
CITY/MUNICIPALITY:;QUEZON;;;;
BARANGAY:;POBLACION;;;;
PROVINCIAL ROAD;LUMANNAP CREEK-MACAPAGAL ST;CR;75.00;;
PROVINCIAL ROAD;LUMANNAP CREEK-MACAPAGAL ST;RR;60.00;;
DON MARCOS ST;LUMANNAP CRK-MARCOS;RR;60.00;;
DON MARCOS ST;INTERIOR;RR;35.00;;
MAGSAYSAY ST.;PROV'L RD-CADIENTE ST;CR;60.00;;
MACAPAGAL ST;PROV'L RD-CADIENTE ST;RR;60.00;;
A. BONIFACIO ST;PROV'L RD-CADIENTE ST;RR;60.00;;
A. BONIFACIO ST;LUMANNAP CREEK-END OF CADIENTE;RR;60.00;;
A. BONIFACIO ST;INTERIOR;RR;35.00;;
M. L. QUEZON ST;PROV'L RD-CADIENTE;RR;60.00;;
M. L. QUEZON ST;PROV'L RD-CADIENTE;;;;
CITY/MUNICIPALITY:;QUEZON;;;;
BARANGAY:;ALL OTHER BARANGAYS;;;;
PROVINCIAL ROAD;;RR;60.00;;
PROVINCIAL ROAD;INTERIOR;RR;35.00;;
BARANGAY ROAD;;RR;30.00;;
BARANGAY ROAD;INTERIOR;RR;20.00;;
BARANGAY ROAD;INTERIOR;A1;5.00;;
BARANGAY ROAD;INTERIOR;A2;3.00;;
BARANGAY ROAD;INTERIOR;A3;2.00;;
BARANGAY ROAD;INTERIOR;A4;2.00;;
BARANGAY ROAD;INTERIOR;A5;2.00;;
BARANGAY ROAD;INTERIOR;A6;2.00;;
BARANGAY ROAD;INTERIOR;A7;1.00;;
BARANGAY ROAD;INTERIOR;A8;2.00;;
CITY/MUNICIPALITY:;SANTA FE;;;;
BARANGAY:;POBLACION;;;;
POBLACION;MARKET SITE;CR;235.00;;
POBLACION;POBLACION PROPER;CR;275.00;;
POBLACION;POB PROPER-PEREZ PARK;RR;100.00;;
NATIONAL HIGHWAY;ZIGZAG ROAD;RR;20.00;;
VILLAFLORES;MAIN ROAD;RR;20.00;;
VILLAFLORES;INTERIOR;RR;15.00;;
BALILING;MAIN ROAD;RR;30.00;;
BALILING;INTERIOR;RR;20.00;;
SINAPAOAN;MAIN ROAD;RR;20.00;;
SINAPAOAN;INTERIOR;RR;15.00;;
BALETE;MAIN ROAD;RR;20.00;;
BALETE;INTERIOR;RR;15.00;;
CANABUAN;MAIN ROAD;RR;20.00;;
CANABUAN;INTERIOR;RR;15.00;;
BANTINAN;MAIN ROAD;RR;20.00;;
BANTINAN;INTERIOR;RR;15.00;;
TACTAC;MAIN ROAD;RR;20.00;;
TACTAC;INTERIOR;RR;15.00;;
ATBU;MAIN ROAD;RR;20.00;;
ATBU;INTERIOR;RR;15.00;;
IMUGAN;MAIN ROAD;RR;20.00;;
IMUGAN;INTERIOR;RR;15.00;;
MALICO;MAIN ROAD;RR;20.00;;
MALICO;INTERIOR;RR;15.00;;
UNIB;MAIN ROAD;RR;20.00;;
UNIB;INTERIOR;RR;15.00;;
SANTA ROSA;MAIN ROAD;RR;20.00;;
SANTA ROSA;INTERIOR;RR;15.00;;
BUYASYAS;MAIN ROAD;RR;20.00;;
BUYASYAS;INTERIOR;RR;15.00;;
BARACBAC;MAIN ROAD;RR;20.00;;
BARACBAC;INTERIOR;RR;15.00;;
CITY/MUNICIPALITY:;SANTA FE;;;;
BARANGAY:;ALL OTHER BARANGAYS;;;;
NATIONAL ROAD;;RR;100.00;;
BARANGAY ROAD;;RR;20.00;;
BARANGAY ROAD;INTERIOR;RR;10.00;;
BARANGAY ROAD;INTERIOR;A1;5.00;;
BARANGAY ROAD;INTERIOR;A2;3.00;;
BARANGAY ROAD;INTERIOR;A3;2.00;;
BARANGAY ROAD;INTERIOR;A4;2.00;;
BARANGAY ROAD;INTERIOR;A5;2.00;;
BARANGAY ROAD;INTERIOR;A6;2.00;;
BARANGAY ROAD;INTERIOR;A7;1.00;;
BARANGAY ROAD;INTERIOR;A8;2.00;;
CITY/MUNICIPALITY:;SOLANO;;;;
CITY/MUNICIPALITY:;;;;;
BARANGAY:;POBLACION;;;;
NATIONAL HIGHWAY;BAY/SOLANO BDRY-BONFAL ST;CR;2,500.00;;
NATIONAL HIGHWAY;BONFAL-NEW TOWN HALL;CR;1,500.00;;
NATIONAL HIGHWAY;ALONG THE HIGHWAY;RR;500.00;;
DUPAN ST;TAGGAPAN-SILAWAN;RR;500.00;;
DUPAN ST;INTERIOR;RR;400.00;;
PLARIDEL ST;TAGGAPAN-SILAWAN;RR;500.00;;
PLARIDEL ST;INTERIOR;RR;400.00;;
BONIFACIO ST;TAGGAPAN-SILAWAN;RR;500.00;;
BONIFACIO ST;INTERIOR;RR;400.00;;
J. LUNA ST;TAGGAPAN-SILAWAN;RR;500.00;;
J. LUNA ST;INTERIOR;RR;400.00;;
JUMAPA ST;TAGGAPAN-SILAWAN;RR;500.00;;
JUMAPA ST;INTERIOR;RR;400.00;;
BALLESTEROS ST;TAGGAPAN-SILAWAN;RR;500.00;;
BALLESTEROS ST;INTERIOR;RR;400.00;;
LEYBA ST;TAGGAPAN-SILAWAN;RR;500.00;;
LEYBA ST;INTERIOR;RR;400.00;;
VILLAVERDE ST;TAGGAPAN-SILAWAN;RR;500.00;;
VILLAVERDE ST;INTERIOR;RR;400.00;;
TAGGAPAN ST;VILLAVERDE-DUPAN ST;RR;400.00;;
TAGGAPAN ST;INTERIOR;RR;375.00;;
CUBCUB ST;VILLAVERDE-DUPAN ST;RR;400.00;;
CUBCUB ST;INTERIOR;RR;375.00;;
LAGAT ST;VILLAVERDE-DUPAN ST;RR;400.00;;
LAGAT ST;INTERIOR;RR;375.00;;
BACARRA ST;VILLAVERDE-DUPAN ST;RR;400.00;;
BACARRA ST;INTERIOR;RR;375.00;;
LUMABANG ST;VILLAVERDE-DUPAN ST;RR;400.00;;
LUMABANG ST;INTERIOR;RR;375.00;;
MAGSAYSAY ST;VILLAVERDE-DUPAN ST;RR;400.00;;
MAGSAYSAY ST;INTERIOR;RR;375.00;;
BINACAO ST;VILLAVERDE-DUPAN ST;RR;400.00;;
BINACAO ST;INTERIOR;RR;375.00;;
ARATAL ST;VILLAVERDE-DUPAN ST;RR;400.00;;
ARATAL ST;INTERIOR;RR;375.00;;
SILAWAN ST;VILLAVERDE-DUPAN ST;RR;400.00;;
SILAWAN ST;INTERIOR;RR;375.00;;
BURGOS ST;BINTAWAN RD-BAGABAG;RR;400.00;;
BURGOS ST;TAGGAPAN-BINTAWAN BR;RR;400.00;;
BURGOS ST;INTERIOR;RR;350.00;;
MABINI ST;BINTAWAN-BONFAL ST;CR;1,000.00;;
MABINI ST;ALONG THE ROAD;RR;600.00;;
MABINI ST;INTERIOR;RR;500.00;;
ABACAN ST;SINTAWAN RD-YOGAD ST;CR;800.00;;
ABACAN ST;INTERIOR;RR;600.00;;
BINTAWAN ROAD;VILLAVERDE-DUPAN ST;RR;600.00;;
BINTAWAN ROAD;INTERIOR;RR;300.00;;
PATA ST;BALONGKITA-VILLAVERDE;RR;400.00;;
PATA ST;INTERIOR;RR;350.00;;
GEN. SANTOS ST;J. P. RIZAL-BONIFACIO;CR;1,400.00;;
GEN. SANTOS ST;ALONG THE ROAD;RR;800.00;;
GEN. SANTOS ST;INTERIOR;RR;400.00;;
GADDANG ST;J. P. RIZAL-MABINI ST;CR;2,000.00;;
GADDANG ST;J. P. RIZAL-BONIFACIO ST;CR;2,250.00;;
GADDANG ST;ALONG THE ROAD;RR;800.00;;
GADDANG ST;INTERIOR;RR;700.00;;
GEN. A. LUNA ST;J. P. RIZAL-MABINI ST;CR;2,000.00;;
GEN. A. LUNA ST;J. P. RIZAL-BONIFACIO ST;CR;2,200.00;;
GEN. A. LUNA ST;ALONG THE ROAD;RR;800.00;;
GEN. A. LUNA ST;INTERIOR;RR;700.00;;
BONFAL ST;J. P. RIZAL-BURGOS ST;CR;1,250.00;;
BONFAL ST;ALONG THE ROAD;RR;900.00;;
BONFAL ST;INTERIOR;RR;400.00;;
CITY/MUNICIPALITY:;SOLANO;;;;
BARANGAY:;ALL OTHER BARANGAYS;;;;
;;RR;400.00;;
BARANGAY ROAD;;RR;200.00;;
BARANGAY ROAD;INTERIOR;RR;75.00;;
BARANGAY ROAD;INTERIOR;A1;10.00;;
BARANGAY ROAD;INTERIOR;A2;5.00;;
BARANGAY ROAD;INTERIOR;A3;4.00;;
BARANGAY ROAD;INTERIOR;A4;4.00;;
BARANGAY ROAD;INTERIOR;A5;4.00;;
BARANGAY ROAD;INTERIOR;A6;4.00;;
BARANGAY ROAD;INTERIOR;A7;1.00;;
BARANGAY ROAD;INTERIOR;A8;4.00;;
CITY/MUNICIPALITY:;VILLAVERDE;;;;
BARANGAY:;POBLACION;;;;
PROVINCIAL ROAD;B. OCUMEN ST-PASTO ST;RR;60.00;;
B. OCUMEN ST;PROV'L RD-SALUDARES;RR;60.00;;
B. OCUMEN ST;INTERIOR;RR;25.00;;
URMASA ST;PROV'L RD-SALUDARES;RR;60.00;;
SABADO ST;F. SORIANO-SALUDARES;RR;60.00;;
R. SALUDARES ST;PROV'L RD-SALUDARES;RR;60.00;;
CARBONEL ST;PROV'L RD-SALUDARES;RR;60.00;;
F. SORIANO ST;PROV'L RD-PATPAT;RR;60.00;;
PADILLA ST;B. OCUMEN ST-URMAZA;RR;60.00;;
ARABON ST;B. OCUMEN-SALUDARES;RR;60.00;;
MORALES ST;B. OCUMEN-CARBONELL;RR;60.00;;
BALANGATAN ST;B. OCUMEN-END OF ROAD;RR;60.00;;
C. SALUDARES ST;B. OCUMEN-SANNIB ST;RR;60.00;;
ALL OTHER STREETS;;RR;60.00;;
ALL OTHER STREETS;INTERIOR;RR;25.00;;
CITY/MUNICIPALITY:;VILLAVERDE;;;;
BARANGAY:;POBLACION (IBUNG);;;;
PROVINCIAL ROAD;A. PALUTAN BRIDGE-GUERRERO ST;RR;60.00;;
PROVINCIAL ROAD;C. URBAN-MARINAS ST;CR;100.00;;
PROVINCIAL ROAD;URBAN-SAWMILL ST;RR;60.00;;
PROVINCIAL ROAD;INTERIOR;RR;25.00;;
PATAJO ST;J. DE GUZMAN-PROVL RD;CR;100.00;;
PATAJO ST;PALUTAN CRK-GUERRERO;RR;60.00;;
RIVERA ST;PALUTAN CRK-PROVL RD;CR;100.00;;
RIVERA ST;PALUTAN CRK-GUERRERO;RR;70.00;;
URBAN ST;PALUTAN CRK-GUERRERO;RR;70.00;;
GARMA ST;PALUTAN CRK-GUERRERO;RR;70.00;;
GUERRERO ST;GARMA ST-PROVL RODD;RR;70.00;;
ALLASCON ST;GARMA ST-PROVL ROAD;RR;70.00;;
PIMENTEL ST;GARMA ST-RIVERA ST;RR;100.00;;
J. DE GUZMAN ST;RIVERA-PROV'L ROAD;RR;100.00;;
J. DE GUZMAN ST;GARMA-PROV'L ROAD;RR;100.00;;
MARINAS ST;GARMA-PROV'L ROAD;RR;100.00;;
NATIVIDAD ST;PALATAN CRK- PROV'L ROAD;RR;70.00;;
NATIVIDAD ST;INTERIOR;RR;60.00;;
NAGBITIN RD;IBUNG/CAREB BDRY-GARMA ST;RR;70.00;;
NAGBITIN RD;INTERIOR;RR;60.00;;
CAREB/IBUNG ROAD;IBUNG/CAREB BDRY-PROV'L ROAD;RR;60.00;;
CAREB/IBUNG ROAD;INTERIOR;RR;50.00;;
CITY/MUNICIPALITY:;VILLAVERDE;;;;
BARANGAY:;ALL OTHER BARANGAYS;;;;
PROVINCIAL ROAD;;RR;60.00;;
BARANGAY ROAD;;RR;40.00;;
BARANGAY ROAD;INTERIOR;RR;20.00;;
BARANGAY ROAD;INTERIOR;A1;5.00;;
BARANGAY ROAD;INTERIOR;A2;3.00;;
BARANGAY ROAD;INTERIOR;A3;2.00;;
BARANGAY ROAD;INTERIOR;A4;2.00;;
BARANGAY ROAD;INTERIOR;A5;2.00;;
BARANGAY ROAD;INTERIOR;A6;2.00;;
BARANGAY ROAD;INTERIOR;A7;1.00;;
BARANGAY ROAD;INTERIOR;A8;2.00;;
