RDO:;NO. 15 ILAGAN, ISABELA;;;;
CITY/MUNICIPALITY:;AURORA;;;;
BARANGAY:;CAIPILAN;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;12.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;AURORA;;;;
BARANGAY:;CENTRO (POBLACION);;;;
ALL LOTS;PROVINCIAL ROAD;CR;250.00;;
ALL LOTS;PROVINCIAL ROAD;X;100.00;;
ALL LOTS;PROVINCIAL ROAD;I;250.00;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;12.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;AURORA;;;;
BARANGAY:;DALIG-KALIGGA;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;AURORA;;;;
BARANGAY:;DIAMANTINA;;;;
ALL LOTS;BARANGAY ROAD;RR;70.00;;
ALL LOTS;BARANGAY ROAD;A1;12.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;AURORA;;;;
BARANGAY:;DIVOSORIA;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;12.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;AURORA;;;;
BARANGAY:;ESPERANZA;;;;
ALL LOTS;BARANGAY ROAD;RR;70.00;;
ALL LOTS;BARANGAY ROAD;A1;12.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;AURORA;;;;
BARANGAY:;ESPERANZA WEST;;;;
ALL LOTS;BARANGAY ROAD;RR;70.00;;
ALL LOTS;BARANGAY ROAD;A1;12.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;AURORA;;;;
BARANGAY:;KALABASA;;;;
ALL LOTS;BARANGAY ROAD;RR;80.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;AURORA;;;;
BARANGAY:;KAMARRUNGGAYAN;;;;
ALL LOTS;BARANGAY ROAD;RR;80.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;AURORA;;;;
BARANGAY:;MACATAL;;;;
ALL LOTS;BARANGAY ROAD;RR;70.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;AURORA;;;;
BARANGAY:;MALASIN;;;;
ALL LOTS;BARANGAY ROAD;RR;80.00;;
ALL LOTS;BARANGAY ROAD;A1;12.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;AURORA;;;;
BARANGAY:;NAM-PICUAN;;;;
ALL LOTS;BARANGAY ROAD;RR;80.00;;
;;A1;12.00;;
;;A2;6.00;;
CITY/MUNICIPALITY:;AURORA;;;;
BARANGAY:;PANECIAN;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;AURORA;;;;
BARANGAY:;RIZALINA;;;;
ALL LOTS;BARANGAY ROAD;RR;80.00;;
ALL LOTS;BARANGAY ROAD;A1;12.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;AURORA;;;;
BARANGAY:;SAN ANDRES;;;;
ALL LOTS;BARANGAY ROAD;RR;80.00;;
ALL LOTS;BARANGAY ROAD;A1;12.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;AURORA;;;;
BARANGAY:;SAN RAFAEL;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;12.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;AURORA;;;;
BARANGAY:;SAN RAMON;;;;
ALL LOTS;BARANGAY ROAD;RR;80.00;;
ALL LOTS;BARANGAY ROAD;A1;12.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;AURORA;;;;
BARANGAY:;SARANAY;;;;
ALL LOTS;BARANGAY ROAD;RR;80.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;AURORA;;;;
BARANGAY:;SANTA RITA;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;12.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;AURORA;;;;
BARANGAY:;VICTORIA;;;;
ALL LOTS;BARANGAY ROAD;RR;80.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;AURORA;;;;
BARANGAY:;VILLA FUGU;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;AURORA;;;;
BARANGAY:;VILLA NUESA;;;;
ALL LOTS;PROVINCIAL ROAD;RR;80.00;;
ALL LOTS;PROVINCIAL ROAD;A1;12.00;;
ALL LOTS;PROVINCIAL ROAD;A2;6.00;;
CITY/MUNICIPALITY:;BENITO SOLIVEN;;;;
BARANGAY:;ANDABUEN;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;5.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;BENITO SOLIVEN;;;;
BARANGAY:;ARA;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;5.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;BENITO SOLIVEN;;;;
BARANGAY:;BALLAO;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;5.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;BENITO SOLIVEN;;;;
BARANGAY:;BINUGTUNGAN;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;5.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;BENITO SOLIVEN;;;;
BARANGAY:;CAPUSERAN;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;5.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;BENITO SOLIVEN;;;;
BARANGAY:;DACUPAN;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;5.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;BENITO SOLIVEN;;;;
BARANGAY:;DANIPA;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;5.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;BENITO SOLIVEN;;;;
BARANGAY:;DISTRICT 1;;;;
ALL LOTS;PROV'L & BARANGAY ROADS;RR;140.00;;
ALL LOTS;INTERIOR LOTS;RR;115.00;;
ALL LOTS;INTERIOR LOTS;CR;210.00;;
ALL LOTS;INTERIOR LOTS;I;210.00;;
ALL LOTS;INTERIOR LOTS;A1;5.00;;
ALL LOTS;INTERIOR LOTS;A2;4.00;;
CITY/MUNICIPALITY:;BENITO SOLIVEN;;;;
BARANGAY:;DISTRICT 2;;;;
ALL LOTS;PROV'L & BARANGAY ROADS;RR;115.00;;
ALL LOTS;INTERIOR LOTS;RR;115.00;;
ALL LOTS;INTERIOR LOTS;CR;210.00;;
ALL LOTS;INTERIOR LOTS;I;210.00;;
ALL LOTS;INTERIOR LOTS;A1;5.00;;
ALL LOTS;INTERIOR LOTS;A2;4.00;;
CITY/MUNICIPALITY:;BENITO SOLIVEN;;;;
BARANGAY:;GOMEZ;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;5.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;BENITO SOLIVEN;;;;
BARANGAY:;GUILINGAN;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;5.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;BENITO SOLIVEN;;;;
BARANGAY:;LA SALETTE;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;5.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;BENITO SOLIVEN;;;;
BARANGAY:;MAKINDOL;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;5.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;BENITO SOLIVEN;;;;
BARANGAY:;MALUNO NORTE;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;5.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;BENITO SOLIVEN;;;;
BARANGAY:;MALUNO SUR;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;5.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;BENITO SOLIVEN;;;;
BARANGAY:;NACALMA;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;5.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;BENITO SOLIVEN;;;;
BARANGAY:;NEW LUCBAN;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;5.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;BENITO SOLIVEN;;;;
BARANGAY:;NEW MAGSAYSAY;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;5.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;BENITO SOLIVEN;;;;
BARANGAY:;PLACER;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;5.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;BENITO SOLIVEN;;;;
BARANGAY:  PUNIT;;;;;
ALL LOTS;PROV'L & BARANGAY ROADS;RR;70.00;;
ALL LOTS;INTERIOR LOTS;RR;65.00;;
ALL LOTS;INTERIOR LOTS;CR;125.00;;
ALL LOTS;INTERIOR LOTS;I;125.00;;
ALL LOTS;INTERIOR LOTS;A1;5.00;;
ALL LOTS;INTERIOR LOTS;A2;5.00;;
CITY/MUNICIPALITY:;BENITO SOLIVEN;;;;
BARANGAY:;SAN CARLOS;;;;
ALL LOTS;PROVINCIAL ROAD;RR;115.00;;
ALL LOTS;INTERIOR LOTS;RR;90.00;;
ALL LOTS;INTERIOR LOTS;CR;150.00;;
ALL LOTS;INTERIOR LOTS;I;150.00;;
ALL LOTS;INTERIOR LOTS;A1;5.00;;
ALL LOTS;INTERIOR LOTS;A2;4.00;;
CITY/MUNICIPALITY:;BENITO SOLIVEN;;;;
BARANGAY:;SAN FRANCISCO;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;5.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;BENITO SOLIVEN;;;;
BARANGAY:;SANTIAGO;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;5.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;BENITO SOLIVEN;;;;
BARANGAY:;SEVILLANA;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;5.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;BENITO SOLIVEN;;;;
BARANGAY:;SINIPPIT;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;5.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;BENITO SOLIVEN;;;;
BARANGAY:;SANTA CRUZ;;;;
ALL LOTS;BARANGAY ROAD;RR;90.00;;
ALL LOTS;BARANGAY ROAD;A1;5.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;BENITO SOLIVEN;;;;
BARANGAY:;VILLA LUZ;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;5.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;BENITO SOLIVEN;;;;
BARANGAY:;YEBAN NORTE;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;5.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;BENITO SOLIVEN;;;;
BARANGAY:;YEBAN SUR;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;5.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;BURGOS;;;;
BARANGAY:;BACNOR EAST;;;;
ALL LOTS;BARANGAY ROAD;RR;70.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;BURGOS;;;;
BARANGAY:;BACNOR WEST;;;;
ALL LOTS;BARANGAY ROAD;RR;70.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;BURGOS;;;;
BARANGAY:;BURGOS POBLACION;;;;
ALL LOTS;PROVINCIAL ROAD;CR;120.00;;
ALL LOTS;PROVINCIAL ROAD;X;60.00;;
ALL LOTS;BARANGAY ROAD;RR;70.00;;
ALL LOTS;BARANGAY ROAD;A1;9.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;BURGOS;;;;
BARANGAY:;CALIGUIAN;;;;
ALL LOTS;BARANGAY ROAD;RR;70.00;;
ALL LOTS;BARANGAY ROAD;CR;140.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;BURGOS;;;;
BARANGAY:;CATABBAN;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;9.50;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;BURGOS;;;;
BARANGAY:;CULLALABO DEL NORTE;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;11.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;BURGOS;;;;
BARANGAY:;CULLALABU SUR;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;BURGOS;;;;
BARANGAY:;DALIG;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;9.00;;
ALL LOTS;BARANGAY ROAD;A2;6.50;;
CITY/MUNICIPALITY:;BURGOS;;;;
BARANGAY:;MALASIN;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;6.50;;
CITY/MUNICIPALITY:;BURGOS;;;;
BARANGAY:;MASIGUN;;;;
ALL LOTS;NATIONAL ROAD;CR;180.00;;
ALL LOTS;NATIONAL ROAD;X;100.00;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;11.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;BURGOS;;;;
BARANGAY:;RANIAG;;;;
ALL LOTS;NATIONAL ROAD;CR;175.00;;
ALL LOTS;NATIONAL ROAD;X;55.00;;
ALL LOTS;BARANGAY ROAD;RR;55.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;5.50;;
CITY/MUNICIPALITY:;BURGOS;;;;
BARANGAY:;SAN ANTONIO;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;BURGOS;;;;
BARANGAY:;SAN BONIFACIO;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;11.50;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;BURGOS;;;;
BARANGAY:;SAN MIGUEL;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;BURGOS;;;;
BARANGAY:;SAN ROQUE;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;11.50;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;CABAGAN;;;;
BARANGAY:;ANAO;;;;
ALL LOTS;;CR;140.00;;
ALL LOTS;;RR;110.00;;
ALL LOTS;;A1;9.00;;
ALL LOTS;;A2;6.00;;
CITY/MUNICIPALITY:;CABAGAN;;;;
BARANGAY:;AGGUB;;;;
ALL LOTS;RIVERSIDE;RR;60.00;;
ALL LOTS;RIVERSIDE;A1;9.00;;
ALL LOTS;RIVERSIDE;A2;6.00;;
CITY/MUNICIPALITY:;CABAGAN;;;;
BARANGAY:;ANGANCASILIAN;;;;
ALL LOTS;;CR;130.00;;
ALL LOTS;;RR;100.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;5.00;;
CITY/MUNICIPALITY:;CABAGAN;;;;
BARANGAY:;BALASIG;;;;
ALL LOTS;;CR;130.00;;
ALL LOTS;;RR;100.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;5.00;;
CITY/MUNICIPALITY:;CABAGAN;;;;
BARANGAY:;CALAICAN;;;;
ALL LOTS;;RR;100.00;;
ALL LOTS;;I;300.00;;
ALL LOTS;;A1;6.00;;
ALL LOTS;;A2;3.00;;
CITY/MUNICIPALITY:;CABAGAN;;;;
BARANGAY:;CANSAN;;;;
ALL LOTS;;RR;100.00;;
ALL LOTS;;CR;130.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;5.00;;
CITY/MUNICIPALITY:;CABAGAN;;;;
BARANGAY:;CASIBARAG SUR;;;;
ALL LOTS;;CR;110.00;;
ALL LOTS;;RR;70.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;8.00;;
CITY/MUNICIPALITY:;CABAGAN;;;;
BARANGAY:;CASIBARAG NORTE;;;;
ALL LOTS;;CR;80.00;;
ALL LOTS;;RR;70.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;5.00;;
CITY/MUNICIPALITY:;CABAGAN;;;;
BARANGAY:;CATABAYUGAN;;;;
ALL LOTS;;CR;110.00;;
ALL LOTS;;RR;70.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;5.00;;
CITY/MUNICIPALITY:;CABAGAN;;;;
BARANGAY:;CENTRO;;;;
ALL LOTS;;CR;210.00;;
ALL LOTS;;RR;160.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;5.00;;
CITY/MUNICIPALITY:;CABAGAN;;;;
BARANGAY:;CUBAG;;;;
ALL LOTS;;CR;130.00;;
ALL LOTS;;RR;100.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;5.00;;
CITY/MUNICIPALITY:;CABAGAN;;;;
BARANGAY:;GARITA;;;;
ALL LOTS;;CR;130.00;;
ALL LOTS;;RR;100.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;5.00;;
CITY/MUNICIPALITY:;CABAGAN;;;;
BARANGAY:;LUQUILU;;;;
ALL LOTS;;CR;135.00;;
ALL LOTS;;RR;90.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;5.00;;
CITY/MUNICIPALITY:;CABAGAN;;;;
BARANGAY:;MABANGUG;;;;
ALL LOTS;;RR;50.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;5.00;;
CITY/MUNICIPALITY:;CABAGAN;;;;
BARANGAY:;MAGASI;;;;
ALL LOTS;;CR;130.00;;
ALL LOTS;;RR;100.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;5.00;;
CITY/MUNICIPALITY:;CABAGAN;;;;
BARANGAYS:;MASIPI EAST, MASIPI WEST;;;;
ALL LOTS;INTERIOR LOT;RR;50.00;;
ALL LOTS;INTERIOR LOT;A1;6.00;;
ALL LOTS;INTERIOR LOT;A2;5.00;;
CITY/MUNICIPALITY:;CABAGAN;;;;
BARANGAY:;NGARAG;;;;
ALL LOTS;;CR;130.00;;
ALL LOTS;;RR;100.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;4.00;;
CITY/MUNICIPALITY:;CABAGAN;;;;
BARANGAYS:;PELIG ALTO, PELIG ABAJO;;;;
ALL LOTS;INTERIOR LOT;RR;50.00;;
ALL LOTS;INTERIOR LOT;A1;6.00;;
ALL LOTS;INTERIOR LOT;A2;5.00;;
CITY/MUNICIPALITY:;CABAGAN;;;;
BARANGAY:;SAN ANTONIO;;;;
ALL LOTS;RIVERSIDE;RR;40.00;;
ALL LOTS;RIVERSIDE;A1;6.00;;
ALL LOTS;RIVERSIDE;A2;5.00;;
CITY/MUNICIPALITY:;CABAGAN;;;;
BARANGAY:;SAN BERNARDO;;;;
ALL LOTS;RIVERSIDE;RR;40.00;;
ALL LOTS;RIVERSIDE;A1;6.00;;
ALL LOTS;RIVERSIDE;A2;5.00;;
CITY/MUNICIPALITY:;CABAGAN;;;;
BARANGAY:;SAN JUAN;;;;
ALL LOTS;RIVERSIDE;RR;40.00;;
ALL LOTS;RIVERSIDE;A1;6.00;;
ALL LOTS;RIVERSIDE;A2;5.00;;
CITY/MUNICIPALITY:;CABAGAN;;;;
BARANGAY:;SAUI;;;;
ALL LOTS;RIVERSIDE;RR;40.00;;
ALL LOTS;RIVERSIDE;A1;6.00;;
ALL LOTS;RIVERSIDE;A2;5.00;;
CITY/MUNICIPALITY:;CABAGAN;;;;
BARANGAY:;TALLAG;;;;
ALL LOTS;;RR;55.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;5.00;;
CITY/MUNICIPALITY:;CABAGAN;;;;
BARANGAY:;UGAD;;;;
ALL LOTS;;CR;130.00;;
ALL LOTS;;RR;100.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;5.00;;
CITY/MUNICIPALITY:;CABAGAN;;;;
BARANGAY:;UNION;;;;
ALL LOTS;INTERIOR LOT;RR;55.00;;
ALL LOTS;INTERIOR LOT;A1;6.00;;
ALL LOTS;INTERIOR LOT;A2;5.00;;
CITY/MUNICIPALITY:;CABATUAN;;;;
BARANGAY:;CALAOCAN;;;;
ALL LOTS;;RR;300.00;;
ALL LOTS;;A1;15.00;;
ALL LOTS;;A2;10.00;;
CITY/MUNICIPALITY:;CABATUAN;;;;
BARANGAY:;CANAN;;;;
ALL LOTS;;RR;125.00;;
ALL LOTS;;A1;15.00;;
ALL LOTS;;A2;10.00;;
CITY/MUNICIPALITY:;CABATUAN;;;;
BARANGAY:;CENTRO;;;;
ALL LOTS;;CR;1,000.00;;
ALL LOTS;;RR;300.00;;
ALL LOTS;;I;1,500.00;;
CITY/MUNICIPALITY:;CABATUAN;;;;
BARANGAY:;CULING CENTRO;;;;
ALL LOTS;;RR;125.00;;
ALL LOTS;;A1;15.00;;
ALL LOTS;;A2;10.00;;
CITY/MUNICIPALITY:;CABATUAN;;;;
BARANGAY:;CULING WEST;;;;
ALL LOTS;;RR;125.00;;
ALL LOTS;;A1;15.00;;
ALL LOTS;;A2;10.00;;
CITY/MUNICIPALITY:;CABATUAN;;;;
BARANGAY:;CULING EAST;;;;
ALL LOTS;;RR;125.00;;
ALL LOTS;;A1;15.00;;
ALL LOTS;;A2;10.00;;
CITY/MUNICIPALITY:;CABATUAN;;;;
BARANGAY:;DEL CORPUZ;;;;
ALL LOTS;;RR;125.00;;
ALL LOTS;;A1;15.00;;
ALL LOTS;;A2;10.00;;
CITY/MUNICIPALITY:;CABATUAN;;;;
BARANGAY:;DEL PILAR;;;;
ALL LOTS;;RR;300.00;;
ALL LOTS;;I;1,500.00;;
ALL LOTS;INTERIOR;RR;125.00;;
ALL LOTS;INTERIOR;A1;15.00;;
ALL LOTS;INTERIOR;A2;10.00;;
CITY/MUNICIPALITY:;CABATUAN;;;;
BARANGAY:;DIAMANTINA;;;;
ALL LOTS;ALONG NAT'L ROAD;RR;300.00;;
ALL LOTS;ALONG NAT'L ROAD;I;1,500.00;;
ALL LOTS;INTERIOR;RR;125.00;;
ALL LOTS;INTERIOR;A1;15.00;;
ALL LOTS;INTERIOR;A2;10.00;;
CITY/MUNICIPALITY:;CABATUAN;;;;
BARANGAY:;LA PAZ;;;;
ALL LOTS;;RR;125.00;;
ALL LOTS;;A1;15.00;;
ALL LOTS;;A2;10.00;;
CITY/MUNICIPALITY:;CABATUAN;;;;
BARANGAY:;LUZON;;;;
ALL LOTS;;RR;300.00;;
ALL LOTS;INTERIOR;RR;125.00;;
ALL LOTS;INTERIOR;A1;15.00;;
ALL LOTS;INTERIOR;A2;10.00;;
CITY/MUNICIPALITY:;CABATUAN;;;;
BARANGAY:;MACALAOAT;;;;
ALL LOTS;;RR;300.00;;
ALL LOTS;INTERIOR;RR;125.00;;
ALL LOTS;INTERIOR;A1;15.00;;
ALL LOTS;INTERIOR;A2;10.00;;
CITY/MUNICIPALITY:;CABATUAN;;;;
BARANGAY:;MAGDALENA;;;;
ALL LOTS;;RR;300.00;;
ALL LOTS;;I;1,500.00;;
ALL LOTS;INTERIOR;RR;125.00;;
ALL LOTS;INTERIOR;A1;15.00;;
ALL LOTS;INTERIOR;A2;10.00;;
CITY/MUNICIPALITY:;CABATUAN;;;;
BARANGAY:;MAGSAYSAY;;;;
ALL LOTS;;RR;300.00;;
ALL LOTS;INTERIOR;RR;125.00;;
ALL LOTS;INTERIOR;A1;15.00;;
