RDO:;RDO NO. 51 - PASAY CITY;;;;
BARANGAY:;BARANGAY 46 ZONE 6;;;;
ALL OTHER STREETS;;RR;6,000.00;;
ALL OTHER STREETS;;CR;9,000.00;;
ALL OTHER STREETS;ALONG & NEAR ESTERO DE TRIPA DE GALLINA;RR;2,000.00;;
INTERIOR STREETS;;RR;5,000.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 47 ZONE 6;;;;
DOMINGA;L N BAYAN-GIL PUYAT;RR;9,000.00;;
LAKAS NG BAYAN;TAFT AVE-DOMINGA;RR;9,000.00;;
PRES OSMENA TAFT AVE;L N BAYAN-GIL PUYAT;RR;28,000.00;;
PRES OSMENA TAFT AVE;L N BAYAN-GIL PUYAT;CR;32,000.00;;
INTERIOR TAFT AVE;;RR;24,000.00;;
SAMONTE;TAFT AVE-SANDEJAS;RR;9,000.00;;
SANDEJAS;L N BAYAN-GIL PUYAT;RR;9,000.00;;
SEN GIL PUYAT;TAFT AVE-DOMINGA;RR;30,000.00;;
SEN GIL PUYAT;TAFT AVE-DOMINGA;CR;35,000.00;;
INTERIOR SEN GIL PUYAT;;RR;25,000.00;;
ALL OTHER STREETS;;RR;8,000.00;;
ALL OTHER STREETS;;CR;18,000.00;;
OTHER INTERIOR STREETS;;RR;7,000.00;;
BARANGAY:;BARANGAY 48 ZONE 6;;;;
ALL OTHER STREETS;;RR;5,000.00;;
ALL OTHER STREETS;;CR;9,000.00;;
ALL OTHER STREETS;ALONG & NEAR ESTERO DE TRIPA DE GALLINA;RR;2,500.00;;
INTERIOR STREETS;;RR;5,000.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 49 ZONE 7;;;;
FERNANDO;GIL PUYAT-RIVERA;RR;9,000.00;;
PRES OSMENA TAFT AVE;GIL PUYAT-RIVERA;RR;30,000.00;;
PRES OSMENA TAFT AVE;GIL PUYAT-RIVERA;CR;35,000.00;;
INTERIOR TAFT AVE;;RR;25,000.00;;
RIVERA;TAFT AVE-FERNANDO;RR;9,000.00;;
SEN GIL PUYAT AVE;TAFT AVE-FERNANDO;RR;30,000.00;;
SEN GIL PUYAT AVE;TAFT AVE-FERNANDO;CR;35,000.00;;
INTERIOR SEN GIL PUYAT;;RR;25,000.00;;
ALL OTHER STREETS;;RR;8,000.00;;
ALL OTHER STREETS;;CR;18,000.00;;
OTHER INTERIOR STREETS;;RR;7,000.00;;
BARANGAY:;BARANGAY 50 ZONE 7;;;;
BURGOS;;RR;10,000.00;;
BURGOS;;CR;15,000.00;;
ALL OTHER STREETS;;RR;3,500.00;;
ALL OTHER STREETS;;CR;7,000.00;;
INTERIOR STREETS;;RR;3,000.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 52 ZONE 7;;;;
DOMINGA;GIL PUYAT-VILLANUEVA;RR;10,000.00;;
FERNANDO;GIL PUYAT-VILLANUEVA;RR;10,000.00;;
PRES OSMENA TAFT AVE;RIVERA-VILLANUEVA;RR;28,000.00;;
PRES OSMENA TAFT AVE;RIVERA-VILLANUEVA;CR;32,000.00;;
INTERIOR TAFT AVE;;RR;24,000.00;;
RIVERA;TAFT AVE-FARNENDO;RR;10,000.00;;
VILLANUEVA;TAFT AVE-DOMINGA;RR;10,000.00;;
ALL OTHER STREETS;;RR;8,000.00;;
ALL OTHER STREETS;;CR;15,000.00;;
OTHER INTERIOR STREETS;;RR;7,000.00;;
BARANGAY:;BARANGAY 53 ZONE 7;;;;
BURGOS;;RR;10,000.00;;
BURGOS;;CR;15,000.00;;
ALL OTHER STREETS;;RR;8,000.00;;
ALL OTHER STREETS;;CR;10,000.00;;
INTERIOR STREETS;;RR;5,000.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 55 ZONE 7;;;;
DOMINGA;VILLANUEVA-TAYLO;RR;10,000.00;;
PRES OSMENA TAFT AVE;VILLANUEVA-TAYLO;RR;28,000.00;;
PRES OSMENA TAFT AVE;VILLANUEVA-TAYLO;CR;32,000.00;;
INTERIOR TAFT AVE;;RR;24,000.00;;
TAYLO;TAFT AVE-DOMINGA;RR;10,000.00;;
VILLANUEVA;TAFT AVE-DOMINGA;RR;10,000.00;;
ALL OTHER STREETS;;RR;8,000.00;;
ALL OTHER STREETS;;CR;18,000.00;;
OTHER INTERIOR STREETS;;RR;7,000.00;;
BARANGAY:;BARANGAY 56 ZONE 7;;;;
INTERIOR STREETS;;RR;5,000.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 58 ZONE 7;;;;
COLLEGE ROAD;TAFT AVE-DOMINGA;RR;10,000.00;;
DOMINGA;TAYLO-ROSARIO;RR;10,000.00;;
FERNANDO;TAFT AVE-DOMINGA;RR;10,000.00;;
PRES OSMENA TAFT AVE;TAYLO-ROSARIO;RR;28,000.00;;
PRES OSMENA TAFT AVE;TAYLO-ROSARIO;CR;32,000.00;;
INTERIOR TAFT AVE;;RR;24,000.00;;
ROSARIO;;RR;10,000.00;;
TAYLO;TAFT AVE-DOMINGA;RR;10,000.00;;
ALL OTHER STREETS;;RR;8,000.00;;
ALL OTHER STREETS;;CR;18,000.00;;
OTHER INTERIOR STREETS;;RR;7,000.00;;
BARANGAY:;BARANGAY 59 ZONE 7;;;;
ARNAIZ AVE (LIBERTAD);TAFT AVE-DOMINGA;RR;30,000.00;;
ARNAIZ AVE (LIBERTAD);TAFT AVE-DOMINGA;CR;35,000.00;;
INTERIOR LIBERTAD;;RR;25,000.00;;
DECENA;ROSARIO-LIBERTAD;RR;9,000.00;;
DOMINGA;LIBERTAD-ROSARIO;RR;10,000.00;;
PRES OSMENA TAFT AVE;;RR;30,000.00;;
PRES OSMENA TAFT AVE;;CR;35,000.00;;
INTERIOR TAFT AVE;;RR;25,000.00;;
ROSARIO;;RR;9,000.00;;
VILLAREAL;TAFT AVE-DOMINGA;RR;9,000.00;;
ALL OTHER STREETS;;RR;8,000.00;;
ALL OTHER STREETS;;CR;18,000.00;;
OTHER INTERIOR STREETS;;RR;7,000.00;;
BARANGAY:;BARANGAY 60 ZONE 7;;;;
BURGOS;;RR;10,000.00;;
BURGOS;;CR;15,000.00;;
ALL OTHER STREETS;;RR;7,500.00;;
ALL OTHER STREETS;;CR;10,000.00;;
INTERIOR STREETS;;RR;5,000.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 51 ZONE 8;;;;
BUENDIA;;RR;12,000.00;;
BUENDIA;;CR;18,000.00;;
ALL OTHER STREETS;;RR;5,000.00;;
ALL OTHER STREETS;;CR;8,000.00;;
ALL OTHER STREETS;ALONG & NEAR ESTERO DE TRIPA       DE GALLINA;RR;2,500.00;;
INTERIOR STREETS;;RR;5,000.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 54 ZONE 8;;;;
ALL OTHER STREETS;;RR;5,000.00;;
ALL OTHER STREETS;;CR;8,000.00;;
ALL OTHER STREETS;ALONG & NEAR ESTERO DE TRIPA       DE GALLINA;RR;2,500.00;;
ALL OTHER STREETS;ALONG & NEAR ESTERO DE TRIPA       DE GALLINA;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 57 ZONE 8;;;;
ALL OTHER STREETS;;RR;6,000.00;;
ALL OTHER STREETS;;CR;9,000.00;;
INTERIOR STREETS;;RR;4,000.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 61 ZONE 8;;;;
ALL OTHER STREETS;;RR;6,000.00;;
ALL OTHER STREETS;;CR;9,000.00;;
INTERIOR STREETS;;RR;4,000.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 62 ZONE 8;;;;
ALL OTHER STREETS;;RR;6,000.00;;
ALL OTHER STREETS;;CR;9,000.00;;
ALL OTHER STREETS;ALONG & NEAR ESTERO DE TRIPA       DE GALLINA;RR;2,500.00;;
BARANGAY:;BARANGAY 63 ZONE 8;;;;
ALL OTHER STREETS;;RR;6,000.00;;
ALL OTHER STREETS;;CR;9,000.00;;
ALL OTHER STREETS;ALONG & NEAR ESTERO DE TRIPA       DE GALLINA;RR;2,500.00;;
BARANGAY:;BARANGAY 64 ZONE 8;;;;
ALL OTHER STREETS;;RR;6,000.00;;
ALL OTHER STREETS;;CR;9,000.00;;
INTERIOR STREETS;;RR;4,000.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 65 ZONE 8;;;;
ALL OTHER STREETS;;RR;7,000.00;;
ALL OTHER STREETS;;CR;10,000.00;;
ALL OTHER STREETS;ALONG & NEAR ESTERO DE TRIPA       DE GALLINA;RR;3,000.00;;
BARANGAY:;BARANGAY 66 ZONE 8;;;;
CEMENTINA;;RR;20,000.00;;
CEMENTINA;;CR;25,000.00;;
ALL OTHER STREETS;;RR;6,000.00;;
ALL OTHER STREETS;;CR;10,000.00;;
ALL OTHER STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 67 ZONE 8;;;;
DOLORES;;RR;20,000.00;;
DOLORES;;CR;25,000.00;;
ALL OTHER STREETS;;RR;6,000.00;;
ALL OTHER STREETS;;CR;10,000.00;;
ALL OTHER STREETS;ALONG & NEAR ESTERO DE TRIPA       DE GALLINA;RR;3,000.00;;
ALL OTHER STREETS;ALONG & NEAR ESTERO DE TRIPA       DE GALLINA;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 68 ZONE 9;;;;
ARNAIZ AVE LIBERTAD;HARRISON-CUNETA;RR;30,000.00;;
ARNAIZ AVE LIBERTAD;HARRISON-CUNETA;CR;35,000.00;;
INTERIOR LIBERTAD;;RR;25,000.00;;
CUENCA;LIBERTAD-PALM COURT;RR;12,500.00;;
FB HARRISON;LIBERTAD-PALM COURT;RR;15,000.00;;
FB HARRISON;LIBERTAD-PALM COURT;CR;18,000.00;;
INTERIOR FB HARRISON;;RR;12,000.00;;
PALM COURT;HARRISON-CUNETA;RR;9,000.00;;
ALL OTHER STREETS;;RR;8,000.00;;
ALL OTHER STREETS;;CR;15,000.00;;
OTHER INTERIOR STREETS;;RR;7,000.00;;
BARANGAY:;BARANGAY 69 ZONE 9;;;;
ARNAIZ AVE LIBERTAD;PARK AVE-CUENCA;RR;30,000.00;;
ARNAIZ AVE LIBERTAD;PARK AVE-CUENCA;CR;35,000.00;;
INTERIOR LIBERTAD;;RR;25,000.00;;
CUENCA;LIBERTAD-PESTANA;RR;12,000.00;;
PARK AVE;LIBERTAD-PESTANA;RR;12,000.00;;
PARK AVE;LIBERTAD-PESTANA;CR;15,000.00;;
PESTANA;CUENCA-PARK AVE;RR;12,000.00;;
ALL OTHER STREETS;;RR;8,000.00;;
ALL OTHER STREETS;;CR;15,000.00;;
OTHER INTERIOR STREETS;;RR;7,000.00;;
BARANGAY:;BARANGAY 70 ZONE 9;;;;
FB HARRISON;PALM COURT-GALVEZ;RR;15,000.00;;
FB HARRISON;PALM COURT-GALVEZ;CR;20,000.00;;
INTERIOR FB HARRISON;;RR;12,000.00;;
FIGUEROA;GALVEZ-PESTANA;RR;15,000.00;;
FIGUEROA;GALVEZ-PESTANA;CR;20,000.00;;
JS GALVEZ AVE;HARRISON-FIGUERROA;RR;10,000.00;;
MOANA;;RR;10,000.00;;
OFFAREL;;RR;10,000.00;;
PALM COURT;HARRISON-CUNETA;RR;10,000.00;;
PASADENA;;RR;10,000.00;;
PESTANA;CUENCA-FIGUEROA;RR;10,000.00;;
VALHALA;;RR;10,000.00;;
ALL OTHER STREETS;;RR;9,000.00;;
ALL OTHER STREETS;;CR;15,000.00;;
OTHER INTERIOR STREETS;;RR;7,000.00;;
BARANGAY:;BARANGAY 71 ZONE 9;;;;
FIGUEROA;;RR;10,000.00;;
FIGUEROA;;CR;15,000.00;;
OFFAREL;FIGUEROA-PARK AVE;RR;10,000.00;;
PARK AVE;PESTANA-OFFAREL;RR;10,000.00;;
PARK AVE;PESTANA-OFFAREL;CR;15,000.00;;
PESTANA;;RR;10,000.00;;
PRIMERO DE MAYO;;RR;8,000.00;;
ALL OTHER STREETS;;RR;8,000.00;;
ALL OTHER STREETS;;CR;12,000.00;;
INTERIOR STREETS;;RR;7,000.00;;
BARANGAY:;BARANGAY 72 ZONE 9;;;;
FIGUEROA;OFFAREL-GALVEZ AVE;RR;10,000.00;;
FIGUEROA;OFFAREL-GALVEZ AVE;CR;15,000.00;;
GALVEZ AVE;FIGUEROA-PARK AVE;RR;10,000.00;;
KALIGTASAN;;RR;10,000.00;;
OFFAREL;FIGUEROA-PARK AVE;RR;10,000.00;;
PARK AVE;OFFAREL-GALVEZ;RR;10,000.00;;
PARK AVE;OFFAREL-GALVEZ;CR;15,000.00;;
TORRES;;RR;10,000.00;;
ALL OTHER STREETS;;RR;8,000.00;;
ALL OTHER STREETS;;CR;12,000.00;;
INTERIOR STREETS;;RR;8,000.00;;
BARANGAY:;BARANGAY 85 ZONE 9;;;;
CLAUDIO;TAFT AVE-VILLANUEVA;RR;10,000.00;;
GALVEZ AVE;PARK AVE-VILLANUEVA;RR;10,000.00;;
PARK AVE;GALVEZ-SANCHEZ;RR;10,000.00;;
PARK AVE;GALVEZ-SANCHEZ;CR;18,000.00;;
PRES OSMENA TAFT AVE;CLAUDIO-SANCHEZ;RR;28,000.00;;
PRES OSMENA TAFT AVE;CLAUDIO-SANCHEZ;CR;32,000.00;;
INTERIOR TAFT AVE;;RR;24,000.00;;
REYES;PARK AVE-VILLANUEVA;RR;10,000.00;;
SANCHEZ;PARK AVE-TAFT AVE;RR;10,000.00;;
ALL OTHER STREETS;;RR;8,000.00;;
ALL OTHER STREETS;;CR;15,000.00;;
OTHER INTERIOR STREETS;;RR;7,000.00;;
BARANGAY:;BARANGAY 86 ZONE 9;;;;
CLAUDIO;TAFT AVE-VILLANUEVA;RR;10,000.00;;
POLO RD.(Formerly GALVEZ AVE);PARK AVE-VILLANUEVA;RR;10,000.00;;
PRES OSMENA TAFT AVE;LION'S CLUB-CLAUDIO;RR;28,000.00;;
PRES OSMENA TAFT AVE;LION'S CLUB-CLAUDIO;CR;32,000.00;;
INTERIOR TAFT AVE;;RR;24,000.00;;
VILLANUEVA;LIONS CLUB-CLAUDIO;RR;10,000.00;;
ALL OTHER STREETS;;RR;8,000.00;;
ALL OTHER STREETS;;CR;15,000.00;;
OTHER INTERIOR STREETS;;RR;7,000.00;;
BARANGAY:;BARANGAY 87 ZONE 9;;;;
LIONS ROADS;TAFT AVE-VILLANUEVA;RR;12,000.00;;
PRES OSMENA TAFT AVE;RAYMUNDO-LIONS CLUB;RR;28,000.00;;
PRES OSMENA TAFT AVE;RAYMUNDO-LIONS CLUB;CR;32,000.00;;
INTERIOR TAFT AVE;;RR;24,000.00;;
RAYMUNDO;TAFT AVE-VILLANUEVA;RR;8,500.00;;
VILLANUEVA;RAYMUNDO-LIONS CLUB;RR;8,500.00;;
ALL OTHER STREETS;;RR;7,500.00;;
ALL OTHER STREETS;;CR;15,000.00;;
OTHER INTERIOR STREETS;;RR;7,500.00;;
BARANGAY:;BARANGAY 88 ZONE 9;;;;
GALVEZ AVE;VILLANUEVA-PARK AVE;RR;8,500.00;;
GARCIA;PARK AVE-VILLANUEVA;RR;8,500.00;;
PRIMERO DE MAYO;PARK AVE-VILLANUEVA;RR;8,500.00;;
PARK AVE;MAYO UNO-GALVEZ AVE;RR;8,500.00;;
PARK AVE;MAYO UNO-GALVEZ AVE;CR;12,000.00;;
VILLANUEVA;MAYO UNO-GALVEZ AVE;RR;8,500.00;;
ALL OTHER STREETS;;RR;7,500.00;;
ALL OTHER STREETS;;CR;10,500.00;;
INTERIOR STREETS;;RR;7,500.00;;
BARANGAY:;BARANGAY 89 ZONE 9;;;;
ESCOBAR;TAFT AVE-VILLANUEVA;RR;8,500.00;;
PRES OSMENA TAFT AVE;ESCOBAR-RAYMUNDO;RR;28,000.00;;
PRES OSMENA TAFT AVE;ESCOBAR-RAYMUNDO;CR;32,000.00;;
INTERIOR TAFT AVE;;RR;24,000.00;;
RAYMUNDO;TAFT AVE-VILLANUEVA;RR;8,500.00;;
VILLANUEVA;ESCOBAR-RAYMUNDO;RR;8,500.00;;
ALL OTHER STREETS;;RR;7,500.00;;
ALL OTHER STREETS;;CR;12,000.00;;
OTHER INTERIOR STREETS;;RR;7,500.00;;
BARANGAY:;BARANGAY 90 ZONE 9;;;;
ESCOBAR;TAFT AVE-VILLANUEVA;RR;8,500.00;;
GIDEON;;RR;8,500.00;;
PRIMERO DE MAYO;TAFT AVE-VILLANUEVA;RR;8,500.00;;
PRES OSMENA TAFT AVE;MAYO UNO-ESCOBAR;RR;28,000.00;;
PRES OSMENA TAFT AVE;MAYO UNO-ESCOBAR;CR;32,000.00;;
INTERIOR TAFT AVE;;RR;24,000.00;;
VILLANUEVA;MAYO UNO-ESCOBAR;RR;8,500.00;;
ALL OTHER STREETS;;RR;7,500.00;;
ALL OTHER STREETS;;CR;12,000.00;;
OTHER INTERIOR STREETS;;RR;7,500.00;;
BARANGAY:;BARANGAY 91 ZONE 9;;;;
PRIMERO DE MAYO;PARK AVE-TAFT AVE;RR;8,500.00;;
PARK AVE;REMY-MAYO UNO;RR;8,500.00;;
PARK AVE;REMY-MAYO UNO;CR;12,000.00;;
PRES OSMENA TAFT AVE;REMY-MAYO UNO;RR;28,000.00;;
PRES OSMENA TAFT AVE;REMY-MAYO UNO;CR;32,000.00;;
INTERIOR TAFT AVE;;RR;24,000.00;;
REMY;PARK AVE-VILLANUEVA;RR;8,500.00;;
VILLANUEVA;REMY-MAYO UNO;RR;8,500.00;;
ALL OTHER STREETS;;RR;7,500.00;;
ALL OTHER STREETS;;CR;18,000.00;;
OTHER INTERIOR STREETS;;RR;7,500.00;;
BARANGAY:;BARANGAY 92 ZONE 9;;;;
ARNAIZ AVE LIBERTAD;TAFT AVE-PARK AVE;RR;28,000.00;;
ARNAIZ AVE LIBERTAD;TAFT AVE-PARK AVE;CR;32,000.00;;
PARK AVE;LIBERTAD-REMY;RR;10,000.00;;
PARK AVE;LIBERTAD-REMY;CR;15,000.00;;
PRES OSMENA TAFT AVE;LIBERTAD-REMY;RR;28,000.00;;
PRES OSMENA TAFT AVE;LIBERTAD-REMY;CR;32,000.00;;
INTERIOR TAFT AVE;;RR;24,000.00;;
REMY;PARK AVE-VILLANUEVA;RR;8,500.00;;
VILLANUEVA;LIBERTAD-REMY;RR;8,500.00;;
ALL OTHER STREETS;;RR;7,500.00;;
ALL OTHER STREETS;;CR;15,000.00;;
OTHER INTERIOR STREETS;;RR;7,500.00;;
BARANGAY:;BARANGAY 73 ZONE 10;;;;
FB HARRISON;GALVEZ AVE-IGNACIO;RR;12,000.00;;
FB HARRISON;GALVEZ AVE-IGNACIO;CR;15,000.00;;
INTERIOR FB HARRISON;;RR;10,000.00;;
FIGUEROA;GALVEZ AVE-IGNACIO;RR;8,500.00;;
FIGUEROA;GALVEZ AVE-IGNACIO;CR;12,000.00;;
GALVEZ AVE;HARRISON-FIGUERROA;RR;8,500.00;;
IGNACIO;HARRISON-FIGUERROA;RR;8,500.00;;
IGNACIO;HARRISON-FIGUERROA;CR;12,000.00;;
ALL OTHER STREETS;;RR;7,500.00;;
ALL OTHER STREETS;;CR;10,500.00;;
OTHER INTERIOR STREETS;;RR;7,500.00;;
BARANGAY:;BARANGAY 74 ZONE 10;;;;
FIGUEROA;GALVEZ AVE-IGNACIO;RR;12,000.00;;
FIGUEROA;GALVEZ AVE-IGNACIO;CR;18,000.00;;
GRACE;PARK AVE-FIGUERROA;RR;10,000.00;;
IGNACIO;PARK AVE-FIGUERROA;RR;10,000.00;;
IGNACIO;PARK AVE-FIGUERROA;CR;15,000.00;;
PARK AVE;GALVEZ AVE-IGNACIO;RR;15,000.00;;
PARK AVE;GALVEZ AVE-IGNACIO;CR;18,000.00;;
ALL OTHER STREETS;;RR;9,000.00;;
ALL OTHER STREETS;;CR;12,000.00;;
INTERIOR STREETS;;RR;8,000.00;;
BARANGAY:;BARANGAY 75 ZONE 10;;;;
CUNETA AVE;FB HARRISON-PARK AVE;RR;15,000.00;;
CUNETA AVE;FB HARRISON-PARK AVE;CR;18,000.00;;
FB HARRISON;IGNACIO-CUNETA AVE;RR;15,000.00;;
FB HARRISON;IGNACIO-CUNETA AVE;CR;20,000.00;;
INTERIOR FB HARRISON;;RR;12,000.00;;
IGNACIO;FB HARRISON-PARK AVE;RR;10,000.00;;
IGNACIO;FB HARRISON-PARK AVE;CR;15,000.00;;
P CELLE;IGNACIO-CUNETA AVE;RR;15,000.00;;
P CELLE;IGNACIO-CUNETA AVE;CR;18,000.00;;
PARK AVE;IGNACIO-CUNETA AVE;RR;15,000.00;;
PARK AVE;IGNACIO-CUNETA AVE;CR;20,000.00;;
ALL OTHER STREETS;;RR;9,000.00;;
ALL OTHER STREETS;;CR;12,000.00;;
OTHER INTERIOR STREETS;;RR;8,000.00;;
BARANGAY:;BARANGAY 76 ZONE 10;;;;
ARNAIZ AVE LIBERTAD;ROXAS BLVD-HARRISON;CR;42,000.00;;
ARNAIZ AVE LIBERTAD;ROXAS BLVD-HARRISON;RR;38,000.00;;
INTERIOR LIBERTAD;ROXAS BLVD-HARRISON;RR;34,000.00;;
CUNETA AVE;ROXAS BLVD-HARRISON;CR;30,000.00;;
CUNETA AVE;ROXAS BLVD-HARRISON;RR;25,000.00;;
DERHAM PARK;ROXAS BLVD-HARRISON;CR;25,000.00;;
DON HERNANDEZ;ROXAS BLVD-HARRISON;CR;25,000.00;;
DON HERNANDEZ;ROXAS BLVD-HARRISON;RR;20,000.00;;
FB HARISON;LIBERTAD-PQUE BDRY;CR;25,000.00;;
FB HARISON;LIBERTAD-PQUE BDRY;RR;20,000.00;;
INTERIOR FB HARRISON;;RR;15,000.00;;
LANCASTER;;CR;25,000.00;;
LANCASTER;;RR;20,000.00;;
NAUSHON;ROXAS BLVD-HARRISON;CR;25,000.00;;
NAUSHON;ROXAS BLVD-HARRISON;RR;20,000.00;;
ORTIGAS AVE;ROXAS BLVD-HARRISON;CR;30,000.00;;
ORTIGAS AVE;ROXAS BLVD-HARRISON;RR;25,000.00;;
P LOVINA  (OCCUPIED BY EDSA);ROXAS BLVD-HARRISON;CR;25,000.00;;
P LOVINA  (OCCUPIED BY EDSA);ROXAS BLVD-HARRISON;RR;20,000.00;;
P LOVINA  (OCCUPIED BY EDSA);LIBERTAD-PQUE BDRY;CR;42,000.00;;
P LOVINA  (OCCUPIED BY EDSA);LIBERTAD-PQUE BDRY;RR;38,000.00;;
RUSSEL;ROXAS BLVD-HARRISON;CR;30,000.00;;
RUSSEL;ROXAS BLVD-HARRISON;RR;25,000.00;;
SHADY LANE;;CR;25,000.00;;
SHADY LANE;;RR;20,000.00;;
ALL OTHER STREETS;;CR;18,000.00;;
ALL OTHER STREETS;;RR;15,000.00;;
OTHER INTERIOR STREETS;;RR;12,000.00;;
OTHER INTERIOR STREETS;;;;;
BARANGAY:;BARANGAY 77 ZONE 10;;;;
ANGELES;;CR;15,000.00;;
ANGELES;;RR;12,000.00;;
CAPT AMBO;HARRISON-TAFT AVE;CR;15,000.00;;
CAPT AMBO;HARRISON-TAFT AVE;RR;12,000.00;;
CUNETA AVE;;CR;20,000.00;;
CUNETA AVE;;RR;15,000.00;;
FERNANDO;;CR;18,000.00;;
FERNANDO;;RR;12,000.00;;
M ACOSTA;;CR;15,000.00;;
M ACOSTA;;RR;10,000.00;;
PARK AVE;CUNETA AVE-TAFT AVE;CR;20,000.00;;
PARK AVE;CUNETA AVE-TAFT AVE;RR;15,000.00;;
ALL OTHER STREETS;;CR;15,000.00;;
ALL OTHER STREETS;;RR;10,000.00;;
INTERIOR STREETS;;RR;9,000.00;;
BARANGAY:;BARANGAY 78 ZONE 10;;;;
AGTARAP;HARRISON-TAFT AVE;CR;15,000.00;;
AGTARAP;HARRISON-TAFT AVE;RR;10,000.00;;
CAPT AMBO;HARRISON-TAFT AVE;CR;15,000.00;;
CAPT AMBO;HARRISON-TAFT AVE;RR;12,000.00;;
F B HARRISON;CAPT AMBO-PQUE BDRY;CR;20,000.00;;
F B HARRISON;CAPT AMBO-PQUE BDRY;RR;15,000.00;;
INTERIOR FB HARRISON;;RR;12,000.00;;
PRES OSMENA TAFT AVE;PARK AVE-PQUE BDRY;CR;35,000.00;;
PRES OSMENA TAFT AVE;PARK AVE-PQUE BDRY;RR;30,000.00;;
INTERIOR TAFT AVE;;RR;25,000.00;;
ALL OTHER STREETS;;CR;15,000.00;;
ALL OTHER STREETS;;RR;12,000.00;;
OTHER INTERIOR STREETS;;RR;9,000.00;;
BARANGAY:;BARANGAY 79 ZONE 10;;;;
ANGELES;PARK AVE-TAFT AVE;CR;15,000.00;;
ANGELES;PARK AVE-TAFT AVE;RR;12,000.00;;
CUNETA AVE;PARK AVE-TAFT AVE;CR;28,000.00;;
CUNETA AVE;PARK AVE-TAFT AVE;RR;24,000.00;;
F. REIN EDSA;PARK AVE-TAFT AVE;CR;35,000.00;;
F. REIN EDSA;PARK AVE-TAFT AVE;RR;30,000.00;;
PARK AVE;F REIN-TAFT AVE;CR;35,000.00;;
PARK AVE;F REIN-TAFT AVE;RR;30,000.00;;
PRES OSMENA TAFT AVE;EDSA-CAPT AMBO;CR;35,000.00;;
PRES OSMENA TAFT AVE;EDSA-CAPT AMBO;RR;30,000.00;;
INTERIOR TAFT AVE;;RR;25,000.00;;
ALL OTHER STREETS;;CR;20,000.00;;
ALL OTHER STREETS;;RR;15,000.00;;
OTHER INTERIOR STREETS;;RR;12,000.00;;
BARANGAY:;BARANGAY 80 ZONE 10;;;;
DOMINGO;TAFT AVE-PARK AVE;CR;15,500.00;;
DOMINGO;TAFT AVE-PARK AVE;RR;10,000.00;;
F. REIN EDSA;PARK AVE-MARQUINA;CR;28,000.00;;
F. REIN EDSA;PARK AVE-MARQUINA;RR;24,500.00;;
LORING;PARK AVE-MARQUINA;CR;15,000.00;;
LORING;PARK AVE-MARQUINA;RR;10,000.00;;
MARIQUITA;DOMINGO-F REIN;CR;15,000.00;;
MARIQUITA;DOMINGO-F REIN;RR;10,000.00;;
PARK AVE;DOMINGO-F REIN;CR;15,000.00;;
PARK AVE;DOMINGO-F REIN;RR;10,000.00;;
ALL OTHER STREETS;;CR;12,500.00;;
ALL OTHER STREETS;;RR;9,000.00;;
INTERIOR STREETS;;RR;8,000.00;;
BARANGAY:;BARANGAY 81 ZONE 10;;;;
H DOMINGO;PARK AVE-VILLANUEVA;RR;10,000.00;;
PARK AVE;SANCHEZ-DOMINGO;CR;15,000.00;;
PARK AVE;SANCHEZ-DOMINGO;RR;10,000.00;;
SANCHEZ;PARK AVE-VILLANUEVA;CR;15,000.00;;
SANCHEZ;PARK AVE-VILLANUEVA;RR;10,000.00;;
VILLANUEVA;SANCHEZ-DOMINGO;CR;15,000.00;;
VILLANUEVA;SANCHEZ-DOMINGO;RR;10,000.00;;
ALL OTHER STREETS;;CR;12,000.00;;
ALL OTHER STREETS;;RR;10,000.00;;
INTERIOR STREETS;;RR;8,000.00;;
BARANGAY:;BARANGAY 82 ZONE 10;;;;
MARIQUITA;SANCHEZ-DOMINGO;CR;15,000.00;;
MARIQUITA;SANCHEZ-DOMINGO;RR;10,000.00;;
