RDO:;RDO NO. 51 - PASAY CITY;;;(Formerly RDO No. 33 - PASAY CITY);
J S GALVES AVE;HARRISON-FIGUERROA;RR;1,250.00;;
MOANA;;RR;1,100.00;;
OFFAREL;;RR;1,100.00;;
PALM COURT;HARRISON-CUENCA;RR;1,100.00;;
PASADENA;;RR;1,100.00;;
PESTANA;CUENCA-FIGUERROA;RR;1,100.00;;
VALHALLA;;RR;1,100.00;;
ALL OTHER STREETS;;RR;1,000.00;;
BARANGAY:;BARANGAY 71 ZONE 9;;;;
FIGUEROA;;RR;1,500.00;;
FIGUEROA;;CR;2,750.00;;
OFFAREL;FIGUERROA-PARK AVE;RR;1,100.00;;
PARK AVE;PESTANA-OFFAREL;RR;1,800.00;;
PARK AVE;PESTANA-OFFAREL;CR;3,250.00;;
PESTANA;;RR;1,100.00;;
PRIMERO DE MAYO;;RR;1,500.00;;
ALL OTHER STREETS;;RR;1,000.00;;
BARANGAY:;BARANGAY 72 ZONE 9;;;;
FIGUEROA;OFFAREL-GALVEZ AVE;RR;1,500.00;;
FIGUEROA;OFFAREL-GALVEZ AVE;CR;2,750.00;;
GALVEZ AVE;FIGUERROA-PARK AVE;RR;1,250.00;;
KALIGTASAN;;RR;1,100.00;;
OFFAREL;FIGUERROA-PARK AVE;RR;1,000.00;;
PARK AVE;OFFAREL-GALVEZ AVE;RR;1,800.00;;
PARK AVE;OFFAREL-GALVEZ AVE;CR;3,250.00;;
TORRES;;RR;1,100.00;;
ALL OTHER STREETS;;RR;1,000.00;;
BARANGAY:;BARANGAY 85 ZONE 9;;;;
CLAUDIO;TAFT AVE-VILLANUEVA;RR;1,500.00;;
GALVEZ AVE;PARK AVE-VILLANUEVA;RR;1,200.00;;
GRAFFY;;RR;1,200.00;;
PARK AVE;GALVEZ AVE-SANCHEZ;RR;1,800.00;;
PARK AVE;GALVEZ AVE-SANCHEZ;CR;3,250.00;;
PRES OSMENA (TAFT AV);CLAUDIO-SANCHEZ;RR;2,500.00;;
PRES OSMENA (TAFT AV);CLAUDIO-SANCHEZ;CR;3,750.00;;
REYES;PARK AVE-VILLANUEVA;RR;1,200.00;;
SANCHEZ;PARK AVE-TAFT AVE;RR;2,000.00;;
ALL OTHER STREETS;;RR;1,100.00;;
BARANGAY:;BARANGAY 86 ZONE 9;;;;
CLAUDIO;TAFT AVE-VILLANUEVA;RR;1,500.00;;
LIONS CLUB;TAFT AVE-VILLANUEVA;RR;1,500.00;;
PRES OSMENA (TAFT AV);LION'S CLUB-CLAUDIO;RR;2,500.00;;
PRES OSMENA (TAFT AV);LION'S CLUB-CLAUDIO;CR;3,750.00;;
VILLANUEVA;LION'S CLUB-CLAUDIO;RR;2,000.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY 87 ZONE 9;;;;
LIONS CLUB;TAFT AVE-VILLANUEVA;RR;1,500.00;;
PRES OSMENA (TAFT AV);RAYMUNDO-LION'S CLUB;RR;2,500.00;;
PRES OSMENA (TAFT AV);RAYMUNDO-LION'S CLUB;CR;3,750.00;;
RAYMUNDO;TAFT AVE-VILLANUEVA;RR;1,500.00;;
VILLANUEVA;RAYMUNDO-LION'S CLUB;RR;2,000.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY 88 ZONE 9;;;;
GALVEZ AVE;VILLANUEVA-PARK AVE;RR;1,200.00;;
GARCIA;PARK AVE-VILLANUEVA;RR;1,500.00;;
MAYO UNO;PARK AVE-VILLANUEVA;RR;1,500.00;;
PARK AVE;MAYO UNO-GALVEZ AVE;RR;1,800.00;;
PARK AVE;MAYO UNO-GALVEZ AVE;CR;3,250.00;;
VILLANUEVA;MAYO UNO-GALVEZ AVE;RR;2,000.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY 89 ZONE 9;;;;
ESCOBAR;TAFT AVE-VILLANUEVA;RR;1,500.00;;
PRES OSMENA (TAFT AV);ESCOBAR-RAYMUNDO;RR;2,500.00;;
PRES OSMENA (TAFT AV);ESCOBAR-RAYMUNDO;CR;3,750.00;;
RAYMUNDO;TAFT AVE-VILLANUEVA;RR;1,500.00;;
VILLANUEVA;ESCOBAR-RAYMUNDO;RR;2,000.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY 90 ZONE 9;;;;
ESCOBAR;TAFT AVE-VILLANUEVA;RR;1,500.00;;
GIDEON;;RR;1,500.00;;
MAYO UNO;TAFT AVE-VILLANUEVA;RR;1,500.00;;
PRES OSMENA (TAFT AV);MAYO UNO-ESCOBAR;RR;2,500.00;;
PRES OSMENA (TAFT AV);MAYO UNO-ESCOBAR;CR;3,750.00;;
VILLANUEVA;MAYO UNO-ESCOBAR;RR;2,000.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY 91 ZONE 9;;;;
MAYO UNO;PARK AVE-TAFT AVE;RR;1,500.00;;
PARK AVE;REMY-MAYO UNO;RR;1,800.00;;
PARK AVE;REMY-MAYO UNO;CR;2,800.00;;
PRES OSMENA (TAFT AV);REMY-MAYO UNO;RR;2,500.00;;
PRES OSMENA (TAFT AV);REMY-MAYO UNO;CR;3,750.00;;
REMY;PARK AVE-VILLANUEVA;RR;1,500.00;;
VILLANUEVA;REMY-MAYO UNO;RR;2,000.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY 92 ZONE 9;;;;
ARNAIZ AVE (LIBERTAD);TAFT AVE-PARK AVE;RR;2,000.00;;
ARNAIZ AVE (LIBERTAD);TAFT AVE-PARK AVE;CR;3,500.00;;
PARK AVE;LIBERTAD-REMY;RR;1,800.00;;
PARK AVE;LIBERTAD-REMY;CR;3,250.00;;
PRES OSMENA (TAFT AV);LIBERTAD-REMY;RR;2,500.00;;
PRES OSMENA (TAFT AV);LIBERTAD-REMY;CR;3,750.00;;
REMY;PARK AVE-VILLANUEVA;RR;1,500.00;;
VILLANUEVA;LIBERTAD-REMY;RR;2,000.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY 73 ZONE 10;;;;
F B HARISON;GALVEZ AVE-IGNACIO;RR;2,500.00;;
F B HARISON;GALVEZ AVE-IGNACIO;CR;3,500.00;;
FIGUEROA;GALVEZ AVE-IGNACIO;RR;1,500.00;;
FIGUEROA;GALVEZ AVE-IGNACIO;CR;2,750.00;;
GALVEZ AVE;HARRISON-FIGUERROA;RR;1,350.00;;
IGNACIO;HARRISON-FIGUERROA;RR;1,200.00;;
IGNACIO;HARRISON-FIGUERROA;CR;2,400.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY 74 ZONE 10;;;;
FIGUEROA;GALVEZ AVE-IGNACIO;RR;1,350.00;;
FIGUEROA;GALVEZ AVE-IGNACIO;CR;2,750.00;;
GRACE;PARK AVE-FIGUERROA;RR;1,200.00;;
IGNACIO;PARK AVE-FIGUERROA;RR;1,200.00;;
IGNACIO;PARK AVE-FIGUERROA;CR;2,750.00;;
PARK AVE;GALVEZ AVE-IGNACIO;RR;1,800.00;;
PARK AVE;GALVEZ AVE-IGNACIO;CR;3,250.00;;
ALL OTHER STREETS;;RR;1,100.00;;
ALL OTHER STREETS;;CR;2,500.00;;
BARANGAY:;BARANGAY 75 ZONE 10;;;;
CUNETA AVE;FB HARRISON-PARK AVE;CR;3,250.00;;
CUNETA AVE;FB HARRISON-PARK AVE;RR;1,750.00;;
F B HARRISON;IGNACIO-CUNETA AVE;CR;3,500.00;;
F B HARRISON;IGNACIO-CUNETA AVE;RR;2,500.00;;
IGNACIO;FB HARRISON-PARK AVE;CR;3,000.00;;
IGNACIO;FB HARRISON-PARK AVE;RR;1,350.00;;
P CELLES;IGNACIO-CUNETA AVE;RR;1,300.00;;
PARK AVE;IGNACIO-CUNETA AVE;CR;3,250.00;;
PARK AVE;IGNACIO-CUNETA AVE;RR;1,800.00;;
ALL OTHER STREETS;;CR;2,500.00;;
ALL OTHER STREETS;;RR;1,250.00;;
BARANGAY:;BARANGAY 76 ZONE 10;;;;
ARNAIZ AVE (LIBERTAD);ROXAS BLVD-HARRISON;CR;3,500.00;;
ARNAIZ AVE (LIBERTAD);ROXAS BLVD-HARRISON;RR;2,000.00;;
CUNETA AVE;ROXAS BLVD-HARRISON;CR;3,500.00;;
CUNETA AVE;ROXAS BLVD-HARRISON;RR;3,000.00;;
DERHAM PARK;ROXAS BLVD-HARRISON;CR;4,000.00;;
DON HERNANDEZ;ROXAS BLVD-HARRISON;CR;3,250.00;;
DON HERNANDEZ;ROXAS BLVD-HARRISON;RR;1,750.00;;
F B HARISON;LIBERTAD-PQUE BDRY;CR;3,500.00;;
F B HARISON;LIBERTAD-PQUE BDRY;RR;2,500.00;;
LANCASTER;;CR;3,250.00;;
LANCASTER;;RR;1,500.00;;
NAUSTON;ROXAS BLVD-HARRISON;CR;3,500.00;;
NAUSTON;ROXAS BLVD-HARRISON;RR;1,500.00;;
ORTIGAS AVE;ROXAS BLVD-HARRISON;CR;3,500.00;;
ORTIGAS AVE;ROXAS BLVD-HARRISON;RR;2,250.00;;
P LOVINA;ROXAS BLVD-HARRISON;CR;3,250.00;;
P LOVINA;ROXAS BLVD-HARRISON;RR;1,750.00;;
ROXAS BLVD;LIBERTAD-PQUE BDRY;RC;10,000.00;;
ROXAS BLVD;LIBERTAD-PQUE BDRY;CR;4,500.00;;
ROXAS BLVD;LIBERTAD-PQUE BDRY;RR;3,500.00;;
RUSSEL;ROXAS BLVD-HARRISON;CR;3,500.00;;
RUSSEL;ROXAS BLVD-HARRISON;RR;2,250.00;;
SHADY LANE;;CR;3,250.00;;
SHADY LANE;;RR;1,500.00;;
ALL OTHER STREETS;;CR;2,500.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY 77 ZONE 10;;;;
ANGELES;;CR;3,250.00;;
ANGELES;;RR;1,750.00;;
CAPT AMBO;HARRISON-TAFT AVE;CR;3,250.00;;
CAPT AMBO;HARRISON-TAFT AVE;RR;1,500.00;;
CUNETA AVE;;CR;3,500.00;;
CUNETA AVE;;RR;3,000.00;;
FERNANDO;;CR;3,000.00;;
FERNANDO;;RR;1,500.00;;
M ACOSTA;;CR;3,000.00;;
M ACOSTA;;RR;1,500.00;;
PARK AVE;CUNETA AVE-TAFT AVE;CR;3,250.00;;
PARK AVE;CUNETA AVE-TAFT AVE;RR;1,500.00;;
ALL OTHER STREETS;;CR;2,500.00;;
ALL OTHER STREETS;;RR;1,100.00;;
BARANGAY:;BARANGAY 78 ZONE 10;;;;
AGTARAP;HARRISON-TAFT AVE;CR;2,750.00;;
AGTARAP;HARRISON-TAFT AVE;RR;1,500.00;;
CAPT AMBO;HARRISON-TAFT AVE;CR;3,000.00;;
CAPT AMBO;HARRISON-TAFT AVE;RR;1,500.00;;
F B HARRISON;CAPT AMBO-PQUE BDRY;CR;3,500.00;;
F B HARRISON;CAPT AMBO-PQUE BDRY;RR;2,500.00;;
PRES OSMENA (TAFT AV);PARK AVE-PQUE BDRY;CR;3,750.00;;
PRES OSMENA (TAFT AV);PARK AVE-PQUE BDRY;RR;2,500.00;;
ALL OTHER STREETS;;CR;2,500.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY 79 ZONE 10;;;;
ANGELES;PARK AVE-TAFT AVE;CR;3,000.00;;
ANGELES;PARK AVE-TAFT AVE;RR;2,000.00;;
CUNETA AVE;PARK AVE-TAFT AVE;CR;3,500.00;;
CUNETA AVE;PARK AVE-TAFT AVE;RR;3,000.00;;
F REIN;PARK AVE-TAFT AVE;CR;2,750.00;;
F REIN;PARK AVE-TAFT AVE;RR;2,000.00;;
PARK AVE;F REIN-TAFT AVE;CR;3,250.00;;
PARK AVE;F REIN-TAFT AVE;RR;1,800.00;;
PRES OSMENA (TAFT AV);EDSA-CAPT AMBO;CR;3,750.00;;
PRES OSMENA (TAFT AV);EDSA-CAPT AMBO;RR;2,500.00;;
ALL OTHER STREETS;;CR;2,250.00;;
ALL OTHER STREETS;;RR;1,800.00;;
BARANGAY:;BARANGAY 80 ZONE 10;;;;
DOMINGO;TAFT AVE-PARK AVE;CR;2,750.00;;
DOMINGO;TAFT AVE-PARK AVE;RR;2,000.00;;
F REIN;PARK AVE-MARQUINA;CR;2,750.00;;
F REIN;PARK AVE-MARQUINA;RR;2,000.00;;
LORING;PARK AVE-MARQUINA;CR;2,750.00;;
LORING;PARK AVE-MARQUINA;RR;2,000.00;;
MARQUINA;DOMINGO-F REIN;CR;2,750.00;;
MARQUINA;DOMINGO-F REIN;RR;2,000.00;;
PARK AVE;DOMINGO-F REIN;CR;3,250.00;;
PARK AVE;DOMINGO-F REIN;RR;1,800.00;;
ALL OTHER STREETS;;CR;2,250.00;;
ALL OTHER STREETS;;RR;1,800.00;;
BARANGAY:;BARANGAY 81 ZONE 10;;;;
N DOMINGO;PARK AVE-VILLANUEVA;RR;2,000.00;;
PARK AVE;SANDCHEZ-DOMINGO;CR;3,250.00;;
PARK AVE;SANDCHEZ-DOMINGO;RR;1,800.00;;
SANCHEZ;PARK AVE-VILLANUEVA;CR;2,750.00;;
SANCHEZ;PARK AVE-VILLANUEVA;RR;2,000.00;;
VILLANUEVA;SANCHEZ-DOMINGO;RR;2,000.00;;
ALL OTHER STREETS;;CR;2,500.00;;
ALL OTHER STREETS;;RR;1,800.00;;
BARANGAY:;BARANGAY 82 ZONE 10;;;;
MARQUINA;SANCHEZ-DOMINGO;CR;2,750.00;;
MARQUINA;SANCHEZ-DOMINGO;RR;2,000.00;;
N DOMINGO;VILLANUEVA-MARQUINA;RR;2,000.00;;
SANCHEZ;TAFT AVE-VILLANUEVA;CR;2,750.00;;
SANCHEZ;TAFT AVE-VILLANUEVA;RR;2,000.00;;
VILLANUEVA;SANCHEZ-DOMINGO;RR;2,000.00;;
ALL OTHER STREETS;;CR;2,500.00;;
ALL OTHER STREETS;;RR;2,000.00;;
BARANGAY:;BARANGAY 83 ZONE 10;;;;
F REIN;TAFT AVE-MARQUINA;CR;2,750.00;;
F REIN;TAFT AVE-MARQUINA;RR;2,000.00;;
MARQUINA;DOMINGO-F REIN;CR;2,750.00;;
MARQUINA;DOMINGO-F REIN;RR;2,000.00;;
N DOMINGO;TAFT AVE-MARQUINA;RR;2,000.00;;
PILAPIL;DOMINGO-F REIN;CR;2,750.00;;
PILAPIL;DOMINGO-F REIN;RR;2,250.00;;
PRES OSMENA (TAFT AV);DOMINGO-F REIN;CR;3,750.00;;
PRES OSMENA (TAFT AV);DOMINGO-F REIN;RR;2,500.00;;
ALL OTHER STREETS;;CR;2,500.00;;
ALL OTHER STREETS;;RR;2,000.00;;
BARANGAY:;BARANGAY 84 ZONE 10;;;;
MARQUINA;SANCHEZ-DOMINGO;CR;2,750.00;;
MARQUINA;SANCHEZ-DOMINGO;RR;2,000.00;;
N DOMINGO;TAFT AVE-MARQUINA;RR;2,000.00;;
PRES OSMENA (TAFT AV);SANCHEZ-DOMINGO;CR;3,750.00;;
PRES OSMENA (TAFT AV);SANCHEZ-DOMINGO;RR;2,500.00;;
SANCHEZ;TAFT AVE-MARQUINA;CR;2,750.00;;
SANCHEZ;TAFT AVE-MARQUINA;RR;2,000.00;;
ALL OTHER STREETS;;CR;2,500.00;;
ALL OTHER STREETS;;RR;2,000.00;;
BARANGAY:;BARANGAY 93 ZONE 11;;;;
DECENA;INOCENCIO-PROTACIO;RR;1,500.00;;
INOCENCIO;TAFT AVE-DECENA;RR;1,500.00;;
PRES OSMENA (TAFT AV);INOCENCIO-PROTACIO;CR;3,750.00;;
PROTACIO;TAFT AVE-DECENA;RR;2,000.00;;
ALL OTHER STREETS;;CR;3,000.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY 94 ZONE 11;;;;
ARNAIZ AVE (LIBERTAD);TAFT AVE-DECENA;CR;3,500.00;;
CELEDONA;TAFT AVE-DECENA;RR;1,500.00;;
DECENA;LIBERTAD-INOCENCIO;RR;1,500.00;;
INOCENCIO;TAFT AVE-DECENA;RR;1,500.00;;
MENDOZA;TAFT AVE-DECENA;RR;1,500.00;;
PRES OSMENA (TAFT AV);LIBERTAD-INOCENCIO;CR;3,750.00;;
ALL OTHER STREETS;;CR;2,750.00;;
ALL OTHER STREETS;;RR;1,250.00;;
BARANGAY:;BARANGAY 95 ZONE 11;;;;
ARNAIZ AVE (LIBERTAD);ZAMORA-DECENA;CR;3,500.00;;
ARNAIZ AVE (LIBERTAD);ZAMORA-DECENA;RR;2,250.00;;
CERIAL;DECENA-ZAMORA;RR;1,200.00;;
DECENA;LIBERTAD-INOCENCIO;RR;1,500.00;;
GUZMAN;DECENA-ZAMORA;RR;1,200.00;;
INOCENCIO;DECENA-ZAMORA;RR;1,350.00;;
LAUREL;DECENA-ZAMORA;RR;1,200.00;;
TIAGO;DECENA-ZAMORA;RR;1,200.00;;
ZAMORA;LIBERTAD-INOCENCIO;RR;1,500.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY 96 ZONE 11;;;;
DECENA;INOCENCIO-PROTACIO;RR;1,500.00;;
INOCENCIO;ZAMORA-DECENA;RR;1,500.00;;
PROTACIO;ZAMORA-DECENA;RR;1,500.00;;
ZAMORA;INOCENCIO-PROTACIO;RR;1,500.00;;
ALL OTHER STREETS;;RR;1,350.00;;
BARANGAY:;BARANGAY 101 ZONE 11;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 102 ZONE 11;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 103 ZONE 11;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 105 ZONE 11;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 106 ZONE 11;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 107 ZONE 11;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 108 ZONE 12;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 109 ZONE 12;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 110 ZONE 12;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 104 ZONE 12;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 111 ZONE 12;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 112 ZONE 12;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 120 ZONE 12;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 121 ZONE 12;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 122 ZONE 12;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 123 ZONE 12;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 124 ZONE 12;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 125 ZONE 12;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 126 ZONE 12;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 127 ZONE 12;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 128 ZONE 13;;;;
ARNAIZ AVE (LIBERTAD);DELA CRUZ-MKTI BDRY;CR;3,500.00;;
ARNAIZ AVE (LIBERTAD);DELA CRUZ-MKTI BDRY;RR;2,000.00;;
CONCHITA;;RR;1,200.00;;
CORAZON;;RR;1,200.00;;
ESGUERRA;DELA CRUZ-MKTI BDRY;RR;1,200.00;;
LERMA;;RR;1,200.00;;
M DELA CRUZ;LIBERTAD-ESGUERRA;RR;1,200.00;;
MARY LUZ;;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY 129 ZONE 13;;;;
APD;;APD;AREA FOR PRIORITY DEVELOPMENT;;
BARANGAY:;BARANGAY 130 ZONE 13;;;;
D GEORGE;DELA CRUZ-MKTI BDRY;RR;1,200.00;;
ESGUERRA;DELA CRUZ-MKTI BDRY;RR;1,200.00;;
EUGENIO;;RR;1,200.00;;
LERMA;;RR;1,200.00;;
M DELA CRUZ;ESGUERRA-D GEORGE;RR;1,200.00;;
TOMI;;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY 131 ZONE 13;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 132 ZONE 13;;;;
CANDY;;RR;1,200.00;;
D GEORGE;DELA CRUZ-MKTI BDRY;RR;1,200.00;;
M DELA CRUZ;D GEORGE-MATIBAY;RR;1,200.00;;
MATIBAY;;RR;1,200.00;;
VALERIO;;RR;1,200.00;;
16 DE AGOSTO;;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY 133 ZONE 13;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 134 ZONE 13;;;;
M DELA CRUZ;MATIBAY-RODRIGUEZ;RR;1,200.00;;
MALIBAY;;RR;1,200.00;;
RODRIGUEZ;DELA CRUZ-MKTI BDRY;RR;1,200.00;;
SANTOS;;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY 135 ZONE 13;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 97 ZONE 14;;;;
EDSA;TAFT AVE-ZAMORA;CR;4,000.00;;
EDSA;TAFT AVE-ZAMORA;RR;2,500.00;;
PRES OSMENA (TAFT AV);PROTACIO-ZAMORA;CR;3,750.00;;
PRES OSMENA (TAFT AV);PROTACIO-ZAMORA;RR;2,500.00;;
PROTACIO;TAFT AVE-ZAMORA;RR;1,500.00;;
VERGEL;TAFT AVE-ZAMORA;RR;1,500.00;;
ZAMORA;PROTACIO-EDSA;RR;1,500.00;;
ALL OTHER STREETS;;RR;1,350.00;;
BARANGAY:;BARANGAY 98 ZONE 14;;;;
EDSA;TAFT AVE-TRAMO LINE;CR;4,000.00;;
EDSA;TAFT AVE-TRAMO LINE;RR;2,500.00;;
F MUNOZ (TRAMO LINE);EDSA-VERGEL;CR;3,500.00;;
F MUNOZ (TRAMO LINE);EDSA-VERGEL;RR;3,000.00;;
MAPAGKALINGA;TRAMO LINE-ZAMORA;RR;1,500.00;;
VERGEL;TRAMO LINE-ZAMORA;RR;1,500.00;;
ZAMORA;EDSA-VERGEL;RR;1,500.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY 99 ZONE 14;;;;
F MUNOZ (TRAMO LINE);FRANCISCO-VERGEL;CR;3,500.00;;
F MUNOZ (TRAMO LINE);FRANCISCO-VERGEL;RR;3,000.00;;
FRANCISCO;TRAMO LINE-ZAMORA;RR;1,500.00;;
LOPEZ;FRANCISCO-VERGEL;RR;1,500.00;;
VERGEL;TRAMO LINE-ZAMORA;RR;1,500.00;;
ZAMORA;FRANCISCO-VERGEL;RR;1,500.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY 100 ZONE 14;;;;
F MUNOZ (TRAMO LINE);PROTACIO-FRANCISCO;CR;3,500.00;;
F MUNOZ (TRAMO LINE);PROTACIO-FRANCISCO;RR;3,000.00;;
FRANCISCO;TRAMO LINE-ZAMORA;RR;1,500.00;;
LOPEZ;PROTACIO-FRANCISCO;RR;1,500.00;;
PROTACIO;TRAMO LINE-ZAMORA;RR;1,500.00;;
ZAMORA;PROTACIO-FRANCISCO;RR;1,500.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY 113 ZONE 14;;;;
DIMASALANG;PROTACIO-VERGEL;RR;1,500.00;;
F MUNOZ (TRAMO LINE);PROTACIO-VERGEL;CR;3,500.00;;
F MUNOZ (TRAMO LINE);PROTACIO-VERGEL;RR;3,000.00;;
FRANCISCO;TRAMO LINE-DIMASALAN;RR;1,500.00;;
PROTACIO;TRAMO LINE-DIMASALAN;RR;1,500.00;;
VERGEL;TRAMO LINE-DIMASALAN;RR;1,500.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY 114 ZONE 14;;;;
CABRERA;PROTACIO-M DE JESUS;RR;1,500.00;;
DIMASALANG;PROTACIO-M DE JESUS;RR;1,500.00;;
M DE JESUS;CABRERA-DIMASALANG;RR;1,500.00;;
PROTACIO;CABRERA-DIMASALANG;RR;1,500.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY 115 ZONE 14;;;;
CABRERA;M DE JESUS-GAMBAN;RR;1,500.00;;
DIMASALANG;;RR;1,500.00;;
GAMBAN;;RR;1,500.00;;
M DE JESUS;CABRERA-DIMASALANG;RR;1,500.00;;
RIVERA;;RR;1,500.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY 116 ZONE 14;;;;
CABRERA;VERGEL-HEMBRADOR;RR;1,500.00;;
DIMASALANG;;RR;1,500.00;;
HEMBRADOR;;RR;1,500.00;;
VERGEL;DIMASALANG-CABRERA;RR;1,500.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY 117 ZONE 14;;;;
CABRERA;GAMBAN-HEMBRADOR;RR;1,500.00;;
GAMBAN;;RR;1,500.00;;
HEMBRADOR;;RR;1,500.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY 118 ZONE 14;;;;
EDSA;TRAMO LINE-GARCIA;CR;4,000.00;;
EDSA;TRAMO LINE-GARCIA;RR;2,500.00;;
F MUNOZ (TRAMO LINE);EDSA-VERGEL;CR;3,500.00;;
F MUNOZ (TRAMO LINE);EDSA-VERGEL;RR;3,000.00;;
GARCIA;EDSA-VERGEL;RR;1,350.00;;
VERGEL;TRAMO LINE-GARCIA;RR;1,350.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY 119 ZONE 14;;;;
CABRERA;EDSA-VERGEL;RR;1,500.00;;
EDSA;CABRERA-GARCIA;CR;4,000.00;;
EDSA;CABRERA-GARCIA;RR;2,500.00;;
GARCIA;EDSA-VERGEL;RR;1,500.00;;
REYES;VERGEL-GARCIA;RR;1,500.00;;
VERGEL;CABRERA-GARCIA;RR;1,500.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY 136 ZONE 15;;;;
BENITEZ;;RR;1,200.00;;
CABRERA;PROTACIO-GAMBAN;RR;1,500.00;;
CAMIA;PROTACIO-GAMBAN;RR;1,200.00;;
GAMBAN;CABRERA-CAMIA;RR;1,500.00;;
M CLARA;;RR;1,200.00;;
MORELOS;;RR;1,200.00;;
PROTACIO;CABRERA-CAMIA;RR;1,500.00;;
RECTO;;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,000.00;;
BARANGAY:;BARANGAY 137 ZONE 15;;;;
CAMIA;PROTACIO-GAMBAN;RR;1,200.00;;
CHAMPACA;;RR;1,500.00;;
GAMBAN;CAMIA-MAKATI BDRY;RR;1,500.00;;
