RDO:;NO. 16 CABARROGUIS;;;;
CITY/MUNICIPALITY:;DIFFUN;;;;
BARANGAY:;BAGUIO VILLAGE;;;;
ALL LOTS;OUTER LOT;RR;40.00;;
ALL LOTS;INNER LOT;RR;30.00;;
ALL LOTS;INNER LOT;A3;1.00;;
ALL LOTS;INNER LOT;A4;5.00;;
ALL LOTS;INNER LOT;A7;2.00;;
ALL LOTS;INNER LOT;A8;1.00;;
CITY/MUNICIPALITY:;DIFFUN;;;;
BARANGAY:;BALABAG;;;;
ALL LOTS;OUTER LOT;RR;40.00;;
ALL LOTS;INNER LOT;RR;30.00;;
ALL LOTS;INNER LOT;A1;9.00;;
ALL LOTS;INNER LOT;A4;5.00;;
CITY/MUNICIPALITY:;DIFFUN;;;;
BARANGAY:;BANAWAG SUR;;;;
ALL LOTS;OUTER LOT;RR;40.00;;
ALL LOTS;INNER LOT;RR;30.00;;
ALL LOTS;INNER LOT;A1;9.00;;
ALL LOTS;INNER LOT;A4;5.00;;
CITY/MUNICIPALITY:;DIFFUN;;;;
BARANGAY:;CAJEL;;;;
NATIONAL ROAD;LOT 7 - LOT 9;RR;55.00;;
NATIONAL ROAD;ROAD 10-BGY.SN MARCOS;RR;55.00;;
NATIONAL ROAD;ROAD 3 - ROAD 4;GL;0.00;;
NATIONAL ROAD;BGY. SAN MARCOS - CREEK;A1;5.00;;
NATIONAL ROAD;GANANO RIVER-ROAD 5;A2;2.00;;
NATIONAL ROAD;GANANO RIVER - ROAD 1;A4;8.00;;
NATIONAL ROAD;ROAD 13 - GANANO RIVER;A4;8.00;;
PROVINCIAL ROAD;NATIONAL ROAD- ROAD 2;RR;55.00;;
PROVINCIAL ROAD;ROAD 7 - ROAD 2;A4;6.00;;
PROVINCIAL ROAD;ROAD 8 - ROAD 9;A4;4.00;;
ROAD 1;NATIONAL RD-GANANO RIVER;A4;8.00;;
ROAD 2;ROAD 5 - NATIONAL ROAD;RR;55.00;;
ROAD 8;ROAD 10 - BGY. SAN MARCOS;A2;2.00;;
ROAD 8;ROAD 9 - ROAD 10;A4;3.00;;
ROAD 8;ROAD 11 - BGY. LUTTUAN;A4;3.00;;
ROAD 11;ROAD 8 -BARANGAY BALAGBAG;A2;1.00;;
GANANO RIVER;ROAD 12 - BLK. 10279;A1;9.00;;
CITY/MUNICIPALITY:;DIFFUN;;;;
BARANGAY:;CAMPAMENTO;;;;
ALL LOTS;OUTER LOT;RR;40.00;;
ALL LOTS;INNER LOT;RR;30.00;;
ALL LOTS;INNER LOT;A3;1.00;;
ALL LOTS;INNER LOT;A4;5.00;;
ALL LOTS;INNER LOT;A7;2.00;;
ALL LOTS;INNER LOT;A8;1.00;;
CITY/MUNICIPALITY:;DIFFUN;;;;
BARANGAY:;DIEGO SILANG;;;;
ALL LOTS;OUTER LOT;RR;40.00;;
ALL LOTS;INNER LOT;RR;30.00;;
ALL LOTS;INNER LOT;A1;10.00;;
ALL LOTS;INNER LOT;A4;5.00;;
CITY/MUNICIPALITY:;DIFFUN;;;;
BARANGAY:;DON MARIANO PEREZ;;;;
ALL LOTS;OUTER LOT;RR;40.00;;
ALL LOTS;INNER LOT;RR;30.00;;
ALL LOTS;INNER LOT;A3;1.00;;
ALL LOTS;INNER LOT;A4;5.00;;
ALL LOTS;INNER LOT;A8;1.00;;
CITY/MUNICIPALITY:;DIFFUN;;;;
BARANGAY:;DONA IMELDA;;;;
ALL LOTS;OUTER LOT;RR;40.00;;
ALL LOTS;INNER LOT;RR;30.00;;
ALL LOTS;INNER LOT;A3;1.00;;
ALL LOTS;INNER LOT;A4;5.00;;
ALL LOTS;INNER LOT;A7;2.00;;
CITY/MUNICIPALITY:;DIFFUN;A8;1.00;;
BARANGAY:;DUMANISI;;;;
ALL LOTS;OUTER LOT;RR;40.00;;
ALL LOTS;INNER LOT;RR;30.00;;
ALL LOTS;INNER LOT;A3;1.00;;
ALL LOTS;INNER LOT;A4;5.00;;
ALL LOTS;INNER LOT;A7;2.00;;
ALL LOTS;INNER LOT;A8;1.00;;
CITY/MUNICIPALITY:;DIFFUN;;;;
BARANGAY:;FAUSTINA PAGADDUAN;;;;
ALL LOTS;OUTER LOT;RR;40.00;;
ALL LOTS;INNER LOT;RR;30.00;;
ALL LOTS;INNER LOT;A4;2.00;;
ALL LOTS;INNER LOT;A7;2.00;;
ALL LOTS;INNER LOT;A8;6.00;;
CITY/MUNICIPALITY:;DIFFUN;;;;
BARANGAY:;GABRIELA;;;;
ALL LOTS;OUTER LOT;RR;40.00;;
ALL LOTS;INNER LOT;RR;30.00;;
ALL LOTS;INNER LOT;A4;2.00;;
ALL LOTS;INNER LOT;A7;2.00;;
ALL LOTS;INNER LOT;A8;6.00;;
CITY/MUNICIPALITY:;DIFFUN;;;;
BARANGAY:;GREGORIO PIMENTEL;;;;
ALL LOTS;OUTER LOT;RR;40.00;;
ALL LOTS;INNER LOT;RR;30.00;;
ALL LOTS;INNER LOT;A4;5.00;;
ALL LOTS;INNER LOT;A7;2.00;;
ALL LOTS;INNER LOT;A8;1.00;;
CITY/MUNICIPALITY:;DIFFUN;;;;
BARANGAY:;GURIBANG;;;;
ALL LOTS;OUTER LOT;RR;40.00;;
ALL LOTS;INNER LOT;RR;30.00;;
ALL LOTS;INNER LOT;A1;9.00;;
ALL LOTS;INNER LOT;A4;5.00;;
CITY/MUNICIPALITY:;DIFFUN;;;;
BARANGAY:;IFUGAO VILLAGE;;;;
ALL LOTS;OUTER LOT;RR;40.00;;
ALL LOTS;INNER LOT;RR;30.00;;
ALL LOTS;INNER LOT;A3;1.00;;
ALL LOTS;INNER LOT;A4;1.00;;
ALL LOTS;INNER LOT;A7;2.00;;
ALL LOTS;INNER LOT;A8;1.00;;
CITY/MUNICIPALITY:;DIFFUN;;;;
BARANGAY:;ISIDRO PAREDES;;;;
GANANO RIVER;ROAD 1-ROAD 4;A4;8.00;;
ROAD 1;ROAD 2-ROAD 3;A4;8.00;;
ROAD 2;ROAD 4-ROAD 5;A4;8.00;;
ROAD 4;ROAD 7-ROAD 8;A4;8.00;;
ROAD 8;ROAD 9-ROAD 10;A4;8.00;;
ROAD 8;ROAD 11-ROAD 12;A4;8.00;;
ROAD 11;ROAD 17-ROAD 25;A1;11.00;;
ROAD 11;ROAD 12-ROAD 13;A4;8.00;;
ROAD 13;ROAD 14-ROAD 15;RR;30.00;;
ROAD 13;ROAD 14-ROAD 16;RR;30.00;;
ROAD 13;ROAD 16-ROAD 17;A4;8.00;;
ROAD 17;NIA CANAL-ROAD 24;A1;10.00;;
ROAD 17;ROAD 18-ROAD 19;A4;8.00;;
ROAD 19;GANANO RIVER-ROAD 20;A1;9.00;;
ROAD 20;ROAD 21-ROAD 22;A1;9.00;;
CITY/MUNICIPALITY:;DIFFUN;;;;
BARANGAY:;LIWAYWAY;;;;
ROAD 1;DESINABA CREEK-ROAD 3;A1;10.00;;
ROAD 1;ROAD 3 - BARANGAY ROAD;A4;8.00;;
ROAD 2;DESINABA CK-BLK 4863-4866;A1;10.00;;
ROAD 2;DESINABA CREEK - ROAD 4;A2;2.00;;
ROAD 4;DESINABA CREEK - ROAD 6;A1;10.00;;
ROAD 6;ROAD 8 - ROAD 9;RR;30.00;;
ROAD 6;BARANGAY ROAD - ROAD 11;A1;10.00;;
ROAD 8;DESINABA CREEK - ROAD 9;RR;30.00;;
ROAD 8;ROAD 9 - ROAD 10;GL;0.00;;
DESINABA CREEK;ROAD 7 - SAGAT CREEK;A1;10.00;;
FOREST ZONE;BLK 4847-4860-4853-B4866;A4;10.00;;
BARANGAY RICARTE NORTE;BLK 4853 - BLK 4863;A1;10.00;;
CITY/MUNICIPALITY:;DIFFUN;;;;
BARANGAY:;LUTUAD;;;;
ALL LOTS;OUTER LOT;RR;40.00;;
ALL LOTS;INNER LOT;RR;30.00;;
ALL LOTS;INNER LOT;A1;9.00;;
ALL LOTS;INNER LOT;A4;5.00;;
CITY/MUNICIPALITY:;DIFFUN;;;;
BARANGAY:;MAGSAYSAY;;;;
ALL LOTS;OUTER LOT;RR;40.00;;
ALL LOTS;INNER LOT;RR;30.00;;
ALL LOTS;INNER LOT;A3;1.00;;
ALL LOTS;INNER LOT;A4;5.00;;
ALL LOTS;INNER LOT;A8;1.00;;
CITY/MUNICIPALITY:;DIFFUN;;;;
BARANGAY:;MACATE;;;;
ALL LOTS;OUTER LOT;RR;40.00;;
ALL LOTS;INNER LOT;RR;30.00;;
ALL LOTS;INNER LOT;A3;1.00;;
ALL LOTS;INNER LOT;A4;5.00;;
ALL LOTS;INNER LOT;A7;2.00;;
ALL LOTS;INNER LOT;A8;1.00;;
CITY/MUNICIPALITY:;DIFFUN;;;;
BARANGAY:;MARIA CLARA;;;;
NATIONAL ROAD;ROAD 2 - ROAD 3;RR;55.00;;
NATIONAL ROAD;LUCBAN CRK-NIA SERVICE RD;RR;55.00;;
NATIONAL ROAD;GRACIANO PABLO - ROAD 4;RR;55.00;;
NATIONAL ROAD;ROAD 6 - ROAD 7;RR;55.00;;
NATIONAL ROAD;LUCBAN CREEK - ROAD 5;RR;55.00;;
NATIONAL ROAD;ROAD 10 - LUCBAN CREEK;RR;55.00;;
NATIONAL ROAD;ROAD 8 - LOT NO. 037;RR;45.00;;
NATIONAL ROAD;ROAD 12 - LOT NO. 037;RR;55.00;;
NATIONAL ROAD;LOT 019 - RANCH;RR;55.00;;
NATIONAL ROAD;RANCH - CREEK;RR;55.00;;
NATIONAL ROAD;ROAD 8 - ROAD 9;A1;10.00;;
NATIONAL ROAD;ROAD 9 - ROAD 10;A1;10.00;;
NATIONAL ROAD;LUCBAN CK  -LOT NO. 6059;A4;8.00;;
ROAD 2;NIA CANAL-LUCBAN CREEK;A1;10.00;;
ROAD 2;NIA CANAL;A1;10.00;;
ROAD 4;ROAD 5-F.SABALLA LT#007;A4;10.00;;
ROAD 5;ROAD 6 - ROAD 7;A4;10.00;;
ROAD 8;LUCBAN CREEK - DENR;A1;10.00;;
ROAD 8;LUCBAN CREEK - RANCH;A2;2.00;;
ROAD 8;LUCBAN CREEK-LOT NO. 6059;A4;8.00;;
GRACIANO PABLO;;;No classification Value;;
LOT # 0013-0006-005;BARANGAY ROAD - ROAD 4;A1;10.00;;
LOT NO. 1, 2, 12 & 13;LOT #019,034-036 - CREEK;GL;0.00;;
LOT NO. 6061-C RANCH;LOT # 7454-RANCH;RR;30.00;;
CREEK;NATIONAL ROAD - ROAD 2;A1;10.00;;
CITY/MUNICIPALITY:;DIFFUN;;;;
BARANGAY:;RAFAEL PALMA;;;;
ALL LOTS;OUTER LOT;RR;40.00;;
ALL LOTS;INNER LOT;RR;30.00;;
ALL LOTS;INNER LOT;A3;1.00;;
ALL LOTS;INNER LOT;A4;5.00;;
ALL LOTS;INNER LOT;A7;2.00;;
ALL LOTS;INNER LOT;A8;1.00;;
CITY/MUNICIPALITY:;DIFFUN;;;;
BARANGAY:;RICARTE NORTE;;;;
BARANGAY LIWAYWAY;BGY. DUMANISI-BLK 4878-A;A1;10.00;;
ROAD 1;NIA CANAL - ROAD 2;RR;30.00;;
ROAD 1;ROAD 9 - CANANO RIVER;A1;10.00;;
ROAD 1;NIA CANAL - ROAD 10;GL;0.00;;
ROAD 3;ROAD 6 - ROAD 7;RR;30.00;;
ROAD 3;ROAD 4 - GANANO RIVER;A1;10.00;;
ROAD 3;BARANGAY RD-GANANO RIVER;A1;10.00;;
ROAD 4;GANANO RIVER;A1;10.00;;
ROAD 7;ROAD 8 - ROAD 9;RR;30.00;;
ROAD 7;ROAD 9 - ROAD 10;A1;10.00;;
ROAD 9;GANANO RIVER;A1;10.00;;
CREEK;ROAD 3 - ROAD 1;A1;10.00;;
DUMANISI ROAD;CREEK;A1;10.00;;
CITY/MUNICIPALITY:;DIFFUN;;;;
BARANGAY:;RICARTE SUR;;;;
ROAD 1;GANANO RIVER-BARANGAY RD;A1;10.00;;
ROAD 4;ROAD 5 - GANANO RIVER;A1;10.00;;
ROAD 6;GANANO RIVER- ROAD 9;A1;9.00;;
ROAD 6;ROAD 23-ALIANABLE LAND;A1;9.00;;
ROAD 9;BARANGAY RD-GANANO RIVER;A1;9.00;;
ROAD 9;ROAD 20 - ROAD 22;A1;9.00;;
ROAD 10;ROAD 2 - ROAD 12;RR;30.00;;
ROAD 12;ROAD 16 - ROAD 17;A1;9.00;;
ROAD 13;ROAD 14 - ROAD 15;GL;0.00;;
ROAD 17;ROAD 18 - ROAD 19;A2;2.00;;
ROAD 19;ROAD 20 - ROAD 21;A2;2.00;;
GANANO RIVER;RICARTE NORTE- ROAD 5;A8;3.00;;
CITY/MUNICIPALITY:;DIFFUN;;;;
BARANGAY:;RIZAL;;;;
RAFAEL PALMA ST;J. P. LAUREL-I. PEREZ;RR;45.00;;
RAFAEL PALMA ST;M. ROXAS  - I. PAREDES;RR;45.00;;
RAFAEL PALMA ST;M. PEREZ-I. PAREDES;RR;45.00;;
RAFAEL PALMA ST;M. QUEZON - I. PAREDES;RR;45.00;;
RAFAEL PALMA ST;F.E.MARCOS - I. PAREDES;CR;90.00;;
ISIDRO PAREDES ST;BARANGAY ROAD-DESINABA CK;RR;30.00;;
ISIDRO PAREDES ST;J.P. LAUREL-BARANGAY RD;RR;30.00;;
ISIDRO PAREDES ST;M. ROXAS - ABAD SANTOS;RR;30.00;;
ISIDRO PAREDES ST;M. PEREZ - J. ABAD SANTOS;RR;45.00;;
ISIDRO PAREDES ST;M QUEZON - J. ABAD SANTOS;RR;45.00;;
ISIDRO PAREDES ST;F.E. MARCOS-BARANGAY RD;RR;45.00;;
ISIDRO PAREDES ST;BARANGAY ROAD;RR;45.00;;
ISIDRO PAREDES ST;C. ARELLANO-J. ABAD SANTOS;RR;55.00;;
ISIDRO PAREDES ST;F.E. MARCOS-J. ABAD SANTOS;RR;55.00;;
ISIDRO PAREDES ST;A. MABINI-J. ABAD SANTOS;RR;55.00;;
ISIDRO PAREDES ST;GOMBURZA - J. ABAD SANTOS;RR;55.00;;
GEN. FRIAS ST;M. ROXAS - F. PASTOR;RR;30.00;;
GEN. FRIAS ST;M. PEREZ - F. PASTOR;RR;30.00;;
GEN. FRIAS ST;M. QUEZON - F. PASTOR;RR;30.00;;
GEN. FRIAS ST;A. MABINI - F. PASTOR;RR;45.00;;
GEN. FRIAS ST;GOMBURZA - F. PASTOR;RR;45.00;;
GEN. FRIAS ST;C.ARELLANO-F. PASTOR ST;RR;45.00;;
GEN. FRIAS ST;F.E. MARCOS - F. PASTOR;RR;55.00;;
F. PASTOR ST;M. ROXAS - BAGAOISAN ST;RR;30.00;;
F. PASTOR ST;M. PEREZ - BAGAOISAN;RR;30.00;;
F. PASTOR ST;M. QUEZON - BAGAOISAN;RR;30.00;;
F. PASTOR ST;GOMBURZA - BAGAOISAN;RR;30.00;;
F. PASTOR ST;C. ARELLANO-BAGAOISAN;RR;30.00;;
F. PASTOR ST;F.E.MARCOS - BAGAOISAN;RR;45.00;;
F. PASTOR ST;A. MABINI - BAGAOISAN;RR;45.00;;
J. ABAD SANTOS ST;C. ARELLANO -GEN. FRIAS;RR;55.00;;
J. ABAD SANTOS ST;F.E.MARCOS-GEN. FRIAS;RR;55.00;;
J. ABAD SANTOS ST;M. PEREZ - GEN. FRIAS;RR;45.00;;
J. ABAD SANTOS ST;A. MABINI - GEN. FRIAS;RR;45.00;;
J. ABAD SANTOS ST;GOMBURZA - GEN. FRIAS;RR;45.00;;
J. ABAD SANTOS ST;M. QUEZON - GEN. FRIAS;RR;30.00;;
CAYETANO ARELLANO;M. QUEZON-I. PAREDES;GL;0.00;;
BAGAOISAN ST;C. ARELLANO - BARANGAY RD;RR;30.00;;
CITY/MUNICIPALITY:;DIFFUN;;;;
BARANGAY:;SAN ANTONIO;;;;
NATIONAL ROAD;LOT #002 - LOT # 003;RR;55.00;;
NATIONAL ROAD;ROAD 1 - LOT # 003;RR;55.00;;
NATIONAL ROAD;ROAD 1 - ROAD 5;RR;55.00;;
NATIONAL ROAD;ROAD 4 - ROAD 5;RR;55.00;;
NATIONAL ROAD;ROAD 8 - ROAD 7;RR;55.00;;
NATIONAL ROAD;ROAD 9 - ROAD 10;RR;55.00;;
NATIONAL ROAD;ROAD 12 - ROAD 11;RR;45.00;;
NATIONAL ROAD;ROAD 10 - ROAD 11;A1;10.00;;
NATIONAL ROAD;ROAD 1 - ROAD 2;GL;0.00;;
ROAD 1;ROAD 2 - NATIONAL ROAD;A1;10.00;;
ROAD 3;ROAD 5 - LOT # 019;RR;45.00;;
ROAD 4;ROAD 5 - ROAD 7;RR;45.00;;
ROAD 7;ROAD 10 - ROAD 13;A1;10.00;;
ROAD 11;ROAD 13 - NIA CANAL;A1;10.00;;
ROAD 13;ROAD 14 - NIA CANAL;A1;10.00;;
ROAD 13;NIA-LUCBAN CREEK;A1;10.00;;
ROAD 13;BLK 6065 & 5818-BLK 6055;A1;10.00;;
GURIBANG ROAD;BARANGAY RD- LOT #004;A1;10.00;;
GURIBANG CREEK;NATIONAL ROAD - ROAD 3;A1;10.00;;
CITY/MUNICIPALITY:;DIFFUN;;;;
BARANGAY:;SITIO NAVARRO;;;;
ALL LOTS;OUTER LOT;RR;40.00;;
ALL LOTS;INNER LOT;RR;30.00;;
ALL LOTS;INNER LOT;A1;10.00;;
ALL LOTS;INNER LOT;A4;5.00;;
BARANGAY:;VILLA PASCUA;;;;
ALL LOTS;OUTER LOT;RR;40.00;;
ALL LOTS;INNER LOT;RR;30.00;;
ALL LOTS;INNER LOT;A1;9.00;;
ALL LOTS;INNER LOT;A4;5.00;;
CITY/MUNICIPALITY:;MADELLA;;;;
BARANGAY:;ABBAG;;;;
ALL LOTS;OUTER LOTS;RR;30.00;;
ALL LOTS;INNER LOTS;RR;25.00;;
ALL LOTS;INNER LOTS;A2;2.00;;
ALL LOTS;INNER LOTS;A4;7.00;;
ALL LOTS;INNER LOTS;A6;9.00;;
CITY/MUNICIPALITY:;MADELLA;;;;
BARANGAY:;BALLIGUI;;;;
ALL LOTS;OUTER LOTS;RR;20.00;;
ALL LOTS;INNER LOTS;RR;15.00;;
ALL LOTS;INNER LOTS;A4;5.00;;
ALL LOTS;INNER LOTS;A6;7.00;;
ALL LOTS;INNER LOTS;A7;4.00;;
ALL LOTS;INNER LOTS;A8;4.00;;
CITY/MUNICIPALITY:;MADELLA;;;;
BARANGAY:;BUENAVISTA;;;;
ALL LOTS;OUTER LOTS;RR;45.00;;
ALL LOTS;INNER LOTS;RR;40.00;;
ALL LOTS;INNER LOTS;A3;9.00;;
ALL LOTS;INNER LOTS;A4;7.00;;
ALL LOTS;INNER LOTS;A6;9.00;;
CITY/MUNICIPALITY:;MADELLA;;;;
BARANGAY:;CABARUAN;;;;
ALL LOTS;OUTER LOTS;RR;30.00;;
ALL LOTS;INNER LOTS;RR;25.00;;
ALL LOTS;INNER LOTS;A2;2.00;;
ALL LOTS;INNER LOTS;A4;7.00;;
ALL LOTS;INNER LOTS;A6;9.00;;
CITY/MUNICIPALITY:;MADELLA;;;;
BARANGAY:;CABUAAN;;;;
ALL LOTS;;A4;5.00;;
ALL LOTS;;A6;7.00;;
ALL LOTS;;A7;4.00;;
CITY/MUNICIPALITY:;MADELLA;A8;4.00;;
BARANGAY:;COFCAVILLE;;;;
ALL LOTS;OUTER LOTS;RR;20.00;;
ALL LOTS;INNER LOTS;RR;15.00;;
ALL LOTS;INNER LOTS;A2;2.00;;
ALL LOTS;INNER LOTS;A4;7.00;;
ALL LOTS;INNER LOTS;A6;9.00;;
ALL LOTS;INNER LOTS;A7;4.00;;
ALL LOTS;INNER LOTS;A8;4.00;;
CITY/MUNICIPALITY:;MADELLA;;;;
BARANGAY:;DIBUYON;;;;
ALL LOTS;OUTER LOTS;RR;30.00;;
ALL LOTS;INNER LOTS;RR;25.00;;
ALL LOTS;INNER LOTS;A2;2.00;;
ALL LOTS;INNER LOTS;A4;7.00;;
ALL LOTS;INNER LOTS;A6;9.00;;
CITY/MUNICIPALITY:;MADELLA;;;;
BARANGAY:;DISIMONGAL;;;;
ALL LOTS;;A3;2.00;;
ALL LOTS;;A7;5.00;;
ALL LOTS;;A8;4.00;;
CITY/MUNICIPALITY:;MADELLA;;;;
BARANGAY:;DIVISORIA NORTE;;;;
ALL LOTS;OUTER LOTS;RR;20.00;;
ALL LOTS;INNER LOTS;RR;15.00;;
ALL LOTS;INNER LOTS;A2;2.00;;
ALL LOTS;INNER LOTS;A4;7.00;;
ALL LOTS;INNER LOTS;A6;9.00;;
ALL LOTS;INNER LOTS;A7;4.00;;
CITY/MUNICIPALITY:;MADELLA;A8;4.00;;
BARANGAY:;DIVISORIA SUR;;;;
ALL LOTS;OUTER LOTS;RR;20.00;;
ALL LOTS;INNER LOTS;RR;15.00;;
ALL LOTS;INNER LOTS;A2;2.00;;
ALL LOTS;INNER LOTS;A4;7.00;;
ALL LOTS;INNER LOTS;A6;9.00;;
ALL LOTS;INNER LOTS;A7;4.00;;
ALL LOTS;INNER LOTS;A8;4.00;;
CITY/MUNICIPALITY:;MADELLA;;;;
BARANGAY:;DUMABATO NORTE;;;;
ALL LOTS;OUTER LOTS;RR;45.00;;
ALL LOTS;INNER LOTS;RR;40.00;;
ALL LOTS;INNER LOTS;A3;9.00;;
ALL LOTS;INNER LOTS;A4;7.00;;
ALL LOTS;INNER LOTS;A6;9.00;;
CITY/MUNICIPALITY:;MADELLA;;;;
BARANGAY:;DUMABATO SUR;;;;
ALL LOTS;OUTER LOTS;RR;45.00;;
ALL LOTS;INNER LOTS;RR;40.00;;
ALL LOTS;INNER LOTS;A3;9.00;;
ALL LOTS;INNER LOTS;A4;7.00;;
ALL LOTS;INNER LOTS;A6;9.00;;
CITY/MUNICIPALITY:;MADELLA;;;;
BARANGAY:;JOSE ANCHETA;;;;
ALL LOTS;;A4;5.00;;
ALL LOTS;;A6;7.00;;
ALL LOTS;;A7;4.00;;
ALL LOTS;;A8;4.00;;
CITY/MUNICIPALITY:;MADELLA;;;;
BARANGAY:;LUSOD;;;;
CEMETERY ST;NATIONAL RD-ALEJANDRO ST;CR;80.00;;
CEMETERY ST;ALEJANDRO ST-GONZALO ST;RR;65.00;;
CEMETERY ST;GONZALO ST-DIDUYON CREEK;RR;45.00;;
LUSOD ST;NATIONAL RD - SARANDI ST;CR;80.00;;
LUSOD ST;ALEJANDRO ST-GONZALO ST;RR;65.00;;
PRODUCERS ST;M. AGULLANA-CM MADARANG;RR;65.00;;
PRODUCERS ST;DIDUYON CREEK-CAGAYAN RIV;A4;8.00;;
PLANTERS ST;PRODUCERS ST-DIDUYON CREEK;A6;10.00;;
CITY/MUNICIPALITY:;MADELLA;;;;
BARANGAY:;MANGLAD;;;;
ALL LOTS;OUTER LOT;RR;20.00;;
ALL LOTS;INNER LOT;RR;15.00;;
ALL LOTS;INNER LOT;A2;2.00;;
ALL LOTS;INNER LOT;A4;5.00;;
ALL LOTS;INNER LOT;A6;6.00;;
CITY/MUNICIPALITY:;MADELLA;;;;
BARANGAY:;PEDLISAN;;;;
ALL LOTS;;A3;9.00;;
ALL LOTS;;A4;5.00;;
ALL LOTS;;A6;7.00;;
ALL LOTS;;A7;4.00;;
ALL LOTS;;A8;4.00;;
CITY/MUNICIPALITY:;MADELLA;;;;
BARANGAY:;POBLACION NORTE;;;;
PASTURES ST;THIAN EXT - EMBARKADERO;X;70.00;;
MARTIN ST;THIAN EXT - ANCHETA ST;CR;80.00;;
MARTIN ST;M. AGULLANA - EMBARKADERO;CR;80.00;;
ANCHETA ST;EMBARKADERO-AGULLANA;RR;65.00;;
ANCHETA ST;M. AGULLANA - AGGUB ST;CR;80.00;;
ANCHETA ST;AGGUB ST - THIANA ST;CR;80.00;;
THIAN ST;NARRA ST - MAHOGANY;CR;80.00;;
MAHOGANY ST;NARRA ST - MANGGO ST;RR;65.00;;
RUBIA ST;MANGGO ST - IPIL-IPIL ST;RR;65.00;;
NARRA ST;RUBIA ST - MELINA ST;RR;65.00;;
MELINA ST;NARRA ST - NATIONAL ROAD;CR;80.00;;
RIZAL ST;NATIONAL ROAD-IPIL-IPIL;CR;80.00;;
RIZAL ST;LADIA ST - BALLAD ST;CR;80.00;;
RIZAL ST;BALLAD ST - QUIRINO;GL;0.00;;
MAGSAYSAY BLVD.;NATIONAL ROAD-RIZAL ST;CR;80.00;;
MAGSAYSAY BLVD.;LADIA ST-R. DIAZ ST;CR;80.00;;
MAGSAYSAY BLVD.;BALLAD ST - QUIRINO;GL;0.00;;
MAGSAYSAY BLVD.;RIZAL ST - AGGUB ST;GL;0.00;;
AGGUB ST;RIZAL ST - MAGSAYSAY BLVD;CR;80.00;;
M. AGULLANA ST;RIZAL ST - MAGSAYSAY BLVD;RR;65.00;;
MANGAOIL ST;NATIONAL RD - PASCUAL ST;CR;80.00;;
PASCUAL ST;NATIONAL RD - BARANGAY RD;CR;80.00;;
CITY/MUNICIPALITY:;MADELLA;;;;
BARANGAY:;POBLACION SUR;;;;
NATIONAL ROAD;BARANGAY ROAD;RR;65.00;;
NATIONAL ROAD;ST. VINCENT SCH-BRGY ROAD;RR;65.00;;
NATIONAL ROAD;BARANGAY ROAD -RES. LOT;X;60.00;;
E. MADARANG ST;BAYAUA ST -NATIONAL RD;CR;80.00;;
E. MADARANG ST;BAYAUA ST-M.AGULLANA;CR;80.00;;
E. MADARANG ST;AGGUB ST-M. AGULLANA;CR;80.00;;
E. MADARANG ST;AGGUB - MAGSAYSAY;GL;0.00;;
M. AGULLANA ST;E. MADARANG-GEN. NAKAR;CR;80.00;;
M. AGULLANA ST;G. MADARANG - DIDUYON CRK;RR;65.00;;
G. MADARANG ST;P. GAFFUD - NATIONAL ROAD;CR;80.00;;
G. MADARANG ST;CM FERAS- E. MADARANG;RR;65.00;;
G. MADARANG ST;E. MADARANG-G. MADARANG;RR;65.00;;
G. MADARANG ST;M. PIMENTEL-E. MADARANG;RR;65.00;;
SARANDI ST;NATIONAL ROAD - P. GAFFUD;CR;80.00;;
SARANDI ST;P. GAFFUD - C.M. FERIL;RR;65.00;;
SARANDI ST;CM FERIL-E. MADARANG;RR;65.00;;
SARANDI ST;M. PIMENTEL-G. MADARANG;RR;65.00;;
PASCUAL ST;NATIONAL ROAD-RGY. ROAD;RR;45.00;;
M.PIMENTEL ST;E. MADARANG-G. MADARANG;CR;80.00;;
M.PIMENTEL ST;M. AGULLANA - G. MADARANG;RR;65.00;;
CITY/MUNICIPALITY:;MADELLA;;;;
BARANGAY:;SAN BERNABE;;;;
ALL LOTS;OUTER LOT;RR;20.00;;
ALL LOTS;INNER LOT;RR;15.00;;
ALL LOTS;INNER LOT;A2;2.00;;
ALL LOTS;INNER LOT;A4;7.00;;
ALL LOTS;INNER LOT;A6;9.00;;
ALL LOTS;INNER LOT;A7;4.00;;
ALL LOTS;INNER LOT;A8;4.00;;
CITY/MUNICIPALITY:;MADELLA;;;;
BARANGAY:;SAN DIONISIO I;;;;
ALL LOTS;;A3;7.00;;
ALL LOTS;;A4;5.00;;
ALL LOTS;;A6;7.00;;
ALL LOTS;;A7;4.00;;
ALL LOTS;;A8;4.00;;
CITY/MUNICIPALITY:;MADELLA;;;;
BARANGAY:;SAN DIONISIO II;;;;
ALL LOTS;;A3;7.00;;
ALL LOTS;;A4;5.00;;
ALL LOTS;;A6;7.00;;
ALL LOTS;;A7;4.00;;
ALL LOTS;;A8;4.00;;
CITY/MUNICIPALITY:;MADELLA;;;;
BARANGAY:;SAN MARTIN;;;;
ALL LOTS;;A3;5.00;;
ALL LOTS;;A4;5.00;;
ALL LOTS;;A6;7.00;;
ALL LOTS;;A7;4.00;;
ALL LOTS;;A8;4.00;;
CITY/MUNICIPALITY:;MADELLA;;;;
BARANGAY:;SAN PEDRO;;;;
ALL LOTS;;A3;5.00;;
