RDO:;RDO NO. 40 - CUBAO QUEZON CITY;;;(FORMERLY RDO No. 30A-SOUTH Q.C.);
MAGSAYSAY BLVD;SANTOL;APD;0.00;"APD -  NO. 9 BARANGAY IMELDA KAPILIGAN  N  -   LANDARGUN ST     E  -   KAPILIGAN ST.  S  -   LANTAWAN ST. EXTENDING TO THE COST OF QUIRQYQN ST. & PALANSA ST.; AND GOING WEST TO G. ARANETA AVE.              W  -  G. ARANETA AVENUE  APD -  NO. 25 BARANGAY DONA IMELDA  NW  -   PALANSA ST.              NE   -   G. ARANETA AVE. SE   - AURORA BOULEVARD   S  -    SOCIEGO ST.   W   -    SILENCIO ST.  APD -  NO. 19 IMELDA SANTOL NW  -   RODRIGUEZ SR. BLVD E   -   SAN JUAN RIVER S   -   BAYANI ST. (FROM SAN JUAN RIVER TO KAPILIGAN ST.  AND FROM G. ARANETA TO QUEZON INSTITUTE PROPERTY LINE); kAPILIGAN (FROM COR. BAYANI ST. TO COR. G. ARANETA AVE.);   G. ARANETA (FROM COR KAPILIGAN TO COR. BAYANI ST.) W   -   QUEZON INSTITUTE PROPERTY LINE";
PALANSA;SANTOL;RR;4,000.00;;
PAOAY;SANTOL;RR;4,000.00;;
UGO;SANTOL;RR;4,000.00;;
ALL OTHER STREETS;SANTOL;RR;4,000.00;;
TOWNHOUSE (CCT);SANTOL;RC;10,000.00;;
CONDOMINIUM;SANTOL;RC;15,000.00;;
CONDOMINIUM;SANTOL;CC;20,000.00;;
CONDOMINIUM;SANTOL;;;;
BARANGAY:;IMMACULATE CONCEPCION;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
AURORA BOULEVARD;ROSARIO - EDSA;CR;15,000.00;;
ACACIA;CUBAO - NEW MANILA;RR;5,000.00;;
ARIZONA;;RR;5,000.00;;
BALETE;;RR;5,000.00;;
BOSTON;;RR;5,000.00;;
BOUNGAINVILLA;;RR;5,000.00;;
BROOKLYN;;RR;5,000.00;;
CAMPANILLA;;RR;5,000.00;;
CANNON ROAD;;RR;5,000.00;;
DAMA DE NOCHE;;RR;5,000.00;;
EDSA;AURORA BLVD - NEW YORK;CR;15,000.00;;
E.RODRIGUEZ;K8TH - AURORA BOULEVA;CR;13,000.00;;
E.RODRIGUEZ;K8TH - AURORA BOULEVA;APD;0.00;APD -  NO.  62 & 77  LANTANA IMMACULATE CONCEPCION              NE  -   RODRIGUEZ SR. AVE.                SE  -   ARIZONA ST.                 SW  -  LANTAN ST.                 NW  -  NEW YORK ST., VANCOUVER;
HIBISCUS;CUBAO;RR;4,000.00;;
ILANG-ILANG;CUBAO;RR;4,000.00;;
LANTANA;CUBAO;RR;4,000.00;;
LOS ANGELES;CUBAO;RR;4,000.00;;
MABOLO;CUBAO;RR;4,000.00;;
MANGA;CUBAO;RR;4,000.00;;
MANHATTAN;CUBAO;RR;4,000.00;;
MONTE DE PIEDAD;CUBAO;RR;4,000.00;;
NEW YORK;CUBAO;RR;7,000.00;;
NEW YORK;CUBAO;CR;8,000.00;;
POINSETTIA;CUBAO;RR;4,000.00;;
ROSARIO DRIVE;CUBAO;RR;4,000.00;;
SAMPAGUITA;CUBAO;RR;4,000.00;;
SPENCER;CUBAO;RR;4,000.00;;
SPENCER HEIGHTS;CUBAO;RR;4,000.00;;
SCHOOL ROAD;CUBAO;RR;4,000.00;;
ST. MICHAEL;CUBAO;RR;4,000.00;;
ST. WILLIAM;CUBAO;RR;4,000.00;;
VALLEY ROAD;CUBAO;RR;4,000.00;;
VANCOUVER;CUBAO;RR;4,000.00;;
ALL OTHER STREETS;CUBAO;RR;4,000.00;;
TOWNHOUSE (CCT);CUBAO;RC;10,000.00;;
CONDOMINIUM;CUBAO;RC;15,000.00;;
CONDOMINIUM;CUBAO;CC;20,000.00;;
CONDOMINIUM;CUBAO;;;;
BARANGAY:  KALUSUGAN;;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
E. RODRIGUEZ;NEW MANILA;CR;6,000.00;;
E. RODRIGUEZ  (ICASIA;NEW MANILA;RR;5,000.00;;
E. DELOS SANTOS HOSP;NEW MANILA;X;0.00;INSTITUTIONAL;
FELDA;NEW MANILA;RR;3,000.00;;
ICASIANA (BROADWAY);NEW MANILA;RR;3,000.00;;
ST. LUKES HOSPITAL;NEW MANILA;X;0.00;INSTITUTIONAL;
16TH TO 18TH;NEW MANILA;RR;3,000.00;;
TRINITY COLLEGE;NEW MANILA;X;0.00;INSTITUTIONAL;
ALL OTHER STREETS;NEW MANILA;RR;3,000.00;;
TOWNHOUSE (CCT);NEW MANILA;RC;10,000.00;;
CONDOMINIUM;NEW MANILA;RC;15,000.00;;
CONDOMINIUM;NEW MANILA;CC;20,000.00;;
BARANGAY:;KAMIAS (EAST);;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
KAMIAS ROAD;KAMIAS;RR;6,000.00;;
KAMIAS ROAD;KAMIAS;CR;8,000.00;;
COL. SALGADO;KAMIAS;RR;4,000.00;;
K-G;KAMIAS;RR;4,000.00;;
K-H;KAMIAS;RR;4,000.00;;
K-I;KAMIAS;RR;4,000.00;;
K-6TH;KAMIAS;RR;4,000.00;;
K-7TH;KAMIAS;RR;4,000.00;;
ALL OTHER STREETS;KAMIAS;RR;4,000.00;;
TOWNHOUSE (CCT);KAMIAS;RC;10,000.00;;
CONDOMINIUM;KAMIAS;RC;15,000.00;;
CONDOMINIUM;KAMIAS;CC;20,000.00;;
CONDOMINIUM;KAMIAS;;;;
BARANGAY:;KAMIAS (WEST);;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
KAMIAS ROAD;KAMIAS;RR;6,000.00;;
KAMIAS ROAD;KAMIAS;CR;8,000.00;;
COL. SALGADO;KAMIAS;RR;4,000.00;;
K-G;KAMIAS;RR;4,000.00;;
K-H;KAMIAS;RR;4,000.00;;
K-I;KAMIAS;RR;4,000.00;;
K-6TH;KAMIAS;RR;4,000.00;;
K-7TH;KAMIAS;RR;4,000.00;;
K-8TH;KAMIAS;RR;4,000.00;;
K-9TH;KAMIAS;RR;4,000.00;;
ALL OTHER STREETS;KAMIAS;RR;4,000.00;;
TOWNHOUSE (CCT);KAMIAS;RC;10,000.00;;
CONDOMINIUM;KAMIAS;RC;15,000.00;;
CONDOMINIUM;KAMIAS;CC;20,000.00;;
BARANGAY:;KAMUNING;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
EDSA;KAMUNING;CR;15,000.00;;
K-A   TO K-F;;RR;5,000.00;;
K-E;;RR;5,000.00;;
"K-1ST; K-F; K-A; K-F";;RR;5,000.00;;
KAMUNING ROAD;;RR;6,000.00;;
KAMUNING ROAD;;CR;8,000.00;;
T. MORATO AVENUE;;RR;8,000.00;;
T. MORATO AVENUE;;CR;9,000.00;;
ALL OTHER STREETS;;RR;5,000.00;;
TOWNHOUSE (CCT);;RC;10,000.00;;
CONDOMINIUM;;RC;15,000.00;;
CONDOMINIUM;;CC;20,000.00;;
CONDOMINIUM;;;;;
BARANGAY:;KAUNLARAN;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
AURORA BOULEVARD;EDSA - ARAYAT;CR;15,000.00;;
ARAYAT;CUBAO;RR;4,000.00;;
ARAYAT;CUBAO;CR;6,000.00;;
BATAY;CUBAO;RR;4,000.00;;
BANAHAW;CUBAO;RR;4,000.00;;
CRISTOBAL;CUBAO;RR;4,000.00;;
DRIOD;CUBAO;RR;4,000.00;;
EDSA;CUBAO;CR;13,000.00;;
C. BENITEZ;CUBAO;RR;4,000.00;;
MAKILING;CUBAO;RR;4,000.00;;
N. DOMINGO;CUBAO;RR;6,000.00;;
N. DOMINGO;CUBAO;CR;8,000.00;;
NATIB;CUBAO;RR;4,000.00;;
P. TUAZON;CUBAO;RR;5,000.00;;
P. TUAZON;CUBAO;CR;8,000.00;;
PINATUBO;CUBAO;RR;4,000.00;;
ALL OTHER STREETS;CUBAO;RR;4,000.00;;
TOWNHOUSE (CCT);CUBAO;RC;10,000.00;;
CONDOMINIUM;CUBAO;RC;15,000.00;;
CONDOMINIUM;CUBAO;CC;20,000.00;;
CONDOMINIUM;CUBAO;;;;
BARANGAY:;KRISTONG HARI;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
ALABAMA;NEW MANILA;RR;6,000.00;;
E. RODRIGUEZ (DONA JUANA);;RR;6,000.00;;
E. RODRIGUEZ SR. BLVD. (ESPANA EXT.);;RR;6,000.00;;
E. RODRIGUEZ SR. BLVD. (ESPANA EXT.);;CR;15,000.00;;
E. RODRIGUEZ SR. BLVD. (ESPANA EXT.);;I;10,000.00;;
J. JIMENEZ;E. RODRIGUEZ  -  CREEK;RR;6,000.00;;
PACIFIC AVENUE (HEMA;NEW MANILA;RR;6,000.00;;
PACIFIC AVENUE (HEMA;NEW MANILA;APD;0.00;APD -  NO.   60   N  -   DILIMAN CREEK              E  -   CHRIST THE KING PROPERTY 7 IMAGINARY LINE EXTENDING M. HEMADY TOWARDS THE CREEK STARTING FROM THE NORTHERN PORTION OF CHRIST THE KING                       PROPERTY   S  -   SUNNY SIDE DRIVE FROM DONA J. RODRIGUEZ ST.                       TO RODRIGUEZ AVE. EXTENDING TO CHRIST THE KING PROPERTY.;
SUNRISE DRIVE;E. RODRIGUEZ  -  CREEK;RR;6,000.00;;
SUNNY SIDE DRIVE;E. RODRIGUEZ  -  CREEK;RR;6,000.00;;
SUNNY SIDE DRIVE;E. RODRIGUEZ  -  CREEK;APD;0.00;APD -  NO.   60   N  -   DILIMAN CREEK              E  -   CHRIST THE KING PROPERTY 7 IMAGINARY LINE EXTENDING M. HEMADY TOWARDS THE CREEK STARTING FROM THE NORTHERN PORTION OF CHRIST THE KING                       PROPERTY   S  -   SUNNY SIDE DRIVE FROM DONA J. RODRIGUEZ ST.                       TO RODRIGUEZ AVE. EXTENDING TO CHRIST THE KING PROPERTY.;
T. MORATO AVENUE;E. RODRIGUEZ  -  CREEK;RR;9,000.00;;
T. MORATO AVENUE;E. RODRIGUEZ  -  CREEK;CR;12,000.00;;
ALL OTHER STREETS;E. RODRIGUEZ  -  CREEK;RR;5,000.00;;
TOWNHOUSE (CCT);E. RODRIGUEZ  -  CREEK;RC;10,000.00;;
CONDOMINIUM;E. RODRIGUEZ  -  CREEK;RC;15,000.00;;
CONDOMINIUM;E. RODRIGUEZ  -  CREEK;CC;20,000.00;;
CONDOMINIUM;E. RODRIGUEZ  -  CREEK;;;;
BARANGAY:;LAGING HANDA;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
A. ROCES AVENUE;GEN. ROXAS;RR;5,000.00;;
A. ROCES AVENUE;GEN. ROXAS;CR;8,000.00;;
A. ROCES AVENUE;GEN. ROXAS;APD;0.00;APD -  NO.  16  ALONG A. ROCES AVENUE  N  -    SCT. CASTOR    E   -    T . MORATO S   -    A. ROCES              W  -   SCT. TUASON;
DR. LAZCANO;GEN. ROXAS;RR;5,000.00;;
MO. IGNACIA (CEBU AV;GEN. ROXAS;RR;5,000.00;;
SCT. CASTOR;GEN. ROXAS;RR;5,000.00;;
SCT. CASTOR;GEN. ROXAS;APD;0.00;APD -  NO.  16  ALONG A. ROCES AVENUE  N  -    SCT. CASTOR    E   -    T . MORATO S   -    A. ROCES              W  -   SCT. TUASON;
SCT. DE GUIA;GEN. ROXAS;RR;5,000.00;;
SCT. DE GUIA;GEN. ROXAS;APD;0.00;APD -  NO.  16  ALONG A. ROCES AVENUE  N  -    SCT. CASTOR    E   -    T . MORATO S   -    A. ROCES              W  -   SCT. TUASON;
SCT. DELGADO;GEN. ROXAS;RR;5,000.00;;
SCT. FUENTEBELLA;GEN. ROXAS;RR;5,000.00;;
SCT. FUENTEBELLA;GEN. ROXAS;APD;0.00;APD -  NO.  16  ALONG A. ROCES AVENUE  N  -    SCT. CASTOR    E   -    T . MORATO S   -    A. ROCES              W  -   SCT. TUASON;
SCT. GANDIA;GEN. ROXAS;RR;5,000.00;;
SCT. LIMBAGA;GEN. ROXAS;RR;5,000.00;;
SCT. LOZANO;GEN. ROXAS;RR;5,000.00;;
SCT. RALLOS;GEN. ROXAS;RR;5,000.00;;
SCT. REYES;GEN. ROXAS;RR;5,000.00;;
SCT. SANTIAGO;GEN. ROXAS;RR;5,000.00;;
SCT. TUASON;GEN. ROXAS;RR;5,000.00;;
SCT. TOBIAS;GEN. ROXAS;RR;5,000.00;;
T MORATO;GEN. ROXAS;RR;9,000.00;;
T MORATO;GEN. ROXAS;CR;11,000.00;;
SOUTH AVENUE;GEN. ROXAS;RR;8,000.00;;
SOUTH AVENUE;GEN. ROXAS;CR;10,000.00;;
ALL OTHER STREETS;GEN. ROXAS;RR;5,000.00;;
TOWNHOUSE (CCT);GEN. ROXAS;RC;10,000.00;;
CONDOMINIUM;GEN. ROXAS;RC;15,000.00;;
CONDOMINIUM;GEN. ROXAS;CC;20,000.00;;
CONDOMINIUM;GEN. ROXAS;;;;
BARANGAY:;LIBIS;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
B. SERRANO;MURPHY;RR;4,000.00;;
B. SERRANO;MURPHY;APD;0.00;APD -  NO.  47  LIBIS   NW -  SANTOLAN ROAD    E   -    MARIKINA RIVER  SE  -   UNNAMED CREEK                 SW  -   E. RODRIGUEZ AVENUE TO ASTORIA THROUGH ORTIGAS                             PROPERTY THEN NORTHWARD TO RIVERA ST. UP TO      SANTOLAN ROAD. APD -  NO.  48 SIDE OF 51ST ENGINEERING BRIGADE-LIBIS              N   -  QUEZON CITY/MARIKINA BOUNDARY (UNNAMED CREEK)                  E   -   MARIKINA RIVER  S   -   RIVERVIEW DRIVE EXTENSION FROM MARIANA RIVER     W  -   RIVERVIEW DRIVE;
E. RODRIGUEZ JR. AVE.;MURPHY;CR;6,000.00;;
ALL OTHER STREETS;MURPHY;RR;4,000.00;;
TOWNHOUSE (CCT);MURPHY;RC;10,000.00;;
CONDOMINIUM;MURPHY;RC;15,000.00;;
CONDOMINIUM;MURPHY;CC;20,000.00;;
CONDOMINIUM;MURPHY;;;;
BARANGAY:;LOYOLA HEIGHTS;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
AURORA BOULEVARD;LOYOLA/DILIMAN;RR;12,000.00;;
AURORA BOULEVARD;LOYOLA/DILIMAN;X;13,000.00;;
ALTA VISTA SUBD. (QUI;LOYOLA/DILIMAN;RR;7,000.00;;
A. ALBERT;LOYOLA/DILIMAN;RR;6,000.00;;
A. MELCHOR;LOYOLA/DILIMAN;RR;6,000.00;;
AVELINO;LOYOLA/DILIMAN;RR;6,000.00;;
B. GONZALEZ;LOYOLA/DILIMAN;RR;6,000.00;;
C. SALVADOR;LOYOLA/DILIMAN;RR;6,000.00;;
E. ABADA;LOYOLA/DILIMAN;RR;6,000.00;;
G. GONZALES;LOYOLA/DILIMAN;RR;6,000.00;;
J. BOCOBO (XAVIERVILLE);LOYOLA/DILIMAN;RR;6,000.00;;
M. V. DEL ROSARIO;LOYOLA/DILIMAN;RR;6,000.00;;
M. JOCSON;LOYOLA/DILIMAN;RR;6,000.00;;
P. DELA ROSA;LOYOLA/DILIMAN;RR;6,000.00;;
R. ALVERO;LOYOLA/DILIMAN;RR;6,000.00;;
REYES;LOYOLA/DILIMAN;RR;6,000.00;;
SEVERINO;LOYOLA/DILIMAN;RR;6,000.00;;
EVANGELISTA;LOYOLA/DILIMAN;RR;6,000.00;;
LAUREL;LOYOLA/DILIMAN;RR;6,000.00;;
KATIPUNAN;LOYOLA/DILIMAN;RR;6,000.00;;
KATIPUNAN;LOYOLA/DILIMAN;CR;7,000.00;;
KATIPUNAN;LOYOLA/DILIMAN;X;6,000.00;;
KATIPUNAN;LOYOLA/DILIMAN;GP;1,500.00;;
OLD KATIPUNAN;LOYOLA/DILIMAN;CR;6,500.00;;
XAVIERVILLE AVE. (CH;LOYOLA/DILIMAN;RR;7,500.00;;
XAVIERVILLE I  & II;LOYOLA/DILIMAN;RR;6,500.00;;
XAVIERVILLE III;LOYOLA/DILIMAN;RR;7,000.00;;
ALL OTHER STREETS;LOYOLA/DILIMAN;RR;6,000.00;;
TOWNHOUSE (CCT);LOYOLA/DILIMAN;RC;10,000.00;;
CONDOMINIUM;LOYOLA/DILIMAN;RC;15,000.00;;
CONDOMINIUM;LOYOLA/DILIMAN;CC;20,000.00;;
CONDOMINIUM;LOYOLA/DILIMAN;;;;
BARANGAY:;MALAYA;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
ALL STREETS;CENTRAL;RR;2,500.00;;
TOWNHOUSE (CCT);CENTRAL;RC;10,000.00;;
CONDOMINIUM;CENTRAL;RC;15,000.00;;
CONDOMINIUM;CENTRAL;CC;20,000.00;;
BARANGAY:;MANGA;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
AURORA BOULEVARD;QUIRINO;CR;12,000.00;;
AURORA BOULEVARD;QUIRINO;I;12,000.00;;
20TH AVENUE;QUIRINO;CR;7,000.00;;
20TH AVENUE;QUIRINO;I;7,000.00;;
ALL OTHER STREETS;QUIRINO;RR;4,000.00;;
TOWNHOUSE (CCT);QUIRINO;RC;10,000.00;;
CONDOMINIUM;QUIRINO;RC;15,000.00;;
CONDOMINIUM;QUIRINO;CC;20,000.00;;
CONDOMINIUM;QUIRINO;;;;
BARANGAY:;MARIANA;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
AURORA BOULEVARD;E. RODRIGUEZ - VICTORIA;CR;15,000.00;;
ACACIA;NEW MANILA;RR;6,000.00;;
BALETE;E. RODRIGUEZ  -  AURORA;RR;6,000.00;;
BALETE;E. RODRIGUEZ  -  AURORA;CR;7,000.00;;
BALETE;E. RODRIGUEZ  -  AURORA;APD;0.00;APD -  NO.  40  MARIANA, BROADWAY 7TH STREET   NW   -  8TH STREET               SW   -   VICTORIA STREETNE    -   D, JUANA RODRIGUEZ SE   -    6TH  STREET;
CAMPANILLA;E. RODRIGUEZ - BALETE;RR;4,000.00;;
CANON;NEW MANILA;RR;5,000.00;;
BOUGAINVILLA;NEW MANILA;RR;5,000.00;;
D. HEMADY;NEW MANILA;RR;5,000.00;;
DAMA DE NOCHE;NEW MANILA;RR;5,000.00;;
D. JUANA RODRIGUEZ;NEW MANILA;RR;5,000.00;;
BRIGHT HILL;NEW MANILA;RR;5,000.00;;
BROADWAY;NEW MANILA;RR;5,000.00;;
E. RODRIGUEZ;E. RODRIGUEZ  -  VICTORIA;RR;5,000.00;;
E. RODRIGUEZ;E. RODRIGUEZ  -  VICTORIA;APD;0.00;APD -  NO.  40  MARIANA, BROADWAY 7TH STREET   NW   -  8TH STREET               SW   -   VICTORIA STREETNE    -   D, JUANA RODRIGUEZ SE   -    6TH  STREET;
EAST - 4TH  - 5TH;NEW MANILA;RR;4,500.00;;
1ST - 14TH STREET;NEW MANILA;RR;5,000.00;;
GILMORE AVENUE;NEW MANILA;RR;6,000.00;;
GILMORE AVENUE;NEW MANILA;CR;7,000.00;;
HIBISCUS;NEW MANILA;RR;5,000.00;;
ILANG-ILANG;NEW MANILA;RR;5,000.00;;
LANTANA;NEW MANILA;RR;5,000.00;;
MABOLO;NEW MANILA;RR;5,000.00;;
MADISON;NEW MANILA;RR;5,000.00;;
MANGA;NEW MANILA;RR;5,000.00;;
NEW JERSEY;NEW MANILA;RR;5,000.00;;
OHIO;NEW MANILA;RR;5,000.00;;
PENSYLVANIA;NEW MANILA;RR;5,000.00;;
SAMPAGUITA;NEW MANILA;RR;5,000.00;;
VALLEY ROAD;NEW MANILA;RR;5,000.00;;
VICTORIA AVENUE;NEW MANILA;RR;5,000.00;;
VICTORIA AVENUE;NEW MANILA;APD;0.00;APD -  NO.  40  MARIANA, BROADWAY 7TH STREET   NW   -  8TH STREET               SW   -   VICTORIA STREETNE    -   D, JUANA RODRIGUEZ SE   -    6TH  STREET;
ALL OTHER STREETS;NEW MANILA;RR;5,000.00;;
TOWNHOUSE (CCT);NEW MANILA;RC;10,000.00;;
CONDOMINIUM;NEW MANILA;RC;15,000.00;;
CONDOMINIUM;NEW MANILA;CC;20,000.00;;
CONDOMINIUM;NEW MANILA;;;;
BARANGAY:;MARILAG;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
AURORA BOULEVARD;QUIRINO 4;CR;15,000.00;;
AURORA BOULEVARD;QUIRINO 4;X;11,000.00;;
A. LUNA;QUIRINO 4;RR;4,500.00;;
A. NOVALES;QUIRINO 4;RR;4,500.00;;
ACUNA;QUIRINO 4;RR;4,500.00;;
AGUINALDO;QUIRINO 4;RR;4,500.00;;
ALIMUNDIN;QUIRINO 4;RR;4,500.00;;
CALDERON;QUIRINO 4;RR;4,500.00;;
CAMERINO;QUIRINO 4;RR;4,500.00;;
CASTILLO;QUIRINO 4;RR;4,500.00;;
D. SILANG;QUIRINO 4;RR;4,500.00;;
D. SUMAKWEL;QUIRINO 4;RR;4,500.00;;
DE LEGASPI;QUIRINO 4;RR;4,500.00;;
ELADIA;QUIRINO 4;RR;4,500.00;;
J. BURGOS;QUIRINO 4;RR;4,500.00;;
J. JUGO;QUIRINO 4;RR;4,500.00;;
J. LAUREL;QUIRINO 4;RR;4,500.00;;
J. OCAMPO;QUIRINO 4;RR;4,500.00;;
J. PEREZ;QUIRINO 4;RR;4,500.00;;
J. P. RIZAL;QUIRINO 4;RR;5,000.00;;
J. P. RIZAL;QUIRINO 4;CR;7,000.00;;
LAKANDULA;QUIRINO 4;RR;4,500.00;;
M. SALAMAT;QUIRINO 4;RR;4,500.00;;
MALONG;QUIRINO 4;RR;4,500.00;;
M. PAUZA;QUIRINO 4;RR;4,500.00;;
OCAMPO;QUIRINO 4;RR;4,500.00;;
P. TUAZON;QUIRINO 4;RR;4,500.00;;
P. TUAZON;QUIRINO 4;CR;7,000.00;;
ALL OTHER STREETS;QUIRINO 4;RR;4,500.00;;
TOWNHOUSE (CCT);QUIRINO 4;RC;10,000.00;;
CONDOMINIUM;QUIRINO 4;RC;15,000.00;;
CONDOMINIUM;QUIRINO 4;CC;20,000.00;;
CONDOMINIUM;QUIRINO 4;;;;
BARANGAY:;MASAGANA;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
D. SILANG;QUIRINO 4;RR;4,500.00;;
J. P. RIZAL;QUIRINO 4;RR;5,000.00;;
J. P. RIZAL;QUIRINO 4;CR;7,000.00;;
J. PEREZ;QUIRINO 4;RR;4,500.00;;
J. ZOBEL;QUIRINO 4;RR;4,500.00;;
M. INOCENCIO;QUIRINO 4;RR;4,500.00;;
CONCHU;QUIRINO 4;RR;4,500.00;;
GEN. ARELLANO;QUIRINO 4;RR;4,500.00;;
GEN. SANTOS;QUIRINO 4;RR;4,500.00;;
KALANTIAO;QUIRINO 4;RR;4,500.00;;
LUCIANO;QUIRINO 4;RR;4,500.00;;
RIGOR;QUIRINO 4;RR;4,500.00;;
ALL OTHER STREETS;QUIRINO 4;RR;4,500.00;;
TOWNHOUSE (CCT);QUIRINO 4;RC;10,000.00;;
CONDOMINIUM;QUIRINO 4;RC;15,000.00;;
CONDOMINIUM;QUIRINO 4;CC;20,000.00;;
CONDOMINIUM;QUIRINO 4;;;;
BARANGAY:;MILAGROSA;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
ALIMUDIN;QUIRINO 4;RR;4,000.00;;
ALVAREZ;QUIRINO 4;RR;4,500.00;;
BELARMINO;QUIRINO 4;RR;4,500.00;;
BURGOS;QUIRINO 4;RR;4,500.00;;
CALDERON;QUIRINO 4;RR;4,500.00;;
CAMERINO;QUIRINO 4;RR;4,500.00;;
DELA PAZ;QUIRINO 4;RR;4,500.00;;
F. SALALILLA;QUIRINO 4;RR;4,500.00;;
FELIPE;QUIRINO 4;RR;4,500.00;;
GARCIA;QUIRINO 4;RR;4,500.00;;
J. OCAMPO;QUIRINO 4;RR;4,500.00;;
J. P. RIZAL;QUIRINO 4;RR;5,000.00;;
J. P. RIZAL;QUIRINO 4;CR;7,000.00;;
KALANTIAW;QUIRINO 4;RR;4,500.00;;
LAKANDULA;QUIRINO 4;RR;4,500.00;;
LEGASPI;QUIRINO 4;RR;4,500.00;;
M. GREGORIO;QUIRINO 4;RR;4,500.00;;
MASCARDO;QUIRINO 4;RR;4,500.00;;
P. TUASON;QUIRINO 4;RR;6,000.00;;
P. TUASON;QUIRINO 4;CR;7,000.00;;
POBLETE;QUIRINO 4;RR;4,500.00;;
R. MATANDA;QUIRINO 4;RR;4,500.00;;
R. SOLIMAN;QUIRINO 4;RR;4,500.00;;
REYES;QUIRINO 4;RR;4,500.00;;
T. TIRONA;QUIRINO 4;RR;4,500.00;;
ALL OTHER STREETS;QUIRINO 4;RR;4,500.00;;
TOWNHOUSE (CCT);QUIRINO 4;RC;10,000.00;;
CONDOMINIUM;QUIRINO 4;RC;15,000.00;;
CONDOMINIUM;QUIRINO 4;CC;20,000.00;;
CONDOMINIUM;QUIRINO 4;;;;
BARANGAY:;OBRERO;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
A. ROCES;KAMUNING;RR;6,000.00;;
A. ROCES;KAMUNING;CR;7,000.00;;
MARATHON SOUTH;KAMUNING;RR;4,000.00;;
ROLLING ROAD;KAMUNING;RR;4,000.00;;
SCOUT CHUATCO;KAMUNING;RR;4,000.00;;
SCOUT CHUATCO;KAMUNING;CR;5,000.00;;
SCT. MARTINEZ;KAMUNING;RR;4,000.00;;
SCT. OJEDA;KAMUNING;RR;4,000.00;;
SCT. SANTIAGO;KAMUNING;RR;5,000.00;;
SCT. REYES;KAMUNING;RR;5,000.00;;
SCT. TOBIAS;KAMUNING;RR;5,000.00;;
SCT. TUASON;KAMUNING;RR;5,000.00;;
ALL OTHER STREETS;KAMUNING;RR;4,000.00;;
CONDOMINIUM;KAMUNING;RC;10,000.00;;
CONDOMINIUM;KAMUNING;RC;15,000.00;;
CONDOMINIUM;KAMUNING;CC;20,000.00;;
CONDOMINIUM;KAMUNING;;;;
BARANGAY:;OLD BALARA (M. BALARA);;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
ALPHA ROAD;CAPITOL;RR;3,500.00;;
ALPHA ROAD;CAPITOL;APD;0.00;APD -  NO.  5 OLD BALARA  BLOCK A:  N   -  DON MARIANO MARCOS AVENUE E   -   ZUZUARREGUI - UPSILOM ALPHA ROAD    SE  -  CAPITOL DRIVE    SW  -  TANDANG SORA  BLOCK B:  N   -  UNIVERSITY VALLEY EXTENDING TO GUERRERO ST.   E   -   OLD BALARA (EXTENSION OF TANDANG SORA) S   -   MAGSAYSAY ST.  W  -  GUERRERO ST.;
BATASAN HILLS;CAPITOL;RR;4,000.00;;
B H FILINVEST I & II;CAPITOL;RR;4,000.00;;
B H FILINVEST II-A-C;CAPITOL;RR;4,000.00;;
B H FILINVEST II D-J;CAPITOL;RR;4,000.00;;
