RDO:;RDO NO. 16 CABARROGUIS, QUIRINO;;;;
ALL LOTS;;A7;4.10;;
ALL LOTS;;A8;2.10;;
CITY/MUNICIPALITY:;MUNICIPALITY OF CABARROGUIS;;;;
BARANGAY:;VILLAROSE;;;;
ALL LOTS;;GL;;;
ALL LOTS;;RR;20.00;;
ALL LOTS;;A4;5.00;;
ALL LOTS;;A7;4.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF CABARROGUIS;;;;
BARANGAY:;ZAMORA;;;;
B. CUALO BLVD.;;RR;130.00;;
T. DULAY BLVD. EXT;;A2;4.60;;
B. CUALO ST;;RR;130.00;;
B. CUALO ST;;CR;160.00;;
B. CUALO ST;;GL;;;
ZAMORA ST;;RR;130.00;;
ZAMORA ST;;CR;160.00;;
BULALAYAW ST;;RR;130.00;;
FLORIDA ST;;RR;130.00;;
DELBAY ST;;RR;130.00;;
DELBAY ST;;GL;0.00;;
MAGSAYSAY ST;;RR;130.00;;
CLARO M. RECTO;;RR;130.00;;
ESPANA ST;;RR;130.00;;
ROAD 5;;RR;130.00;;
ROAD 3;ROAD 7 - ROAD 8;RR;130.00;;
ROAD 3;ROAD 8 - ROAD 10;RR;75.00;;
ROAD 7;;RR;130.00;;
ROAD 6;;RR;130.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF DIFFUN;;;;
BARANGAY:;AKLAN VILLAGE;;;;
ALL LOTS;;RR;150.00;;
ALL LOTS;INTERIOR;RR;70.00;;
ALL LOTS;INTERIOR;A3;70.00;;
ALL LOTS;INTERIOR;A4;70.00;;
ALL LOTS;INTERIOR;A7;70.00;;
ALL LOTS;INTERIOR;A8;70.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF DIFFUN;;;;
BARANGAY:;ANDRES BONIFACIO;;;;
F.E. MARCOS AVE.;;CR;500.00;;
F.E. MARCOS AVE.;;RR;200.00;;
F.E. MARCOS AVE.;AGUINALDO-NATIONAL RD;GL;0.00;;
F.E. MARCOS AVE.;PAREDES ST-R. MAGSAYSAY;GL;0.00;;
RAMON MAGSAYSAY;;CR;500.00;;
LAPU-LAPU ST;;RR;200.00;;
LAPU-LAPU ST;DNA AURORA-NATIONAL RD.;X;70.00;;
LAPU-LAPU ST;DNA AURORA-NATIONAL RD.;CR;200.00;;
DIEGO SILANG ST;;RR;500.00;;
GEN. DEL PILAR ST;;RR;200.00;;
E. AGUINALDO ST;;RR;250.00;;
E. AGUINALDO ST;;CR;500.00;;
A. BONIFACIO ST;DONA AURORA-GEN.DEL PILAR;RR;175.00;;
A. BONIFACIO ST;GN. DEL PILAR-E.AGUINALDO;RR;175.00;;
A. BONIFACIO ST;DEL PILAR-QUIRINO S C ST.;GL;;;
ESPIRITISTA ST;;RR;150.00;;
ESPIRITISTA ST;DONA AURORA-BONIFACIO ST;GL;0.00;;
MACARIO SULIO;;RR;150.00;;
PIMENTEL DRIVE;;CR;200.00;;
PIMENTEL DRIVE;;GL;0.00;;
DONA AURORA;;CR;500.00;;
E. JACINTO;;CR;350.00;;
ANTONIO LUNA;;CR;200.00;;
RAFAEL PALMA;;CR;200.00;;
NATIONAL ROAD;;CR;200.00;;
NATIONAL ROAD;DENR;GL;0.00;;
CLARO M. RECTO;;RR;150.00;;
CLARO M. RECTO;;CR;200.00;;
DELOS SANTOS ST;SAGA CREEK-HIPOLITO ST;RR;150.00;;
DELOS SANTOS ST;SAGA CREEK-HIPOLITO ST;RR;150.00;;
HIPOLITO ST;;CR;200.00;;
JUAN LUNA;;CR;200.00;;
MUNICIPAL ROAD;;RR;150.00;;
SOCIAL RANCH FORESTRY;;GL;;;
CITY/MUNICIPALITY:;MUNICIPALITY OF DIFFUN;;;;
BARANGAY:;AURORA EAST;;;;
DONA AURORA ST;INP;GL;;;
E. AGUINALDO ST;;CR;500.00;;
E. AGUINALDO ST;GOMBURZA-M.L. QUEZON;RR;150.00;;
E. AGUINALDO ST;J.P. LAUREL-E. JACINTO;RR;150.00;;
E. JACINTO ST;;CR;500.00;;
E. JACINTO ST;GOMBURZA M.L. QUEZON;RR;200.00;;
E. JACINTO ST;M.ROXAS- A. LUNA;RR;200.00;;
E. JACINTO ST;J.P. LAUREL- R. PALMA;RR;200.00;;
E. JACINTO ST;TANDANG SORA-A. LUNA;RR;200.00;;
E. JACINTO ST;NATIONAL RD-DESINADA CRK;RR;200.00;;
E. JACINTO ST;J.P.LAUREL-BARANGAY RD;GL;0.00;;
MANUEL L. QUEZON ST;E.JACINTO DIFFUN CENTRAL;GL;0.00;;
MILANIO PEREZ ST;;CR;500.00;;
ANTONIO LUNA ST;MILANIO PEREZ-R.PALMA;RR;200.00;;
ANTONIO LUNA ST;TANDANG SORA-R. PALMA;RR;200.00;;
ANTONIO LUNA ST;M. ROXAS - R. PALMA;RR;200.00;;
MANUEL A. ROXAS ST;;RR;150.00;;
JOSE P. LAUREL;NATIONAL RD-AGUINALDO ST;RR;200.00;;
JOSE P. LAUREL;A. LUNA-R. PALMA;RR;200.00;;
TANDANG SORA ST;NATIONAL ROAD-AGUINALDO;RR;200.00;;
TANDANG SORA ST;AGUINALDO-JACINTO;RR;200.00;;
TANDANG SORA ST;JACINTO-DESINABA CREEK;A4;25.00;;
NATIONAL ROAD;DESINABA CRK-C. BERMUDEZ;I;175.00;;
NATIONAL ROAD;DESINABA CRK-C. BERMUDEZ;A1;25.00;;
DESINABA CREEK;;A4;20.00;;
CARMELITA BERMUDEZ;;RR;75.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF DIFFUN;;;;
BARANGAY:;AURORA WEST;;;;
MIGUEL MALVAR ST;NATIONAL ROAD-LIWAYWAY ST;RR;500.00;;
MIGUEL MALVAR ST;NATIONAL ROAD M.L. QUEZON;RR;500.00;;
MIGUEL MALVAR ST;J.P. LAUREL-C.M. RECTO;RR;500.00;;
MIGUEL MALVAR ST;M. ROXAS - C.M. RECTO;RR;500.00;;
CLARO M. RECTO;M.L. QUEZON-M. MALVAR;RR;500.00;;
CLARO M. RECTO;M. MALVAR-DESINABA CREEK;RR;500.00;;
CLARO M. RECTO;J.P. LAUREL - SAGAT CREEK;RR;500.00;;
JOSE P. LAUREL;C.M. RECTO-DESINABA CRK;RR;500.00;;
JOSE P. LAUREL;NATIONAL ROAD-M. MALVAR;RR;500.00;;
MANUEL ROXAS;NATIONAL ROAD-M. MALVAR;RR;500.00;;
MANUEL L. QUEZON;C.M. RECTO-E.DELOS SANTOS;RR;500.00;;
MANUEL L. QUEZON;C.M. RECTO - ROAD;RR;500.00;;
MANUEL L. QUEZON;NATIONAL RD-MUNICIPAL RD;GL;0.00;;
E. DELOS SANTOS;M.L. QUEZON-M. PEREZ;RR;500.00;;
HIPOLITO ST;E.DELOS SANTOS-M.PEREZ;I;500.00;;
HIPOLITO ST;E.DELOS SANTOS-M.PEREZ;A1;500.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF DIFFUN;;;;
BARANGAY:;BAGUIO VILLAGE;;;;
ALL LOTS;;RR;150.00;;
ALL LOTS;INTERIOR;RR;150.00;;
ALL LOTS;INTERIOR;A3;13.00;;
ALL LOTS;INTERIOR;A4;17.00;;
ALL LOTS;INTERIOR;A7;14.00;;
ALL LOTS;INTERIOR;A8;13.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF DIFFUN;;;;
BARANGAY:;BALABAG;;;;
ALL LOTS;;RR;150.00;;
ALL LOTS;INTERIOR;RR;70.00;;
ALL LOTS;INTERIOR;A1;25.00;;
ALL LOTS;INTERIOR;A4;20.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF DIFFUN;;;;
BARANGAY:;BANAWAG SUR;;;;
ALL LOTS;;RR;150.00;;
ALL LOTS;INTERIOR;RR;70.00;;
ALL LOTS;INTERIOR;A1;25.00;;
ALL LOTS;INTERIOR;A4;20.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF DIFFUN;;;;
BARANGAY:;CAJEL;;;;
NATIONAL ROAD;LOT 7 - LOT 9;RR;500.00;;
NATIONAL ROAD;ROAD 10-BGY.SN MARCOS;RR;125.00;;
NATIONAL ROAD;ROAD 3 - ROAD 4;GL;0.00;;
NATIONAL ROAD;BGY. SN MARCOS - CREEK;A1;25.00;;
NATIONAL ROAD;GANANO RIVER-ROAD 5;A2;25.00;;
NATIONAL ROAD;GANANO RIVER -ROAD 1;A4;20.00;;
NATIONAL ROAD;ROAD 13- GANANO RIVER;A4;20.00;;
PROVINCIAL ROAD;NATIONAL ROAD-ROAD 2;RR;200.00;;
PROVINCIAL ROAD;ROAD 7 - ROAD 2;A4;18.00;;
PROVINCIAL ROAD;ROAD 8 - ROAD 9;A4;16.00;;
ROAD 1;NATIONAL RD-GANANO RIVER;A4;20.00;;
ROAD 2;ROAD 5 - NATIONAL ROAD;RR;150.00;;
ROAD 8;ROAD 10-BGY. SAN MARCOS;A2;25.00;;
ROAD 8;ROAD 9 - ROAD 10;A4;15.00;;
ROAD 8;ROAD 11 - BGY. LUTTUAN;A4;15.00;;
ROAD 11;ROAD 8 -BARANGAY BALAGBAG;A2;25.00;;
GANANO RIVER;ROAD 12 - BLK 10279;A1;30.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF DIFFUN;;;;
BARANGAY:;CAMPAMENTO;;;;
ALL LOTS;;RR;175.00;;
ALL LOTS;INTERIOR;RR;75.00;;
ALL LOTS;INTERIOR;A3;13.00;;
ALL LOTS;INTERIOR;A4;17.00;;
ALL LOTS;INTERIOR;A7;14.00;;
ALL LOTS;INTERIOR;A8;13.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF DIFFUN;;;;
BARANGAY:;DIEGO SILANG;;;;
ALL LOTS;;RR;150.00;;
ALL LOTS;INTERIOR;RR;100.00;;
ALL LOTS;INTERIOR;A1;24.00;;
ALL LOTS;INTERIOR;A4;17.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF DIFFUN;;;;
BARANGAY:;DON MARIANO PEREZ;;;;
ALL LOTS;;RR;150.00;;
ALL LOTS;INTERIOR;RR;75.00;;
ALL LOTS;INTERIOR;A3;13.00;;
ALL LOTS;INTERIOR;A4;17.00;;
ALL LOTS;INTERIOR;A8;13.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF DIFFUN;;;;
BARANGAY:;DONA IMELDA;;;;
ALL LOTS;;RR;100.00;;
ALL LOTS;INTERIOR;RR;50.00;;
ALL LOTS;INTERIOR;A3;13.00;;
ALL LOTS;INTERIOR;A4;17.00;;
ALL LOTS;INTERIOR;A7;14.00;;
ALL LOTS;INTERIOR;A8;13.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF DIFFUN;;;;
BARANGAY:;DUMANISI;;;;
ALL LOTS;;RR;100.00;;
ALL LOTS;INTERIOR;RR;50.00;;
ALL LOTS;INTERIOR;A3;13.00;;
ALL LOTS;INTERIOR;A4;17.00;;
ALL LOTS;INTERIOR;A7;14.00;;
ALL LOTS;INTERIOR;A8;13.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF DIFFUN;;;;
BARANGAY:;FAUSTINA PAGADDUAN;;;;
ALL LOTS;;RR;100.00;;
ALL LOTS;INTERIOR;RR;50.00;;
ALL LOTS;INTERIOR;A4;14.00;;
ALL LOTS;INTERIOR;A7;14.00;;
ALL LOTS;INTERIOR;A8;18.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF DIFFUN;;;;
BARANGAY:;GABRIELA;;;;
ALL LOTS;;RR;75.00;;
ALL LOTS;INTERIOR;RR;35.00;;
ALL LOTS;INTERIOR;A4;14.00;;
ALL LOTS;INTERIOR;A7;12.00;;
ALL LOTS;INTERIOR;A8;18.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF DIFFUN;;;;
BARANGAY:;GREGORIO PIMENTEL;;;;
ALL LOTS;;RR;75.00;;
ALL LOTS;INTERIOR;RR;35.00;;
ALL LOTS;INTERIOR;A4;17.00;;
ALL LOTS;INTERIOR;A7;14.00;;
ALL LOTS;INTERIOR;A8;13.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF DIFFUN;;;;
BARANGAY:;GULAC;;;;
SECTION 1-ROAD 1;GANANO RIVER-IRR.YITCH;A1;35.00;;
SECTION 2-ROAD 1;ROAD 2-ROAD 3;A1;35.00;;
SECTION 3-ROAD 3;ROAD 4-ROAD 5;A1;35.00;;
SECTION 4-ROAD 5;ROAD 6-ROAD 7;A1;35.00;;
SECTION 5-ROAD 2;ROAD 7-ROAD 8;A1;35.00;;
SECTION 6-ROAD 8;GANANO RIVER;A1;35.00;;
SECTION 7-ROAD 9;ROAD 10-ROAD 11;RR;50.00;;
ROAD 10;ROAD 11-ROAD 13;GL;0.00;;
SECTION 8-ROAD 9;ROAD 13-ROAD 11;RR;50.00;;
SECTION 9-ROAD 6;ROAD 11-ROAD 14;A1;50.00;;
SECTION 10-ROAD 14;GANANO RIVER-ROAD 15;A1;35.00;;
SECTION 11-ROAD 15;GANANO RIVER-GANANO RIVER;A1;35.00;;
SECTION 12-ROAD 15;GANANO RVR.-DALANAP CRK.;A1;35.00;;
SECTION 13-ROAD 16;GANANO RVR.-ROAD 17;A1;35.00;;
SECTION 14-ROAD 17;ROAD 18-ROAD 19;GL;;;
SECTION 14-ROAD16;ROAD 17-GANANO RVR.;A1;30.00;;
SECTION 15-ROAD 20;GANANO RVR.-ROAD 21;A1;30.00;;
SECTION 16-ROAD 21;ROAD 22-ROAD 21;A1;30.00;;
ROAD 12;ROAD 20;A7;10.00;;
SECTION 18;ROAD 21;A4;35.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF DIFFUN;;;;
BARANGAY:;GURIBANG;;;;
ALL LOTS;;RR;75.00;;
ALL LOTS;INTERIOR;RR;35.00;;
ALL LOTS;INTERIOR;A1;25.00;;
ALL LOTS;INTERIOR;A4;20.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF DIFFUN;;;;
BARANGAY:;IFUGAO VILLAGE;;;;
ALL LOT;;;;;
ALL LOT;INTERIOR;RR;75.00;;
ALL LOT;INTERIOR;RR;35.00;;
ALL LOT;INTERIOR;A3;13.00;;
ALL LOT;INTERIOR;A4;13.00;;
ALL LOT;INTERIOR;A7;14.00;;
ALL LOT;INTERIOR;A8;13.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF DIFFUN;;;;
BARANGAY:;ISIDRO PAREDES;;;;
GANANO RIVER;ROAD 1-ROAD 4;A4;25.00;;
ROAD 1;ROAD 2-ROAD 3;A4;25.00;;
ROAD 2;ROAD 4-ROAD 5;A4;25.00;;
ROAD 4;ROAD 7-ROAD 8;A4;25.00;;
ROAD 8;ROAD 9-ROAD 10;A4;25.00;;
ROAD 8;ROAD 11-ROAD 12;A4;25.00;;
ROAD 11;ROAD 17-ROAD 25;A1;45.00;;
ROAD 11;ROAD 12-ROAD 13;A4;25.00;;
ROAD 13;ROAD 14-ROAD 15;RR;150.00;;
ROAD 13;ROAD 14-ROAD 16;RR;75.00;;
ROAD 13;ROAD 16-ROAD 17;A4;25.00;;
ROAD 17;NIA CANAL-ROAD 24;A1;45.00;;
ROAD 17;ROAD 18-ROAD 19;A4;40.00;;
ROAD 19;GANANO RIVER-ROAD 20;A1;45.00;;
ROAD 20;ROAD 21-ROAD 22;A1;45.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF DIFFUN;;;;
BARANGAY:;LIWAYWAY;;;;
ROAD 1;DESINABA CREEK-ROAD 3;A1;40.00;;
ROAD 1;ROAD 3 - BARANGAY ROAD;A4;25.00;;
ROAD 2;DESINABA CK-BLK 4863-4866;A1;40.00;;
ROAD 2;DESINABA CREEK - ROAD 4;A2;15.00;;
ROAD 4;DESINABA CREEK - ROAD 6;A1;40.00;;
ROAD 6;ROAD 8 - ROAD 9;RR;100.00;;
ROAD 6;BARANGAY ROAD - ROAD 11;A1;45.00;;
ROAD 8;DESINABA CREEK - ROAD 9;RR;75.00;;
ROAD 8;ROAD 9 - ROAD 10;GL;0.00;;
DESINABA CREEK;ROAD 7 - SAGAT CREEK;A1;40.00;;
FOREST ZONE;BLK 4847-4860-4853-B4866;A4;25.00;;
BARANGAY RICARTE NORTE;BLK 4853 - BLK 4863;A1;40.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF DIFFUN;;;;
BARANGAY:;LUTUAD;;;;
ALL LOTS;;RR;150.00;;
ALL LOTS;INTERIOR;RR;75.00;;
ALL LOTS;INTERIOR;A1;45.00;;
ALL LOTS;INTERIOR;A4;20.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF DIFFUN;;;;
BARANGAY:;MAGSAYSAY;;;;
ALL LOTS;;RR;100.00;;
ALL LOTS;INTERIOR;RR;70.00;;
ALL LOTS;INTERIOR;A3;13.00;;
ALL LOTS;INTERIOR;A4;17.00;;
ALL LOTS;INTERIOR;A8;13.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF DIFFUN;;;;
BARANGAY:;MACATE;;;;
ALL LOTS;;RR;100.00;;
ALL LOTS;INTERIOR;RR;70.00;;
ALL LOTS;INTERIOR;A3;13.00;;
ALL LOTS;INTERIOR;A4;17.00;;
ALL LOTS;INTERIOR;A7;14.00;;
ALL LOTS;INTERIOR;A8;13.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF DIFFUN;;;;
BARANGAY:;MARIA CLARA;;;;
NATIONAL ROAD;ROAD 2 - ROAD 3;RR;150.00;;
NATIONAL ROAD;LUCBAN CRK-NIA SERVICE RD;RR;150.00;;
NATIONAL ROAD;GRACIANO PABLO - ROAD 4;RR;150.00;;
NATIONAL ROAD;ROAD 6 - ROAD 7;RR;150.00;;
NATIONAL ROAD;LUCBAN CREEK - ROAD 5;RR;150.00;;
NATIONAL ROAD;ROAD 10 - LUCBAN CREEK;RR;150.00;;
NATIONAL ROAD;ROAD 8 - LOT NO. 037;RR;150.00;;
NATIONAL ROAD;ROAD 12-LOT NO. 037;RR;150.00;;
NATIONAL ROAD;LOT 019 - RANCH;RR;150.00;;
NATIONAL ROAD;RANCH - CREEK;RR;150.00;;
NATIONAL ROAD;ROAD 8 - ROAD 9;A1;45.00;;
NATIONAL ROAD;ROAD 9 - ROAD 10;A1;45.00;;
NATIONAL ROAD;LUCBAN CK - LOT NO. 6059;A4;20.00;;
ROAD 2;NIA CANAL-LUCBAN CREEK;A1;45.00;;
ROAD 2;NIA CANAL;A1;45.00;;
ROAD 4;ROAD 5-F.SABALLA LOT#007;A4;45.00;;
ROAD 5;ROAD 6 - ROAD 7;A4;45.00;;
ROAD 8;LUCBAN CREEK - DENR;A1;45.00;;
ROAD 8;LUCBAN CREEK - RANCH;A2;15.00;;
ROAD 8;LUCBAN CREEK-LOT NO. 6059;A4;20.00;;
GRACIANO PABLO LOT# 0013-0006-005;BARANGAY ROAD - ROAD 4;A1;45.00;;
LOT NO 1, 2, 12 & 13;LOT #019,034-036-CREEK;GL;0.00;;
LOT NO. 6061-C RANCH;LOT# 7454 - RANCH;RR;150.00;;
CREEK;NATIONAL ROAD - ROAD 2;A1;45.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF DIFFUN;;;;
BARANGAY:;RAFAEL PALMA;;;;
ALL LOTS;;RR;150.00;;
ALL LOTS;INTERIOR;RR;70.00;;
ALL LOTS;INTERIOR;A3;13.00;;
ALL LOTS;INTERIOR;A4;17.00;;
ALL LOTS;INTERIOR;A7;14.00;;
ALL LOTS;INTERIOR;A8;13.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF DIFFUN;;;;
BARANGAY:;RICARTE NORTE;;;;
BARANGAY LIWAYWAY;BGY. DUMANISI BLK 4878-A;A1;45.00;;
ROAD 1;NIA CANAL - ROAD 2;RR;70.00;;
ROAD 1;ROAD 9 - CANANO RIVER;A1;45.00;;
ROAD 1;NIA CANAL - ROAD 10;GL;0.00;;
ROAD 3;ROAD 6 - ROAD 7;RR;150.00;;
ROAD 3;ROAD 4 - GANANO RIVER;A1;45.00;;
ROAD 3;BARANGAY RD-GANANO RIVER;A1;45.00;;
ROAD 4;GANANO RIVER;A1;45.00;;
ROAD 7;ROAD 8-ROAD 9;RR;100.00;;
ROAD 7;ROAD 9 - ROAD 10;A1;45.00;;
ROAD 9;GANANO RIVER;A1;45.00;;
CREEK;ROAD 3 - ROAD 1;A1;45.00;;
DUMANISI ROAD;CREEK;A1;45.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF DIFFUN;;;;
BARANGAY:  RICARTE SUR;RICARTE SUR;;;;
ROAD 1;GANANO RIVER-BARANGAY RD;A1;45.00;;
ROAD 4;ROAD 5 - GANANO RIVER;A1;45.00;;
ROAD 6;GANANO RIVER-ROAD 9;A1;30.00;;
ROAD 6;ROAD 23-ALIANABLE LAND;A1;30.00;;
ROAD 9;BARANGAY RD-GANANO RIVER;A1;30.00;;
ROAD 9;ROAD 20 - ROAD 22;A1;30.00;;
ROAD 10;ROAD 2 - ROAD 12;RR;70.00;;
ROAD 12;ROAD 16 - ROAD 17;A1;30.00;;
ROAD 13;ROAD 14 - ROAD 15;GL;0.00;;
ROAD 17;ROAD 18 - ROAD 19;A2;15.00;;
ROAD 19;ROAD 20 - ROAD 21;A2;15.00;;
GANANO RIVER;RICARTE NORTE- ROAD 5;A8;15.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF DIFFUN;;;;
BARANGAY:;RIZAL;;;;
RAFAEL PALMA ST;J.P. LAUREL-I. PEREZ;RR;150.00;;
RAFAEL PALMA ST;M. ROXAS- I. PAREDES;RR;200.00;;
RAFAEL PALMA ST;M.PEREZ-I. PAREDES;RR;200.00;;
RAFAEL PALMA ST;M.QUEZON - I. PAREDES;RR;200.00;;
RAFAEL PALMA ST;F.E.MARCOS - I. PAREDES;CR;250.00;;
ISIDRO PAREDES ST;BARANGAY ROAD-DESINABA CI;RR;125.00;;
ISIDRO PAREDES ST;J.P. LAUREL-BARANGAY RD;RR;125.00;;
ISIDRO PAREDES ST;M. ROXAS - ABAD SANTOS;RR;125.00;;
ISIDRO PAREDES ST;M. PEREZ - J.ABAD SANTOS;RR;200.00;;
ISIDRO PAREDES ST;M QUEZON - J. ABAD SANTOS;RR;200.00;;
ISIDRO PAREDES ST;F.E. MARCOS-BARANGAY RD;RR;200.00;;
ISIDRO PAREDES ST;BARANGAY ROAD;RR;200.00;;
ISIDRO PAREDES ST;C.ARELLANO-J.ABAD SANTOS;RR;200.00;;
ISIDRO PAREDES ST;F.E.MARCOS-J.ABAD SANTOS;RR;200.00;;
ISIDRO PAREDES ST;A.MABINI-J. ABAD SANTOS;RR;250.00;;
ISIDRO PAREDES ST;GOMBURZA - J. ABAD SANTOS;RR;150.00;;
GEN. FRIAS ST;M. ROXAS - F. PASTOR;RR;150.00;;
GEN. FRIAS ST;M. PEREZ - F. PASTOR;RR;150.00;;
GEN. FRIAS ST;M. QUEZON - F. PASTOR;RR;150.00;;
GEN. FRIAS ST;A. MABINI - F. PASTOR;RR;150.00;;
GEN. FRIAS ST;GOMBURZA - F. PASTOR;RR;150.00;;
GEN. FRIAS ST;C.ARELLANO-F. PASTOR ST;RR;150.00;;
GEN. FRIAS ST;F.E. MARCOS - F. PASTOR;RR;150.00;;
F. PASTOR ST;M. ROXAS - BAGAOISAN ST;RR;100.00;;
F. PASTOR ST;M.PEREZ - BAGAOISAN;RR;100.00;;
F. PASTOR ST;M.QUEZON - BAGAOISAN;RR;100.00;;
F. PASTOR ST;GOMBURZA-BAGAOISAN;RR;100.00;;
F. PASTOR ST;C.ARELLANO-BAGAOISAN;RR;100.00;;
F. PASTOR ST;F.E.MARCOS-BAGAOISAN;RR;100.00;;
F. PASTOR ST;A.MABINI - BAGAOISAN;RR;100.00;;
J ABAD SANTOS ST;C. ARELLANO-GEN. FRIAS;RR;100.00;;
J ABAD SANTOS ST;F.E.MARCOS-GEN. FRIAS;RR;100.00;;
J ABAD SANTOS ST;M. PEREZ - GEN. FRIAS;RR;100.00;;
J ABAD SANTOS ST;A.MABINI - GEN. FRIAS;RR;100.00;;
J ABAD SANTOS ST;GOMBURZA - GEN. FRIAS;RR;100.00;;
J ABAD SANTOS ST;M.QUEZON-GEN. FRIAS;RR;100.00;;
CAYETANO ARELLANO;M.QUEZON-I.PAREDES;GL;0.00;;
BAGAOISAN ST;C.ARELLANO-BARANGAY RD;RR;100.00;;
BAGAOISAN ST;C.ARELLANO-BARANGAY RD;A4;17.00;;
BAGAOISAN ST;C.ARELLANO-BARANGAY RD;A2;14.00;;
BAGAOISAN ST;C.ARELLANO-BARANGAY RD;A1;45.00;;
BAGAOISAN ST;C.ARELLANO-BARANGAY RD;A3;22.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF DIFFUN;;;;
BARANGAY:;SAN ANTONIO;;;;
NATIONAL ROAD;LOT #002 - LOT#003;RR;150.00;;
NATIONAL ROAD;ROAD 1 - LOT# 003;RR;150.00;;
NATIONAL ROAD;ROAD 1 - ROAD 5;RR;150.00;;
NATIONAL ROAD;ROAD 4 - ROAD 5;RR;150.00;;
NATIONAL ROAD;ROAD 8 - ROAD 7;RR;150.00;;
NATIONAL ROAD;ROAD 9 - ROAD 10;RR;150.00;;
NATIONAL ROAD;ROAD 12 - ROAD 11;RR;150.00;;
NATIONAL ROAD;ROAD 10 - ROAD 11;A1;75.00;;
NATIONAL ROAD;ROAD 1 - ROAD 2;GL;0.00;;
ROAD 1;ROAD 2 - NATIONAL ROAD;A1;45.00;;
ROAD 3;ROAD 5 - LOT#019;RR;150.00;;
ROAD 4;ROAD 5 - ROAD 7;RR;150.00;;
ROAD 7;ROAD 10 - ROAD 13;A1;45.00;;
ROAD 11;ROAD 13 - NIA CANAL;A1;45.00;;
ROAD 13;ROAD 14 - NIA CANAL;A1;45.00;;
ROAD 13;NIA-LUCBAN CREEK;A1;45.00;;
ROAD 13;BLK 6065 & 5818-BLK 6055;A1;45.00;;
GURIBANG ROAD;BARANGAY RD-LOT #004;A1;45.00;;
GURIBANG CREEK;NATIONAL ROAD - ROAD 3;A1;45.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF DIFFUN;;;;
BARANGAY:;SAN ISIDRO;;;;
SECTION 1;ROAD 1-ROAD 2;A1;35.00;;
SECTION 2;ROAD 2-ROAD 3;A1;35.00;;
SECTION 3;ROAD 3-ROAD 4;A1;35.00;;
SECTION 4;ROAD 4-ROAD 5;RR;40.00;;
SECTION 5;ROAD 6-ROAD 7;A1;35.00;;
SECTION 7;ROAD 6;A4;10.00;;
SECTION 8;ROAD 8-ROAD 9;A1;35.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF DIFFUN;;;;
BARANGAY:;SITIO NAVARRO;;;;
ALL LOTS;;RR;150.00;;
ALL LOTS;INTERIOR;RR;75.00;;
ALL LOTS;INTERIOR;A1;45.00;;
ALL LOTS;INTERIOR;A4;20.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF DIFFUN;;;;
BARANGAY:;VILLA PASCUA;;;;
ALL LOTS;;RR;125.00;;
ALL LOTS;INTERIOR;RR;75.00;;
ALL LOTS;INTERIOR;A1;40.00;;
ALL LOTS;INTERIOR;A4;20.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF MADELLA;;;;
BARANGAY:;ABBAG;;;;
ALL LOTS;;RR;75.00;;
ALL LOTS;INNER LOTS;RR;40.00;;
ALL LOTS;INNER LOTS;A1;10.00;;
ALL LOTS;INNER LOTS;A2;4.00;;
ALL LOTS;INNER LOTS;A4;9.00;;
ALL LOTS;INNER LOTS;A6;13.00;;
ALL LOTS;INNER LOTS;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF MADELLA;;;;
BARANGAY:;BALLIGUI;;;;
ALL LOTS;OUTER LOTS;RR;35.00;;
ALL LOTS;INNER LOTS;RR;25.00;;
